record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Necrotect,Necrotect,hero,wh2_dlc09_tmb_necrotect,engineer,engineer,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc09_tmb_necrotect
node_set,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Necrotect,Necrotect,hero,wh2_dlc09_tmb_necrotect,engineer,engineer,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,false,,,wh2_dlc09_skill_node_set_tmb_necrotect,,1,engineer,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc09_skill_node_set_tmb_necrotect
node,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Necrotect,Necrotect,hero,wh2_dlc09_tmb_necrotect,engineer,engineer,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,false,,,wh2_dlc09_skill_node_set_tmb_necrotect,,1,engineer,false,false,,,,wh2_dlc09_skill_tmb_necrotect_mount_0,wh2_dlc09_skill_tmb_engineer_unique_necrotect_skeleton_chariot,Skeleton Chariot,"The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.",mount_skeleton_chariot.png,0,0,0,0,true,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc09_skill_tmb_necrotect_mount_0
skill_level,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Necrotect,Necrotect,hero,wh2_dlc09_tmb_necrotect,engineer,engineer,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,false,,,wh2_dlc09_skill_node_set_tmb_necrotect,,1,engineer,false,false,,,,wh2_dlc09_skill_tmb_necrotect_mount_0,wh2_dlc09_skill_tmb_engineer_unique_necrotect_skeleton_chariot,Skeleton Chariot,"The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.",mount_skeleton_chariot.png,0,0,0,0,true,9,1,1,Skeleton Chariot,"The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.",9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc09_skill_tmb_engineer_unique_necrotect_skeleton_chariot|1|||
effect,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Necrotect,Necrotect,hero,wh2_dlc09_tmb_necrotect,engineer,engineer,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,false,,,wh2_dlc09_skill_node_set_tmb_necrotect,,1,engineer,false,false,,,,wh2_dlc09_skill_tmb_necrotect_mount_0,wh2_dlc09_skill_tmb_engineer_unique_necrotect_skeleton_chariot,Skeleton Chariot,"The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.",mount_skeleton_chariot.png,0,0,0,0,true,9,1,1,Skeleton Chariot,"The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.",,,,,,wh2_dlc09_effect_enable_mount_tmb_skeleton_chariot,Mount: Skeleton Chariot,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc09_skill_tmb_engineer_unique_necrotect_skeleton_chariot|wh2_dlc09_effect_enable_mount_tmb_skeleton_chariot|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Necrotect,Necrotect,hero,wh2_dlc09_tmb_necrotect,engineer,engineer,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,false,,,wh2_dlc09_skill_node_set_tmb_necrotect,,1,engineer,false,false,,,,wh2_dlc09_skill_tmb_necrotect_mount_0,wh2_dlc09_skill_tmb_engineer_unique_necrotect_skeleton_chariot,Skeleton Chariot,"The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.",mount_skeleton_chariot.png,0,0,0,0,true,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh2_dlc09_anc_mount_tmb_necrotect_skeleton_chariot,Skeleton Chariot,wh2_dlc09_anc_mount_skeleton_chariot,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh2_dlc09_skill_tmb_engineer_unique_necrotect_skeleton_chariot|wh2_dlc09_anc_mount_tmb_necrotect_skeleton_chariot|1
node,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Necrotect,Necrotect,hero,wh2_dlc09_tmb_necrotect,engineer,engineer,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,false,,,wh2_dlc09_skill_node_set_tmb_necrotect,,1,engineer,false,false,,,,wh2_dlc09_skill_tmb_necrotect_ability_0,wh2_dlc09_skill_tmb_necrotect_ability_0,Restore,"Reaching behind the wall of death to bring back the soul and bind it to you takes skill, but like anything, practice makes perfect!",wh2_dlc09_restore.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc09_skill_tmb_necrotect_ability_0
effect,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Necrotect,Necrotect,hero,wh2_dlc09_tmb_necrotect,engineer,engineer,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,false,,,wh2_dlc09_skill_node_set_tmb_necrotect,,1,engineer,false,false,,,,wh2_dlc09_skill_tmb_necrotect_ability_0,wh2_dlc09_skill_tmb_necrotect_ability_0,Restore,"Reaching behind the wall of death to bring back the soul and bind it to you takes skill, but like anything, practice makes perfect!",wh2_dlc09_restore.png,0,1,0,0,true,0,1,1,Restore,"Reaching behind the wall of death to bring back the soul and bind it to you takes skill, but like anything, practice makes perfect!",,,,,,wh2_dlc09_effect_ability_enable_restore,"Ability: ""Restore""",,character_to_character_own,1,battle,300,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc09_skill_tmb_necrotect_ability_0|wh2_dlc09_effect_ability_enable_restore|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Necrotect,Necrotect,hero,wh2_dlc09_tmb_necrotect,engineer,engineer,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,false,,,wh2_dlc09_skill_node_set_tmb_necrotect,,1,engineer,false,false,,,,wh2_dlc09_skill_tmb_necrotect_unique_0,wh2_dlc09_skill_tmb_necrotect_inscription_of_repair,Inscription of Repair,This intricate hieroglyphic engraving aids the Necrotect's drive to restore his Tomb King's monuments to their former glory.,character_replenishment.png,0,2,0,0,true,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc09_skill_tmb_necrotect_unique_0
skill_level,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Necrotect,Necrotect,hero,wh2_dlc09_tmb_necrotect,engineer,engineer,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,false,,,wh2_dlc09_skill_node_set_tmb_necrotect,,1,engineer,false,false,,,,wh2_dlc09_skill_tmb_necrotect_unique_0,wh2_dlc09_skill_tmb_necrotect_inscription_of_repair,Inscription of Repair,This intricate hieroglyphic engraving aids the Necrotect's drive to restore his Tomb King's monuments to their former glory.,character_replenishment.png,0,2,0,0,true,9,1,1,Inscription of Repair,This intricate hieroglyphic engraving aids the Necrotect's drive to restore his Tomb King's monuments to their former glory.,9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc09_skill_tmb_necrotect_inscription_of_repair|1|||
