record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Blue Scribes,Blue_Scribes,hero,wh3_dlc24_tze_blue_scribes,wizard,wizard,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,true,true,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc24_tze_blue_scribes
node_set,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Blue Scribes,Blue_Scribes,hero,wh3_dlc24_tze_blue_scribes,wizard,wizard,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,true,true,false,false,true,,,wh3_dlc24_skill_node_set_tze_blue_scribes,,1,wizard,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc24_skill_node_set_tze_blue_scribes
node,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Blue Scribes,Blue_Scribes,hero,wh3_dlc24_tze_blue_scribes,wizard,wizard,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,true,true,false,false,true,,,wh3_dlc24_skill_node_set_tze_blue_scribes,,1,wizard,false,false,,,,wh3_dlc24_skill_tze_blue_scribes_unique_1,wh3_dlc24_skill_tze_blue_scribes_unique_1,Cacophony of Horrors,"The cackling never ends, and you'll know not if it's two or a thousand maniacal voices raised in mockery!",tzeench_barrier_skill_char.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc24_skill_tze_blue_scribes_unique_1
skill_level,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Blue Scribes,Blue_Scribes,hero,wh3_dlc24_tze_blue_scribes,wizard,wizard,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,true,true,false,false,true,,,wh3_dlc24_skill_node_set_tze_blue_scribes,,1,wizard,false,false,,,,wh3_dlc24_skill_tze_blue_scribes_unique_1,wh3_dlc24_skill_tze_blue_scribes_unique_1,Cacophony of Horrors,"The cackling never ends, and you'll know not if it's two or a thousand maniacal voices raised in mockery!",tzeench_barrier_skill_char.png,0,1,0,0,true,0,1,1,Cacophony of Horrors,"The cackling never ends, and you'll know not if it's two or a thousand maniacal voices raised in mockery!",5,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc24_skill_tze_blue_scribes_unique_1|1|||
effect,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Blue Scribes,Blue_Scribes,hero,wh3_dlc24_tze_blue_scribes,wizard,wizard,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,true,true,false,false,true,,,wh3_dlc24_skill_node_set_tze_blue_scribes,,1,wizard,false,false,,,,wh3_dlc24_skill_tze_blue_scribes_unique_1,wh3_dlc24_skill_tze_blue_scribes_unique_1,Cacophony of Horrors,"The cackling never ends, and you'll know not if it's two or a thousand maniacal voices raised in mockery!",tzeench_barrier_skill_char.png,0,1,0,0,true,0,1,1,Cacophony of Horrors,"The cackling never ends, and you'll know not if it's two or a thousand maniacal voices raised in mockery!",,,,,,wh_main_effect_force_stat_leadership_enemy_unit,Enemy leadership: %+n,,character_to_force_enemy_provincewide,-5,battle,411,false,morale.png,morale.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc24_skill_tze_blue_scribes_unique_1|wh_main_effect_force_stat_leadership_enemy_unit|1|character_to_force_enemy_provincewide
effect,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Blue Scribes,Blue_Scribes,hero,wh3_dlc24_tze_blue_scribes,wizard,wizard,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,true,true,false,false,true,,,wh3_dlc24_skill_node_set_tze_blue_scribes,,1,wizard,false,false,,,,wh3_dlc24_skill_tze_blue_scribes_unique_1,wh3_dlc24_skill_tze_blue_scribes_unique_1,Cacophony of Horrors,"The cackling never ends, and you'll know not if it's two or a thousand maniacal voices raised in mockery!",tzeench_barrier_skill_char.png,0,1,0,0,true,0,1,1,Cacophony of Horrors,"The cackling never ends, and you'll know not if it's two or a thousand maniacal voices raised in mockery!",,,,,,wh3_dlc24_effect_attribute_terror_tze_horrors,Attribute: Causes Terror for Horror units,,agent_to_parent_army_own,1,battle,16,true,attribute_causes_terror.png,attribute_causes_fear.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc24_skill_tze_blue_scribes_unique_1|wh3_dlc24_effect_attribute_terror_tze_horrors|1|agent_to_parent_army_own
effect,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Blue Scribes,Blue_Scribes,hero,wh3_dlc24_tze_blue_scribes,wizard,wizard,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,true,true,false,false,true,,,wh3_dlc24_skill_node_set_tze_blue_scribes,,1,wizard,false,false,,,,wh3_dlc24_skill_tze_blue_scribes_unique_1,wh3_dlc24_skill_tze_blue_scribes_unique_1,Cacophony of Horrors,"The cackling never ends, and you'll know not if it's two or a thousand maniacal voices raised in mockery!",tzeench_barrier_skill_char.png,0,1,0,0,true,0,1,1,Cacophony of Horrors,"The cackling never ends, and you'll know not if it's two or a thousand maniacal voices raised in mockery!",,,,,,wh3_dlc24_effect_force_stat_barrier_tze_horrors,"Barrier: %+n for Blue Horrors of Tzeentch, Pink Horrors of Tzeentch and Exalted Pink Horrors of Tzeentch units",,agent_to_parent_army_own,600,battle,5,true,barrier.png,barrier.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc24_skill_tze_blue_scribes_unique_1|wh3_dlc24_effect_force_stat_barrier_tze_horrors|1|agent_to_parent_army_own
node,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Blue Scribes,Blue_Scribes,hero,wh3_dlc24_tze_blue_scribes,wizard,wizard,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,true,true,false,false,true,,,wh3_dlc24_skill_node_set_tze_blue_scribes,,1,wizard,false,false,,,,wh3_dlc24_skill_tze_blue_scribes_magic_1,wh3_dlc24_skill_tze_blue_scribes_magic_1,The Changer's Tools,The first spells the Scribes collected were those of the Daemons from which they stemmed.,wh2_dlc11_forgery.png,0,2,1,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc24_skill_tze_blue_scribes_magic_1
effect,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Blue Scribes,Blue_Scribes,hero,wh3_dlc24_tze_blue_scribes,wizard,wizard,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,true,true,false,false,true,,,wh3_dlc24_skill_node_set_tze_blue_scribes,,1,wizard,false,false,,,,wh3_dlc24_skill_tze_blue_scribes_magic_1,wh3_dlc24_skill_tze_blue_scribes_magic_1,The Changer's Tools,The first spells the Scribes collected were those of the Daemons from which they stemmed.,wh2_dlc11_forgery.png,0,2,1,0,true,0,1,1,The Changer's Tools,The first spells the Scribes collected were those of the Daemons from which they stemmed.,,,,,,wh3_dlc24_effect_ability_enable_lore_of_tzeentch_scribes,All spells from the Lore of Tzeentch are added to the Scrolls of Sorcery,,character_to_character_own,1,campaign,22,true,magic.png,magic.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc24_skill_tze_blue_scribes_magic_1|wh3_dlc24_effect_ability_enable_lore_of_tzeentch_scribes|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Blue Scribes,Blue_Scribes,hero,wh3_dlc24_tze_blue_scribes,wizard,wizard,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,true,true,false,false,true,,,wh3_dlc24_skill_node_set_tze_blue_scribes,,1,wizard,false,false,,,,wh3_dlc24_skill_tze_blue_scribes_campaign_1,wh3_dlc24_skill_tze_blue_scribes_campaign_1,{{tr:agent_action_name_funnel_magic}},"In their eternal search, the Scribes have picked up a couple knacks for wringing extra Winds from this place.",campaign_magic.png,0,5,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc24_skill_tze_blue_scribes_campaign_1
