record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Herald of Tzeentch (Metal),Herald_of_Tzeentch_Metal,lord,wh3_main_tze_herald_of_tzeentch_metal,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,false,true,true,true,true,wh_main_lore_metal,wh3_main_tze_herald_of_tzeentch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_main_tze_herald_of_tzeentch_metal
node_set,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Herald of Tzeentch (Metal),Herald_of_Tzeentch_Metal,lord,wh3_main_tze_herald_of_tzeentch_metal,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,false,true,true,true,true,wh_main_lore_metal,wh3_main_tze_herald_of_tzeentch,wh3_main_skill_node_set_tze_herald_of_tzeentch_metal,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_main_skill_node_set_tze_herald_of_tzeentch_metal
node,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Herald of Tzeentch (Metal),Herald_of_Tzeentch_Metal,lord,wh3_main_tze_herald_of_tzeentch_metal,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,false,true,true,true,true,wh_main_lore_metal,wh3_main_tze_herald_of_tzeentch,wh3_main_skill_node_set_tze_herald_of_tzeentch_metal,,1,general,false,false,,,,wh3_main_skill_node_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch,wh3_main_skill_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch,Disc of Tzeentch,"As part of the binding ritual, Screamer bodies are flattened and transmuted into unlikely aspects.",mount_disc_of_tzeentch.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch
skill_level,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Herald of Tzeentch (Metal),Herald_of_Tzeentch_Metal,lord,wh3_main_tze_herald_of_tzeentch_metal,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,false,true,true,true,true,wh_main_lore_metal,wh3_main_tze_herald_of_tzeentch,wh3_main_skill_node_set_tze_herald_of_tzeentch_metal,,1,general,false,false,,,,wh3_main_skill_node_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch,wh3_main_skill_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch,Disc of Tzeentch,"As part of the binding ritual, Screamer bodies are flattened and transmuted into unlikely aspects.",mount_disc_of_tzeentch.png,0,0,0,0,true,0,1,1,Disc of Tzeentch,"As part of the binding ritual, Screamer bodies are flattened and transmuted into unlikely aspects.",5,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch|1|||
effect,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Herald of Tzeentch (Metal),Herald_of_Tzeentch_Metal,lord,wh3_main_tze_herald_of_tzeentch_metal,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,false,true,true,true,true,wh_main_lore_metal,wh3_main_tze_herald_of_tzeentch,wh3_main_skill_node_set_tze_herald_of_tzeentch_metal,,1,general,false,false,,,,wh3_main_skill_node_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch,wh3_main_skill_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch,Disc of Tzeentch,"As part of the binding ritual, Screamer bodies are flattened and transmuted into unlikely aspects.",mount_disc_of_tzeentch.png,0,0,0,0,true,0,1,1,Disc of Tzeentch,"As part of the binding ritual, Screamer bodies are flattened and transmuted into unlikely aspects.",,,,,,wh3_main_effect_enable_mount_disc_of_tzeentch,Mount: Disc of Tzeentch,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch|wh3_main_effect_enable_mount_disc_of_tzeentch|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Herald of Tzeentch (Metal),Herald_of_Tzeentch_Metal,lord,wh3_main_tze_herald_of_tzeentch_metal,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,false,true,true,true,true,wh_main_lore_metal,wh3_main_tze_herald_of_tzeentch,wh3_main_skill_node_set_tze_herald_of_tzeentch_metal,,1,general,false,false,,,,wh3_main_skill_node_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch,wh3_main_skill_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch,Disc of Tzeentch,"As part of the binding ritual, Screamer bodies are flattened and transmuted into unlikely aspects.",mount_disc_of_tzeentch.png,0,0,0,0,true,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_main_anc_mount_tze_herald_of_tzeentch_metal_disc_of_tzeentch,Disc of Tzeentch,wh3_main_anc_mount_disc_of_tzeentch,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh3_main_skill_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch|wh3_main_anc_mount_tze_herald_of_tzeentch_metal_disc_of_tzeentch|1
node,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Herald of Tzeentch (Metal),Herald_of_Tzeentch_Metal,lord,wh3_main_tze_herald_of_tzeentch_metal,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,false,true,true,true,true,wh_main_lore_metal,wh3_main_tze_herald_of_tzeentch,wh3_main_skill_node_set_tze_herald_of_tzeentch_metal,,1,general,false,false,,,,wh3_main_skill_node_tze_herald_of_tzeentch_metal_locus_starter,wh3_main_skill_tze_herald_of_tzeentch_tzeentch_locus_starter,Potentialite,The meanest streaks give rise to the greatest potential.,character_experience.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_tze_herald_of_tzeentch_metal_locus_starter
skill_level,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Herald of Tzeentch (Metal),Herald_of_Tzeentch_Metal,lord,wh3_main_tze_herald_of_tzeentch_metal,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,false,true,true,true,true,wh_main_lore_metal,wh3_main_tze_herald_of_tzeentch,wh3_main_skill_node_set_tze_herald_of_tzeentch_metal,,1,general,false,false,,,,wh3_main_skill_node_tze_herald_of_tzeentch_metal_locus_starter,wh3_main_skill_tze_herald_of_tzeentch_tzeentch_locus_starter,Potentialite,The meanest streaks give rise to the greatest potential.,character_experience.png,0,1,0,0,true,0,1,1,Potentialite,The meanest streaks give rise to the greatest potential.,7,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_tze_herald_of_tzeentch_tzeentch_locus_starter|1|||
effect,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Herald of Tzeentch (Metal),Herald_of_Tzeentch_Metal,lord,wh3_main_tze_herald_of_tzeentch_metal,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,false,true,true,true,true,wh_main_lore_metal,wh3_main_tze_herald_of_tzeentch,wh3_main_skill_node_set_tze_herald_of_tzeentch_metal,,1,general,false,false,,,,wh3_main_skill_node_tze_herald_of_tzeentch_metal_locus_starter,wh3_main_skill_tze_herald_of_tzeentch_tzeentch_locus_starter,Potentialite,The meanest streaks give rise to the greatest potential.,character_experience.png,0,1,0,0,true,0,1,1,Potentialite,The meanest streaks give rise to the greatest potential.,,,,,,wh3_dlc20_effect_xp_gain_all_units,Unit experience gain: %+n%,,general_to_force_own,25,battle,611,true,experience.png,experience.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_tze_herald_of_tzeentch_tzeentch_locus_starter|wh3_dlc20_effect_xp_gain_all_units|1|general_to_force_own
node,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Herald of Tzeentch (Metal),Herald_of_Tzeentch_Metal,lord,wh3_main_tze_herald_of_tzeentch_metal,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,false,false,true,true,true,true,wh_main_lore_metal,wh3_main_tze_herald_of_tzeentch,wh3_main_skill_node_set_tze_herald_of_tzeentch_metal,,1,general,false,false,,,,wh3_main_skill_node_tze_herald_of_tzeentch_metal_self_starter,wh_main_skill_all_all_self_hard_to_hit_starter,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_hard_to_hit}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_hard_to_hit}},character_defence.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_tze_herald_of_tzeentch_metal_self_starter
