record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Kairos Fateweaver,Kairos_Fateweaver,legendary_lord,wh3_main_tze_kairos,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_main_tze_kairos
node_set,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Kairos Fateweaver,Kairos_Fateweaver,legendary_lord,wh3_main_tze_kairos,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_tze_kairos,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_main_skill_node_set_tze_kairos
node,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Kairos Fateweaver,Kairos_Fateweaver,legendary_lord,wh3_main_tze_kairos,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_tze_kairos,,1,general,false,false,,,,wh3_main_skill_node_tze_kairos_self_1,wh3_main_skill_tze_generic_hates_nurgle,Hates Nurgle,"Perhaps it is the Fly Lord's apparent nonchalance that enrages Tzeentch so? Whatever the reason, the Great Game's greatest player, and his greatest servant, have an adversary on which to focus their ire.",character_attack.png,0,0,1,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_tze_kairos_self_1
skill_level,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Kairos Fateweaver,Kairos_Fateweaver,legendary_lord,wh3_main_tze_kairos,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_tze_kairos,,1,general,false,false,,,,wh3_main_skill_node_tze_kairos_self_1,wh3_main_skill_tze_generic_hates_nurgle,Hates Nurgle,"Perhaps it is the Fly Lord's apparent nonchalance that enrages Tzeentch so? Whatever the reason, the Great Game's greatest player, and his greatest servant, have an adversary on which to focus their ire.",character_attack.png,0,0,1,0,true,0,1,1,Hates Nurgle,"Perhaps it is the Fly Lord's apparent nonchalance that enrages Tzeentch so? Whatever the reason, the Great Game's greatest player, and his greatest servant, have an adversary on which to focus their ire.",3,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_tze_generic_hates_nurgle|1|||
effect,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Kairos Fateweaver,Kairos_Fateweaver,legendary_lord,wh3_main_tze_kairos,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_tze_kairos,,1,general,false,false,,,,wh3_main_skill_node_tze_kairos_self_1,wh3_main_skill_tze_generic_hates_nurgle,Hates Nurgle,"Perhaps it is the Fly Lord's apparent nonchalance that enrages Tzeentch so? Whatever the reason, the Great Game's greatest player, and his greatest servant, have an adversary on which to focus their ire.",character_attack.png,0,0,1,0,true,0,1,1,Hates Nurgle,"Perhaps it is the Fly Lord's apparent nonchalance that enrages Tzeentch so? Whatever the reason, the Great Game's greatest player, and his greatest servant, have an adversary on which to focus their ire.",,,,,,wh3_main_effect_character_stat_melee_attack_vs_nurgle,Melee attack: %+n when fighting against Nurglish factions,,character_to_character_own,10,battle,131,true,melee_character.png,melee_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_tze_generic_hates_nurgle|wh3_main_effect_character_stat_melee_attack_vs_nurgle|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Kairos Fateweaver,Kairos_Fateweaver,legendary_lord,wh3_main_tze_kairos,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_tze_kairos,,1,general,false,false,,,,wh3_main_skill_node_tze_kairos_self_1,wh3_main_skill_tze_generic_hates_nurgle,Hates Nurgle,"Perhaps it is the Fly Lord's apparent nonchalance that enrages Tzeentch so? Whatever the reason, the Great Game's greatest player, and his greatest servant, have an adversary on which to focus their ire.",character_attack.png,0,0,1,0,true,0,1,1,Hates Nurgle,"Perhaps it is the Fly Lord's apparent nonchalance that enrages Tzeentch so? Whatever the reason, the Great Game's greatest player, and his greatest servant, have an adversary on which to focus their ire.",,,,,,wh3_main_effect_character_stat_weapon_strength_vs_nurgle,Weapon strength: %+n% when fighting against Nurglish factions,,character_to_character_own,15,battle,161,true,weapon_damage_character.png,weapon_damage_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_tze_generic_hates_nurgle|wh3_main_effect_character_stat_weapon_strength_vs_nurgle|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Kairos Fateweaver,Kairos_Fateweaver,legendary_lord,wh3_main_tze_kairos,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_tze_kairos,,1,general,false,false,,,,wh3_main_skill_node_tze_kairos_self_0,wh3_main_skill_tze_kairos_self_oracle_of_eternity,Oracle of Eternity,,wh3_main_lord_abilities_oracle_of_eternity.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_tze_kairos_self_0
skill_level,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Kairos Fateweaver,Kairos_Fateweaver,legendary_lord,wh3_main_tze_kairos,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_tze_kairos,,1,general,false,false,,,,wh3_main_skill_node_tze_kairos_self_0,wh3_main_skill_tze_kairos_self_oracle_of_eternity,Oracle of Eternity,,wh3_main_lord_abilities_oracle_of_eternity.png,0,1,0,0,true,0,1,1,Oracle of Eternity,,13,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_tze_kairos_self_oracle_of_eternity|1|||
effect,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Kairos Fateweaver,Kairos_Fateweaver,legendary_lord,wh3_main_tze_kairos,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_tze_kairos,,1,general,false,false,,,,wh3_main_skill_node_tze_kairos_self_0,wh3_main_skill_tze_kairos_self_oracle_of_eternity,Oracle of Eternity,,wh3_main_lord_abilities_oracle_of_eternity.png,0,1,0,0,true,0,1,1,Oracle of Eternity,,,,,,,wh3_main_effect_ability_enable_oracle_of_eternity,"Ability: ""Oracle of Eternity""",,character_to_character_own,1,battle,300,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_tze_kairos_self_oracle_of_eternity|wh3_main_effect_ability_enable_oracle_of_eternity|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Tzeentch,tzeentch,wh3_main_sc_tze_tzeentch,Kairos Fateweaver,Kairos_Fateweaver,legendary_lord,wh3_main_tze_kairos,general,general,wh3_dlc20_tze_apostles_of_change|wh3_dlc20_tze_the_sightless|wh3_dlc24_tze_the_deceivers|wh3_main_tze_all_seeing_eye|wh3_main_tze_broken_wheel|wh3_main_tze_flaming_scribes|wh3_main_tze_oracles_of_tzeentch|wh3_main_tze_sarthoraels_watchers|wh3_main_tze_tzeentch_invasion|wh3_main_tze_tzeentch_qb1|wh3_main_tze_tzeentch_qb2|wh3_main_tze_tzeentch_rebels,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_tze_kairos,,1,general,false,false,,,,wh3_main_skill_node_tze_kairos_self_0,wh3_main_skill_tze_kairos_self_oracle_of_eternity,Oracle of Eternity,,wh3_main_lord_abilities_oracle_of_eternity.png,0,1,0,0,true,0,1,1,Oracle of Eternity,,,,,,,wh3_main_effect_building_unit_stat_tze_barrier_bonus,Barrier: %+n% during battles,,character_to_character_own,40,battle,101,true,barrier.png,barrier.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_tze_kairos_self_oracle_of_eternity|wh3_main_effect_building_unit_stat_tze_barrier_bonus|1|character_to_character_own
