record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Archaon the Everchosen,Archaon_the_Everchosen,legendary_lord,wh_main_chs_archaon,general,general,wh3_dlc20_chs_chaos_qb4|wh_main_chs_chaos,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh_main_chs_archaon
node_set,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Archaon the Everchosen,Archaon_the_Everchosen,legendary_lord,wh_main_chs_archaon,general,general,wh3_dlc20_chs_chaos_qb4|wh_main_chs_chaos,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_chs_archaon,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh_main_skill_node_set_chs_archaon
node,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Archaon the Everchosen,Archaon_the_Everchosen,legendary_lord,wh_main_chs_archaon,general,general,wh3_dlc20_chs_chaos_qb4|wh_main_chs_chaos,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_chs_archaon,,1,general,false,false,,,,wh_dlc08_skill_chs_lord_unique_archaon_0,wh_dlc08_skill_chs_lord_unique_archaon_0,The Grand Marshal of Chaos,Only the very best candidates may serve at the right-hand of the Everchosen.,character_army.png,0,1,0,0,true,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc08_skill_chs_lord_unique_archaon_0
skill_level,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Archaon the Everchosen,Archaon_the_Everchosen,legendary_lord,wh_main_chs_archaon,general,general,wh3_dlc20_chs_chaos_qb4|wh_main_chs_chaos,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_chs_archaon,,1,general,false,false,,,,wh_dlc08_skill_chs_lord_unique_archaon_0,wh_dlc08_skill_chs_lord_unique_archaon_0,The Grand Marshal of Chaos,Only the very best candidates may serve at the right-hand of the Everchosen.,character_army.png,0,1,0,0,true,11,1,1,The Grand Marshal of Chaos,Only the very best candidates may serve at the right-hand of the Everchosen.,11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh_dlc08_skill_chs_lord_unique_archaon_0|1|||
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Archaon the Everchosen,Archaon_the_Everchosen,legendary_lord,wh_main_chs_archaon,general,general,wh3_dlc20_chs_chaos_qb4|wh_main_chs_chaos,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_chs_archaon,,1,general,false,false,,,,wh_dlc08_skill_chs_lord_unique_archaon_0,wh_dlc08_skill_chs_lord_unique_archaon_0,The Grand Marshal of Chaos,Only the very best candidates may serve at the right-hand of the Everchosen.,character_army.png,0,1,0,0,true,11,1,1,The Grand Marshal of Chaos,Only the very best candidates may serve at the right-hand of the Everchosen.,,,,,,wh_main_faction_xp_increase_generals,Lord recruit rank: %+n,,faction_to_province_own_factionwide,3,campaign,51,true,army.png,army.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc08_skill_chs_lord_unique_archaon_0|wh_main_faction_xp_increase_generals|1|faction_to_province_own_factionwide
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Archaon the Everchosen,Archaon_the_Everchosen,legendary_lord,wh_main_chs_archaon,general,general,wh3_dlc20_chs_chaos_qb4|wh_main_chs_chaos,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_chs_archaon,,1,general,false,false,,,,wh_dlc08_skill_chs_lord_unique_archaon_0,wh_dlc08_skill_chs_lord_unique_archaon_0,The Grand Marshal of Chaos,Only the very best candidates may serve at the right-hand of the Everchosen.,character_army.png,0,1,0,0,true,11,1,1,The Grand Marshal of Chaos,Only the very best candidates may serve at the right-hand of the Everchosen.,,,,,,wh_main_faction_xp_increase_generals_hidden,[HIDDEN - do not translate] Used to increase lord rank when replacing a lord (target the effect at forces factionwide) - use in conjunction with a shown effect that targets provinces factionwide,,faction_to_force_own,3,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc08_skill_chs_lord_unique_archaon_0|wh_main_faction_xp_increase_generals_hidden|1|faction_to_force_own
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Archaon the Everchosen,Archaon_the_Everchosen,legendary_lord,wh_main_chs_archaon,general,general,wh3_dlc20_chs_chaos_qb4|wh_main_chs_chaos,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_chs_archaon,,1,general,false,false,,,,wh_dlc08_skill_chs_lord_unique_archaon_0,wh_dlc08_skill_chs_lord_unique_archaon_0,The Grand Marshal of Chaos,Only the very best candidates may serve at the right-hand of the Everchosen.,character_army.png,0,1,0,0,true,11,1,1,The Grand Marshal of Chaos,Only the very best candidates may serve at the right-hand of the Everchosen.,,,,,,wh3_dlc20_effect_xp_gain_all_units,Unit experience gain: %+n%,,general_to_force_own,15,battle,611,true,experience.png,experience.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc08_skill_chs_lord_unique_archaon_0|wh3_dlc20_effect_xp_gain_all_units|1|general_to_force_own
node,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Archaon the Everchosen,Archaon_the_Everchosen,legendary_lord,wh_main_chs_archaon,general,general,wh3_dlc20_chs_chaos_qb4|wh_main_chs_chaos,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_chs_archaon,,1,general,false,false,,,,wh_main_skill_node_chs_archaon_self_01,wh_main_skill_chs_lord_self_eye_of_the_gods,Infernal Champion,"The Warriors of Chaos are the playthings of Gods and given many gifts, including formidable fighting skills.",character_damage.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_main_skill_node_chs_archaon_self_01
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Archaon the Everchosen,Archaon_the_Everchosen,legendary_lord,wh_main_chs_archaon,general,general,wh3_dlc20_chs_chaos_qb4|wh_main_chs_chaos,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_chs_archaon,,1,general,false,false,,,,wh_main_skill_node_chs_archaon_self_01,wh_main_skill_chs_lord_self_eye_of_the_gods,Infernal Champion,"The Warriors of Chaos are the playthings of Gods and given many gifts, including formidable fighting skills.",character_damage.png,0,2,0,0,true,0,1,1,Infernal Champion,"The Warriors of Chaos are the playthings of Gods and given many gifts, including formidable fighting skills.",,,,,,wh_main_effect_character_stat_weapon_strength,Weapon strength: %+n%,,character_to_character_own,10,both,160,true,weapon_damage_character.png,weapon_damage_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_chs_lord_self_eye_of_the_gods|wh_main_effect_character_stat_weapon_strength|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Archaon the Everchosen,Archaon_the_Everchosen,legendary_lord,wh_main_chs_archaon,general,general,wh3_dlc20_chs_chaos_qb4|wh_main_chs_chaos,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_chs_archaon,,1,general,false,false,,,,wh_main_skill_node_chs_archaon_magic1_01,wh_main_skill_all_magic_metal_01_searing_doom,Searing Doom,,wh_main_spell_metal_searing_doom.png,0,3,0,0,true,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_main_skill_node_chs_archaon_magic1_01
