record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc20_sla_azazel
node_set,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc20_skill_node_set_sla_azazel
node,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_azazel_magic_dummy,wh3_main_skill_sla_magic_slaanesh_dummy_lash_of_slaanesh_acquiescence,,,trait_human.png,0,0,1,0,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc20_skill_node_azazel_magic_dummy
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_azazel_magic_dummy,wh3_main_skill_sla_magic_slaanesh_dummy_lash_of_slaanesh_acquiescence,,,trait_human.png,0,0,1,0,false,0,1,1,,,,,,,,wh3_main_effect_ability_enable_acquiescence,"Spell: ""Acquiescence""",,character_to_character_own,1,battle,290,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_sla_magic_slaanesh_dummy_lash_of_slaanesh_acquiescence|wh3_main_effect_ability_enable_acquiescence|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_azazel_magic_dummy,wh3_main_skill_sla_magic_slaanesh_dummy_lash_of_slaanesh_acquiescence,,,trait_human.png,0,0,1,0,false,0,1,1,,,,,,,,wh3_main_effect_ability_enable_slaanesh_lash_of_slaanesh,"Spell: ""Lash of Slaanesh""",,character_to_character_own,1,battle,290,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_sla_magic_slaanesh_dummy_lash_of_slaanesh_acquiescence|wh3_main_effect_ability_enable_slaanesh_lash_of_slaanesh|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_sla_azazel_self_1,wh3_main_skill_sla_all_combat_speed,Rapid Ruination,"Swift flashes of an agile form and razor-sharp blades are all this Daemon Lord's victims see of him, but by then it's already far, far too late.",character_speed.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc20_skill_node_sla_azazel_self_1
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_sla_azazel_self_1,wh3_main_skill_sla_all_combat_speed,Rapid Ruination,"Swift flashes of an agile form and razor-sharp blades are all this Daemon Lord's victims see of him, but by then it's already far, far too late.",character_speed.png,0,2,0,0,true,0,1,1,Rapid Ruination,"Swift flashes of an agile form and razor-sharp blades are all this Daemon Lord's victims see of him, but by then it's already far, far too late.",,,,,,wh_main_effect_character_stat_speed,Speed: %+n%,,character_to_character_own,12,both,120,true,battle_movement_character.png,battle_movement_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_sla_all_combat_speed|wh_main_effect_character_stat_speed|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_skill_node_chs_azazel_magic_01,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord,Lash of Slaanesh,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc20_skill_node_skill_node_chs_azazel_magic_01
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_skill_node_chs_azazel_magic_01,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord,Lash of Slaanesh,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,1,Lash of Slaanesh,,,,,,,wh3_main_effect_ability_cooldown_lash_of_slaanesh,"Cooldown: %+n% to ""Lash of Slaanesh""",,character_to_character_own,-30,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord|wh3_main_effect_ability_cooldown_lash_of_slaanesh|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_skill_node_chs_azazel_magic_01,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord,Lash of Slaanesh,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,1,Lash of Slaanesh,,,,,,,wh3_main_effect_ability_overcast_lash_of_slaanesh,"Overcast spell: ""Lash of Slaanesh Upgraded""",,character_to_character_own,1,both,292,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord|wh3_main_effect_ability_overcast_lash_of_slaanesh|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_skill_node_chs_azazel_magic_01,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord,Lash of Slaanesh,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,2,Lash of Slaanesh,,,,,,,wh3_main_effect_ability_cooldown_lash_of_slaanesh,"Cooldown: %+n% to ""Lash of Slaanesh""",,character_to_character_own,-50,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord|wh3_main_effect_ability_cooldown_lash_of_slaanesh|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_skill_node_chs_azazel_magic_01,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord,Lash of Slaanesh,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,2,Lash of Slaanesh,,,,,,,wh3_main_effect_ability_miscast_lash_of_slaanesh_upgraded,"Miscast base chance: %+n% for ""Lash of Slaanesh Upgraded""",,character_to_character_own,-15,both,298,false,magic.png,magic.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord|wh3_main_effect_ability_miscast_lash_of_slaanesh_upgraded|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_skill_node_chs_azazel_magic_01,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord,Lash of Slaanesh,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,2,Lash of Slaanesh,,,,,,,wh3_main_effect_ability_overcast_lash_of_slaanesh,"Overcast spell: ""Lash of Slaanesh Upgraded""",,character_to_character_own,1,both,292,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord|wh3_main_effect_ability_overcast_lash_of_slaanesh|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_skill_node_chs_azazel_magic_01,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord,Lash of Slaanesh,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,2,Lash of Slaanesh,,,,,,,wh3_main_effect_ability_wom_cost_lash_of_slaanesh,"Winds of Magic cost: %n for ""Lash of Slaanesh""",,character_to_character_own,-1,both,294,false,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord|wh3_main_effect_ability_wom_cost_lash_of_slaanesh|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_skill_node_chs_azazel_magic_01,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord,Lash of Slaanesh,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,2,Lash of Slaanesh,,,,,,,wh3_main_effect_ability_wom_cost_lash_of_slaanesh_upgraded,"Winds of Magic cost: %n for ""Lash of Slaanesh Upgraded""",,character_to_character_own,-2,both,295,false,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_sla_magic_slaanesh_01_lash_of_slaanesh_lord|wh3_main_effect_ability_wom_cost_lash_of_slaanesh_upgraded|2|character_to_character_own
node,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Azazel,Azazel,legendary_lord,wh3_dlc20_sla_azazel,general,general,wh3_dlc20_chs_azazel,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_sla_azazel,,1,general,false,false,,,,wh3_dlc20_skill_node_sla_azazel_battle_1,wh_main_skill_chs_lord_battle_dominating_presence,Dominating Presence,A Chaos Lord dominates – lesser beings cringe from a being that is so intently under scrutiny from the Dark Gods.,battle_morale.png,0,4,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc20_skill_node_sla_azazel_battle_1
