record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Festus the Leechlord,Festus_the_Leechlord,legendary_lord,wh3_dlc20_nur_festus,general,general,wh3_dlc20_chs_festus,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc20_nur_festus
node_set,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Festus the Leechlord,Festus_the_Leechlord,legendary_lord,wh3_dlc20_nur_festus,general,general,wh3_dlc20_chs_festus,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_nur_festus,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc20_skill_node_set_nur_festus
node,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Festus the Leechlord,Festus_the_Leechlord,legendary_lord,wh3_dlc20_nur_festus,general,general,wh3_dlc20_chs_festus,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_nur_festus,,1,general,false,false,,,,wh3_dlc20_skill_node_festus_magic_dummy,wh3_main_skill_nur_magic_nurgle_dummy_miasma_of_pestilence_stream_of_corruption,,,trait_human.png,0,0,1,0,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc20_skill_node_festus_magic_dummy
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Festus the Leechlord,Festus_the_Leechlord,legendary_lord,wh3_dlc20_nur_festus,general,general,wh3_dlc20_chs_festus,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_nur_festus,,1,general,false,false,,,,wh3_dlc20_skill_node_festus_magic_dummy,wh3_main_skill_nur_magic_nurgle_dummy_miasma_of_pestilence_stream_of_corruption,,,trait_human.png,0,0,1,0,false,0,1,1,,,,,,,,wh3_main_effect_ability_enable_miasma_of_pestilence,"Spell: ""Miasma of Pestilence""",,character_to_character_own,1,battle,290,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_nur_magic_nurgle_dummy_miasma_of_pestilence_stream_of_corruption|wh3_main_effect_ability_enable_miasma_of_pestilence|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Festus the Leechlord,Festus_the_Leechlord,legendary_lord,wh3_dlc20_nur_festus,general,general,wh3_dlc20_chs_festus,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_nur_festus,,1,general,false,false,,,,wh3_dlc20_skill_node_festus_magic_dummy,wh3_main_skill_nur_magic_nurgle_dummy_miasma_of_pestilence_stream_of_corruption,,,trait_human.png,0,0,1,0,false,0,1,1,,,,,,,,wh3_main_effect_ability_enable_stream_of_corruption,"Spell: ""Stream of Corruption""",,character_to_character_own,1,battle,290,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_nur_magic_nurgle_dummy_miasma_of_pestilence_stream_of_corruption|wh3_main_effect_ability_enable_stream_of_corruption|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Festus the Leechlord,Festus_the_Leechlord,legendary_lord,wh3_dlc20_nur_festus,general,general,wh3_dlc20_chs_festus,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_nur_festus,,1,general,false,false,,,,wh3_dlc20_skill_node_nur_festus_unique_1,wh3_dlc20_skill_chs_festus_unique_sample_collection,Sage of Contagion,"Nurgle not only grants Festus the knowledge to cultivate all the mortal world’s pathogens, but also those of countless other realities. ",wh2_dlc12_secondwind_serum.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc20_skill_node_nur_festus_unique_1
skill_level,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Festus the Leechlord,Festus_the_Leechlord,legendary_lord,wh3_dlc20_nur_festus,general,general,wh3_dlc20_chs_festus,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_nur_festus,,1,general,false,false,,,,wh3_dlc20_skill_node_nur_festus_unique_1,wh3_dlc20_skill_chs_festus_unique_sample_collection,Sage of Contagion,"Nurgle not only grants Festus the knowledge to cultivate all the mortal world’s pathogens, but also those of countless other realities. ",wh2_dlc12_secondwind_serum.png,0,1,0,0,true,0,1,1,Sage of Contagion,"Nurgle not only grants Festus the knowledge to cultivate all the mortal world’s pathogens, but also those of countless other realities. ",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc20_skill_chs_festus_unique_sample_collection|1|||
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Festus the Leechlord,Festus_the_Leechlord,legendary_lord,wh3_dlc20_nur_festus,general,general,wh3_dlc20_chs_festus,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_nur_festus,,1,general,false,false,,,,wh3_dlc20_skill_node_nur_festus_unique_1,wh3_dlc20_skill_chs_festus_unique_sample_collection,Sage of Contagion,"Nurgle not only grants Festus the knowledge to cultivate all the mortal world’s pathogens, but also those of countless other realities. ",wh2_dlc12_secondwind_serum.png,0,1,0,0,true,0,1,1,Sage of Contagion,"Nurgle not only grants Festus the knowledge to cultivate all the mortal world’s pathogens, but also those of countless other realities. ",,,,,,wh_main_effect_force_all_campaign_captives,Casualties captured post-battle: %+n%,,character_to_force_own_unseen,25,campaign,51,true,military.png,military.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc20_skill_chs_festus_unique_sample_collection|wh_main_effect_force_all_campaign_captives|1|character_to_force_own_unseen
effect,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Festus the Leechlord,Festus_the_Leechlord,legendary_lord,wh3_dlc20_nur_festus,general,general,wh3_dlc20_chs_festus,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_nur_festus,,1,general,false,false,,,,wh3_dlc20_skill_node_nur_festus_unique_1,wh3_dlc20_skill_chs_festus_unique_sample_collection,Sage of Contagion,"Nurgle not only grants Festus the knowledge to cultivate all the mortal world’s pathogens, but also those of countless other realities. ",wh2_dlc12_secondwind_serum.png,0,1,0,0,true,0,1,1,Sage of Contagion,"Nurgle not only grants Festus the knowledge to cultivate all the mortal world’s pathogens, but also those of countless other realities. ",,,,,,wh3_main_effect_force_direct_infection_cost,Infection cost to create a Plague: %+n%,,character_to_force_own_provincewide,-25,campaign,101,false,infections_bundle.png,infections_bundle.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc20_skill_chs_festus_unique_sample_collection|wh3_main_effect_force_direct_infection_cost|1|character_to_force_own_provincewide
node,warhammer_3,8.1.1,24237342,Warriors of Chaos,warriors_of_chaos,wh_main_sc_chs_chaos,Festus the Leechlord,Festus_the_Leechlord,legendary_lord,wh3_dlc20_nur_festus,general,general,wh3_dlc20_chs_festus,true,false,true,true,false,true,,legendary_lords,wh3_dlc20_skill_node_set_nur_festus,,1,general,false,false,,,,wh3_dlc20_skill_node_chs_festus_magic_1,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord,Miasma of Pestilence,,wh3_main_spell_great_maw_bullgorger.png,0,2,0,0,true,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc20_skill_node_chs_festus_magic_1
