record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Drycha,Drycha,legendary_lord,wh2_dlc16_wef_drycha,general,general,wh2_dlc16_wef_drycha|wh2_dlc16_wef_sisters_of_twilight|wh_dlc05_wef_argwylon|wh_dlc05_wef_wood_elves,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc16_wef_drycha
node_set,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Drycha,Drycha,legendary_lord,wh2_dlc16_wef_drycha,general,general,wh2_dlc16_wef_drycha|wh2_dlc16_wef_sisters_of_twilight|wh_dlc05_wef_argwylon|wh_dlc05_wef_wood_elves,true,false,true,true,false,true,,legendary_lords,wh_dlc16_skill_node_set_wef_drycha,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh_dlc16_skill_node_set_wef_drycha
node,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Drycha,Drycha,legendary_lord,wh2_dlc16_wef_drycha,general,general,wh2_dlc16_wef_drycha|wh2_dlc16_wef_sisters_of_twilight|wh_dlc05_wef_argwylon|wh_dlc05_wef_wood_elves,true,false,true,true,false,true,,legendary_lords,wh_dlc16_skill_node_set_wef_drycha,,1,general,false,false,,,,wh2_dlc16_wef_drycha_unique_0,wh2_dlc16_wef_drycha_unique_1,Nature’s Vengeance,Those at forest fringes where the Wargrove is known to dwell gather anything but deadwood at their peril!,character_charge.png,0,1,0,0,true,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc16_wef_drycha_unique_0
skill_level,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Drycha,Drycha,legendary_lord,wh2_dlc16_wef_drycha,general,general,wh2_dlc16_wef_drycha|wh2_dlc16_wef_sisters_of_twilight|wh_dlc05_wef_argwylon|wh_dlc05_wef_wood_elves,true,false,true,true,false,true,,legendary_lords,wh_dlc16_skill_node_set_wef_drycha,,1,general,false,false,,,,wh2_dlc16_wef_drycha_unique_0,wh2_dlc16_wef_drycha_unique_1,Nature’s Vengeance,Those at forest fringes where the Wargrove is known to dwell gather anything but deadwood at their peril!,character_charge.png,0,1,0,0,true,11,1,1,Nature’s Vengeance,Those at forest fringes where the Wargrove is known to dwell gather anything but deadwood at their peril!,11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc16_wef_drycha_unique_1|1|||
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Drycha,Drycha,legendary_lord,wh2_dlc16_wef_drycha,general,general,wh2_dlc16_wef_drycha|wh2_dlc16_wef_sisters_of_twilight|wh_dlc05_wef_argwylon|wh_dlc05_wef_wood_elves,true,false,true,true,false,true,,legendary_lords,wh_dlc16_skill_node_set_wef_drycha,,1,general,false,false,,,,wh2_dlc16_wef_drycha_unique_0,wh2_dlc16_wef_drycha_unique_1,Nature’s Vengeance,Those at forest fringes where the Wargrove is known to dwell gather anything but deadwood at their peril!,character_charge.png,0,1,0,0,true,11,1,1,Nature’s Vengeance,Those at forest fringes where the Wargrove is known to dwell gather anything but deadwood at their peril!,,,,,,wh2_dlc16_effect_ability_roused_to_wrath_upgrade_1,"Roused to Wrath ability gains increased range, and the summoned Dryads no longer degrade",,character_to_character_own,1,both,600,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc16_wef_drycha_unique_1|wh2_dlc16_effect_ability_roused_to_wrath_upgrade_1|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Drycha,Drycha,legendary_lord,wh2_dlc16_wef_drycha,general,general,wh2_dlc16_wef_drycha|wh2_dlc16_wef_sisters_of_twilight|wh_dlc05_wef_argwylon|wh_dlc05_wef_wood_elves,true,false,true,true,false,true,,legendary_lords,wh_dlc16_skill_node_set_wef_drycha,,1,general,false,false,,,,wh2_dlc16_wef_drycha_unique_0,wh2_dlc16_wef_drycha_unique_1,Nature’s Vengeance,Those at forest fringes where the Wargrove is known to dwell gather anything but deadwood at their peril!,character_charge.png,0,1,0,0,true,11,1,1,Nature’s Vengeance,Those at forest fringes where the Wargrove is known to dwell gather anything but deadwood at their peril!,,,,,,wh2_dlc16_wef_charge_bonus_tree_units,"Charge bonus: %+n for Dryad, Tree Kin and Treeman units",,general_to_force_own,10,battle,501,true,charge.png,charge.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc16_wef_drycha_unique_1|wh2_dlc16_wef_charge_bonus_tree_units|1|general_to_force_own
node,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Drycha,Drycha,legendary_lord,wh2_dlc16_wef_drycha,general,general,wh2_dlc16_wef_drycha|wh2_dlc16_wef_sisters_of_twilight|wh_dlc05_wef_argwylon|wh_dlc05_wef_wood_elves,true,false,true,true,false,true,,legendary_lords,wh_dlc16_skill_node_set_wef_drycha,,1,general,false,false,,,,wh2_dlc16_wef_drycha_melee_0,wh_main_skill_all_all_self_foe-seeker,Foe-Seeker," From one bloodied, lifeless corpse to the next, this one is always looking for the next adversary to best.",wh_main_character_abilities_foe_seeker.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc16_wef_drycha_melee_0
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Drycha,Drycha,legendary_lord,wh2_dlc16_wef_drycha,general,general,wh2_dlc16_wef_drycha|wh2_dlc16_wef_sisters_of_twilight|wh_dlc05_wef_argwylon|wh_dlc05_wef_wood_elves,true,false,true,true,false,true,,legendary_lords,wh_dlc16_skill_node_set_wef_drycha,,1,general,false,false,,,,wh2_dlc16_wef_drycha_melee_0,wh_main_skill_all_all_self_foe-seeker,Foe-Seeker," From one bloodied, lifeless corpse to the next, this one is always looking for the next adversary to best.",wh_main_character_abilities_foe_seeker.png,0,2,0,0,true,0,1,1,Foe-Seeker," From one bloodied, lifeless corpse to the next, this one is always looking for the next adversary to best.",,,,,,wh_main_effect_ability_enable_foe-seeker,"Ability: ""Foe-Seeker""",,character_to_character_own,1,battle,300,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_all_self_foe-seeker|wh_main_effect_ability_enable_foe-seeker|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Drycha,Drycha,legendary_lord,wh2_dlc16_wef_drycha,general,general,wh2_dlc16_wef_drycha|wh2_dlc16_wef_sisters_of_twilight|wh_dlc05_wef_argwylon|wh_dlc05_wef_wood_elves,true,false,true,true,false,true,,legendary_lords,wh_dlc16_skill_node_set_wef_drycha,,1,general,false,false,,,,wh2_dlc16_skill_drycha_magic_0,wh_dlc05_skill_magic_shadow_mystifying_miasma,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",wh_dlc05_spell_shadow_melkoths_mystifying_miasma.png,0,3,0,0,true,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc16_skill_drycha_magic_0
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Drycha,Drycha,legendary_lord,wh2_dlc16_wef_drycha,general,general,wh2_dlc16_wef_drycha|wh2_dlc16_wef_sisters_of_twilight|wh_dlc05_wef_argwylon|wh_dlc05_wef_wood_elves,true,false,true,true,false,true,,legendary_lords,wh_dlc16_skill_node_set_wef_drycha,,1,general,false,false,,,,wh2_dlc16_skill_drycha_magic_0,wh_dlc05_skill_magic_shadow_mystifying_miasma,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",wh_dlc05_spell_shadow_melkoths_mystifying_miasma.png,0,3,0,0,true,0,2,1,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",,,,,,wh_dlc05_effect_ability_cooldown_melkoths_mystifying_miasma,"Cooldown: %+n% to ""Melkoth's Mystifying Miasma""",,character_to_character_own,-30,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc05_skill_magic_shadow_mystifying_miasma|wh_dlc05_effect_ability_cooldown_melkoths_mystifying_miasma|1|character_to_character_own
