record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Maddened Ancient,Maddened_Ancient,hero,wh2_dlc16_wef_coeddil,champion,champion,wh2_dlc16_wef_drycha,false,true,true,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc16_wef_coeddil
node_set,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Maddened Ancient,Maddened_Ancient,hero,wh2_dlc16_wef_coeddil,champion,champion,wh2_dlc16_wef_drycha,false,true,true,false,false,true,,,wh_dlc16_skill_node_set_wef_coeddil,,1,champion,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh_dlc16_skill_node_set_wef_coeddil
node,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Maddened Ancient,Maddened_Ancient,hero,wh2_dlc16_wef_coeddil,champion,champion,wh2_dlc16_wef_drycha,false,true,true,false,false,true,,,wh_dlc16_skill_node_set_wef_coeddil,,1,champion,false,false,,,,wh_dlc16_skill_node_wef_coeddil_innate,wh2_dlc16_skill_wef_coeddil_innate,Rotten Soul,Coeddil's curdled heart attracts the most malignant and terrifying spirits.,trait_spite_1.png,0,0,1,0,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc16_skill_node_wef_coeddil_innate
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Maddened Ancient,Maddened_Ancient,hero,wh2_dlc16_wef_coeddil,champion,champion,wh2_dlc16_wef_drycha,false,true,true,false,false,true,,,wh_dlc16_skill_node_set_wef_coeddil,,1,champion,false,false,,,,wh_dlc16_skill_node_wef_coeddil_innate,wh2_dlc16_skill_wef_coeddil_innate,Rotten Soul,Coeddil's curdled heart attracts the most malignant and terrifying spirits.,trait_spite_1.png,0,0,1,0,false,0,1,1,Rotten Soul,Coeddil's curdled heart attracts the most malignant and terrifying spirits.,,,,,,wh2_dlc11_enable_immortal_hidden,[HIDDEN] adds immortal,,character_to_character_own,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc16_skill_wef_coeddil_innate|wh2_dlc11_enable_immortal_hidden|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Maddened Ancient,Maddened_Ancient,hero,wh2_dlc16_wef_coeddil,champion,champion,wh2_dlc16_wef_drycha,false,true,true,false,false,true,,,wh_dlc16_skill_node_set_wef_coeddil,,1,champion,false,false,,,,wh_dlc16_skill_node_wef_coeddil_innate,wh2_dlc16_skill_wef_coeddil_innate,Rotten Soul,Coeddil's curdled heart attracts the most malignant and terrifying spirits.,trait_spite_1.png,0,0,1,0,false,0,1,1,Rotten Soul,Coeddil's curdled heart attracts the most malignant and terrifying spirits.,,,,,,wh2_dlc16_effect_ability_enable_murder_of_spites,"Passive ability: ""Murder of Spites""",,character_to_character_own,1,battle,600,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc16_skill_wef_coeddil_innate|wh2_dlc16_effect_ability_enable_murder_of_spites|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Maddened Ancient,Maddened_Ancient,hero,wh2_dlc16_wef_coeddil,champion,champion,wh2_dlc16_wef_drycha,false,true,true,false,false,true,,,wh_dlc16_skill_node_set_wef_coeddil,,1,champion,false,false,,,,wh_dlc16_skill_node_wef_coeddil_innate,wh2_dlc16_skill_wef_coeddil_innate,Rotten Soul,Coeddil's curdled heart attracts the most malignant and terrifying spirits.,trait_spite_1.png,0,0,1,0,false,0,1,1,Rotten Soul,Coeddil's curdled heart attracts the most malignant and terrifying spirits.,,,,,,wh2_dlc16_effect_ability_enable_muster_of_malevolents,"Ability: ""Muster of Malevolents""",,character_to_character_own,1,battle,600,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc16_skill_wef_coeddil_innate|wh2_dlc16_effect_ability_enable_muster_of_malevolents|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Maddened Ancient,Maddened_Ancient,hero,wh2_dlc16_wef_coeddil,champion,champion,wh2_dlc16_wef_drycha,false,true,true,false,false,true,,,wh_dlc16_skill_node_set_wef_coeddil,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_coeddil_unique_01,wh2_dlc16_skill_wef_coeddil_unique_1,Ancient Warding,"By the eternal will of the Ancients, the forest looks after its own.",character_ward_save.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc16_skill_node_wef_coeddil_unique_01
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Maddened Ancient,Maddened_Ancient,hero,wh2_dlc16_wef_coeddil,champion,champion,wh2_dlc16_wef_drycha,false,true,true,false,false,true,,,wh_dlc16_skill_node_set_wef_coeddil,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_coeddil_unique_01,wh2_dlc16_skill_wef_coeddil_unique_1,Ancient Warding,"By the eternal will of the Ancients, the forest looks after its own.",character_ward_save.png,0,0,0,0,true,0,1,1,Ancient Warding,"By the eternal will of the Ancients, the forest looks after its own.",,,,,,wh2_dlc16_effect_bonus_physical_resistance_when_in_forest,Physical resistance: %n% during forest battles,,agent_to_parent_army_own,15,battle,23,true,resistance_physical.png,resistance_physical.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc16_skill_wef_coeddil_unique_1|wh2_dlc16_effect_bonus_physical_resistance_when_in_forest|1|agent_to_parent_army_own
node,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Maddened Ancient,Maddened_Ancient,hero,wh2_dlc16_wef_coeddil,champion,champion,wh2_dlc16_wef_drycha,false,true,true,false,false,true,,,wh_dlc16_skill_node_set_wef_coeddil,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_coeddil_battle_01,wh_main_skill_all_all_self_foe-seeker,Foe-Seeker," From one bloodied, lifeless corpse to the next, this one is always looking for the next adversary to best.",wh_main_character_abilities_foe_seeker.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc16_skill_node_wef_coeddil_battle_01
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Maddened Ancient,Maddened_Ancient,hero,wh2_dlc16_wef_coeddil,champion,champion,wh2_dlc16_wef_drycha,false,true,true,false,false,true,,,wh_dlc16_skill_node_set_wef_coeddil,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_coeddil_battle_01,wh_main_skill_all_all_self_foe-seeker,Foe-Seeker," From one bloodied, lifeless corpse to the next, this one is always looking for the next adversary to best.",wh_main_character_abilities_foe_seeker.png,0,1,0,0,true,0,1,1,Foe-Seeker," From one bloodied, lifeless corpse to the next, this one is always looking for the next adversary to best.",,,,,,wh_main_effect_ability_enable_foe-seeker,"Ability: ""Foe-Seeker""",,character_to_character_own,1,battle,300,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_all_self_foe-seeker|wh_main_effect_ability_enable_foe-seeker|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Maddened Ancient,Maddened_Ancient,hero,wh2_dlc16_wef_coeddil,champion,champion,wh2_dlc16_wef_drycha,false,true,true,false,false,true,,,wh_dlc16_skill_node_set_wef_coeddil,,1,champion,false,false,,,,wh_dlc16_skill_node_wef_coeddil_magic_0,wh2_main_skill_magic_dark_power_of_darkness_lord,Power of Darkness,,wh2_main_spell_dark_magic_power_of_darkness.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc16_skill_node_wef_coeddil_magic_0
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Maddened Ancient,Maddened_Ancient,hero,wh2_dlc16_wef_coeddil,champion,champion,wh2_dlc16_wef_drycha,false,true,true,false,false,true,,,wh_dlc16_skill_node_set_wef_coeddil,,1,champion,false,false,,,,wh_dlc16_skill_node_wef_coeddil_magic_0,wh2_main_skill_magic_dark_power_of_darkness_lord,Power of Darkness,,wh2_main_spell_dark_magic_power_of_darkness.png,0,2,0,0,true,0,1,1,Power of Darkness,,,,,,,wh2_main_effect_ability_cooldown_power_of_darkness,"Cooldown: %+n% to ""Power of Darkness""",,character_to_character_own,-50,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_magic_dark_power_of_darkness_lord|wh2_main_effect_ability_cooldown_power_of_darkness|1|character_to_character_own
