record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Malevolent Branchwraith (Shadows),Malevolent_Branchwraith_Shadows,hero,wh2_dlc16_wef_malicious_branchwraith_shadows,champion,champion,wh2_dlc16_wef_drycha,false,false,true,true,true,true,wh_dlc05_lore_shadows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc16_wef_malicious_branchwraith_shadows
node_set,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Malevolent Branchwraith (Shadows),Malevolent_Branchwraith_Shadows,hero,wh2_dlc16_wef_malicious_branchwraith_shadows,champion,champion,wh2_dlc16_wef_drycha,false,false,true,true,true,true,wh_dlc05_lore_shadows,,wh2_dlc16_skill_node_set_wef_malicious_branchwraith_shadows,,1,champion,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc16_skill_node_set_wef_malicious_branchwraith_shadows
node,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Malevolent Branchwraith (Shadows),Malevolent_Branchwraith_Shadows,hero,wh2_dlc16_wef_malicious_branchwraith_shadows,champion,champion,wh2_dlc16_wef_drycha,false,false,true,true,true,true,wh_dlc05_lore_shadows,,wh2_dlc16_skill_node_set_wef_malicious_branchwraith_shadows,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_malicious_branchwraith_shadows_magic_01,wh_dlc05_skill_magic_shadow_mystifying_miasma,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",wh_dlc05_spell_shadow_melkoths_mystifying_miasma.png,0,1,0,0,true,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc16_skill_node_wef_malicious_branchwraith_shadows_magic_01
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Malevolent Branchwraith (Shadows),Malevolent_Branchwraith_Shadows,hero,wh2_dlc16_wef_malicious_branchwraith_shadows,champion,champion,wh2_dlc16_wef_drycha,false,false,true,true,true,true,wh_dlc05_lore_shadows,,wh2_dlc16_skill_node_set_wef_malicious_branchwraith_shadows,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_malicious_branchwraith_shadows_magic_01,wh_dlc05_skill_magic_shadow_mystifying_miasma,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",wh_dlc05_spell_shadow_melkoths_mystifying_miasma.png,0,1,0,0,true,0,2,1,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",,,,,,wh_dlc05_effect_ability_cooldown_melkoths_mystifying_miasma,"Cooldown: %+n% to ""Melkoth's Mystifying Miasma""",,character_to_character_own,-30,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc05_skill_magic_shadow_mystifying_miasma|wh_dlc05_effect_ability_cooldown_melkoths_mystifying_miasma|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Malevolent Branchwraith (Shadows),Malevolent_Branchwraith_Shadows,hero,wh2_dlc16_wef_malicious_branchwraith_shadows,champion,champion,wh2_dlc16_wef_drycha,false,false,true,true,true,true,wh_dlc05_lore_shadows,,wh2_dlc16_skill_node_set_wef_malicious_branchwraith_shadows,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_malicious_branchwraith_shadows_magic_01,wh_dlc05_skill_magic_shadow_mystifying_miasma,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",wh_dlc05_spell_shadow_melkoths_mystifying_miasma.png,0,1,0,0,true,0,2,1,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",,,,,,wh2_main_effect_ability_overcast_melkoths_mystifying_miasma,"Overcast spell: ""Melkoth's Mystifying Miasma Upgraded""",,character_to_character_own,1,both,292,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc05_skill_magic_shadow_mystifying_miasma|wh2_main_effect_ability_overcast_melkoths_mystifying_miasma|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Malevolent Branchwraith (Shadows),Malevolent_Branchwraith_Shadows,hero,wh2_dlc16_wef_malicious_branchwraith_shadows,champion,champion,wh2_dlc16_wef_drycha,false,false,true,true,true,true,wh_dlc05_lore_shadows,,wh2_dlc16_skill_node_set_wef_malicious_branchwraith_shadows,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_malicious_branchwraith_shadows_magic_01,wh_dlc05_skill_magic_shadow_mystifying_miasma,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",wh_dlc05_spell_shadow_melkoths_mystifying_miasma.png,0,1,0,0,true,0,2,2,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",,,,,,wh_dlc05_effect_ability_cooldown_melkoths_mystifying_miasma,"Cooldown: %+n% to ""Melkoth's Mystifying Miasma""",,character_to_character_own,-50,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc05_skill_magic_shadow_mystifying_miasma|wh_dlc05_effect_ability_cooldown_melkoths_mystifying_miasma|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Malevolent Branchwraith (Shadows),Malevolent_Branchwraith_Shadows,hero,wh2_dlc16_wef_malicious_branchwraith_shadows,champion,champion,wh2_dlc16_wef_drycha,false,false,true,true,true,true,wh_dlc05_lore_shadows,,wh2_dlc16_skill_node_set_wef_malicious_branchwraith_shadows,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_malicious_branchwraith_shadows_magic_01,wh_dlc05_skill_magic_shadow_mystifying_miasma,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",wh_dlc05_spell_shadow_melkoths_mystifying_miasma.png,0,1,0,0,true,0,2,2,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",,,,,,wh2_main_effect_ability_miscast_melkoths_mystifying_miasma_upgraded,"Miscast base chance: %+n% for ""Melkoth's Mystifying Miasma Upgraded""",,character_to_character_own,-15,both,298,false,magic.png,magic.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc05_skill_magic_shadow_mystifying_miasma|wh2_main_effect_ability_miscast_melkoths_mystifying_miasma_upgraded|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Malevolent Branchwraith (Shadows),Malevolent_Branchwraith_Shadows,hero,wh2_dlc16_wef_malicious_branchwraith_shadows,champion,champion,wh2_dlc16_wef_drycha,false,false,true,true,true,true,wh_dlc05_lore_shadows,,wh2_dlc16_skill_node_set_wef_malicious_branchwraith_shadows,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_malicious_branchwraith_shadows_magic_01,wh_dlc05_skill_magic_shadow_mystifying_miasma,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",wh_dlc05_spell_shadow_melkoths_mystifying_miasma.png,0,1,0,0,true,0,2,2,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",,,,,,wh2_main_effect_ability_overcast_melkoths_mystifying_miasma,"Overcast spell: ""Melkoth's Mystifying Miasma Upgraded""",,character_to_character_own,1,both,292,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc05_skill_magic_shadow_mystifying_miasma|wh2_main_effect_ability_overcast_melkoths_mystifying_miasma|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Malevolent Branchwraith (Shadows),Malevolent_Branchwraith_Shadows,hero,wh2_dlc16_wef_malicious_branchwraith_shadows,champion,champion,wh2_dlc16_wef_drycha,false,false,true,true,true,true,wh_dlc05_lore_shadows,,wh2_dlc16_skill_node_set_wef_malicious_branchwraith_shadows,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_malicious_branchwraith_shadows_magic_01,wh_dlc05_skill_magic_shadow_mystifying_miasma,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",wh_dlc05_spell_shadow_melkoths_mystifying_miasma.png,0,1,0,0,true,0,2,2,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",,,,,,wh2_main_effect_ability_wom_cost_melkoths_mystifying_miasma,"Winds of Magic cost: %n for ""Melkoth's Mystifying Miasma""",,character_to_character_own,-1,both,294,false,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc05_skill_magic_shadow_mystifying_miasma|wh2_main_effect_ability_wom_cost_melkoths_mystifying_miasma|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Malevolent Branchwraith (Shadows),Malevolent_Branchwraith_Shadows,hero,wh2_dlc16_wef_malicious_branchwraith_shadows,champion,champion,wh2_dlc16_wef_drycha,false,false,true,true,true,true,wh_dlc05_lore_shadows,,wh2_dlc16_skill_node_set_wef_malicious_branchwraith_shadows,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_malicious_branchwraith_shadows_magic_01,wh_dlc05_skill_magic_shadow_mystifying_miasma,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",wh_dlc05_spell_shadow_melkoths_mystifying_miasma.png,0,1,0,0,true,0,2,2,Melkoth's Mystifying Miasma,"The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.",,,,,,wh2_main_effect_ability_wom_cost_melkoths_mystifying_miasma_upgraded,"Winds of Magic cost: %n for ""Melkoth's Mystifying Miasma Upgraded""",,character_to_character_own,-2,both,295,false,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc05_skill_magic_shadow_mystifying_miasma|wh2_main_effect_ability_wom_cost_melkoths_mystifying_miasma_upgraded|2|character_to_character_own
node,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Malevolent Branchwraith (Shadows),Malevolent_Branchwraith_Shadows,hero,wh2_dlc16_wef_malicious_branchwraith_shadows,champion,champion,wh2_dlc16_wef_drycha,false,false,true,true,true,true,wh_dlc05_lore_shadows,,wh2_dlc16_skill_node_set_wef_malicious_branchwraith_shadows,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_malicious_branchwraith_shadows_champion_campaign_01,wh2_main_skill_all_hero_assist_army_replenish_troops,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,campaign_replenishment.png,0,5,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc16_skill_node_wef_malicious_branchwraith_shadows_champion_campaign_01
skill_level,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Malevolent Branchwraith (Shadows),Malevolent_Branchwraith_Shadows,hero,wh2_dlc16_wef_malicious_branchwraith_shadows,champion,champion,wh2_dlc16_wef_drycha,false,false,true,true,true,true,wh_dlc05_lore_shadows,,wh2_dlc16_skill_node_set_wef_malicious_branchwraith_shadows,,1,champion,false,false,,,,wh2_dlc16_skill_node_wef_malicious_branchwraith_shadows_champion_campaign_01,wh2_main_skill_all_hero_assist_army_replenish_troops,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,campaign_replenishment.png,0,5,0,0,true,0,3,2,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_assist_army_replenish_troops|2|||
