record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Spellweaver (Beasts),Spellweaver_Beasts,lord,wh2_dlc16_wef_spellweaver_beasts,general,general,wh2_dlc13_wef_laurelorn_forest|wh2_dlc16_wef_sisters_of_twilight|wh2_dlc16_wef_waystone_faction_1|wh2_dlc16_wef_waystone_faction_2|wh2_dlc16_wef_waystone_faction_3|wh2_dlc16_wef_wood_elves_qb4|wh2_dlc16_wef_wood_elves_qb5|wh2_dlc16_wef_wood_elves_qb6|wh2_dlc16_wef_wood_elves_qb7|wh2_main_wef_bowmen_of_oreon|wh3_dlc25_wef_wood_elves_invasion|wh3_dlc27_wef_wood_elves_dm|wh3_main_wef_laurelorn|wh_dlc05_wef_argwylon|wh_dlc05_wef_torgovann|wh_dlc05_wef_wood_elves|wh_dlc05_wef_wood_elves_qb1|wh_dlc05_wef_wood_elves_qb2|wh_dlc05_wef_wood_elves_rebels|wh_dlc05_wef_wydrioth,false,false,true,true,true,true,wh_dlc03_lore_beasts,wef_spellweaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc16_wef_spellweaver_beasts
node_set,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Spellweaver (Beasts),Spellweaver_Beasts,lord,wh2_dlc16_wef_spellweaver_beasts,general,general,wh2_dlc13_wef_laurelorn_forest|wh2_dlc16_wef_sisters_of_twilight|wh2_dlc16_wef_waystone_faction_1|wh2_dlc16_wef_waystone_faction_2|wh2_dlc16_wef_waystone_faction_3|wh2_dlc16_wef_wood_elves_qb4|wh2_dlc16_wef_wood_elves_qb5|wh2_dlc16_wef_wood_elves_qb6|wh2_dlc16_wef_wood_elves_qb7|wh2_main_wef_bowmen_of_oreon|wh3_dlc25_wef_wood_elves_invasion|wh3_dlc27_wef_wood_elves_dm|wh3_main_wef_laurelorn|wh_dlc05_wef_argwylon|wh_dlc05_wef_torgovann|wh_dlc05_wef_wood_elves|wh_dlc05_wef_wood_elves_qb1|wh_dlc05_wef_wood_elves_qb2|wh_dlc05_wef_wood_elves_rebels|wh_dlc05_wef_wydrioth,false,false,true,true,true,true,wh_dlc03_lore_beasts,wef_spellweaver,wh2_dlc16_skill_node_set_wef_spellweaver_beasts,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc16_skill_node_set_wef_spellweaver_beasts
node,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Spellweaver (Beasts),Spellweaver_Beasts,lord,wh2_dlc16_wef_spellweaver_beasts,general,general,wh2_dlc13_wef_laurelorn_forest|wh2_dlc16_wef_sisters_of_twilight|wh2_dlc16_wef_waystone_faction_1|wh2_dlc16_wef_waystone_faction_2|wh2_dlc16_wef_waystone_faction_3|wh2_dlc16_wef_wood_elves_qb4|wh2_dlc16_wef_wood_elves_qb5|wh2_dlc16_wef_wood_elves_qb6|wh2_dlc16_wef_wood_elves_qb7|wh2_main_wef_bowmen_of_oreon|wh3_dlc25_wef_wood_elves_invasion|wh3_dlc27_wef_wood_elves_dm|wh3_main_wef_laurelorn|wh_dlc05_wef_argwylon|wh_dlc05_wef_torgovann|wh_dlc05_wef_wood_elves|wh_dlc05_wef_wood_elves_qb1|wh_dlc05_wef_wood_elves_qb2|wh_dlc05_wef_wood_elves_rebels|wh_dlc05_wef_wydrioth,false,false,true,true,true,true,wh_dlc03_lore_beasts,wef_spellweaver,wh2_dlc16_skill_node_set_wef_spellweaver_beasts,,1,general,false,false,,,,wh_dlc16_skill_node_wef_spellweaver_beasts_mount_1,wh2_dlc16_skill_wef_spellweaver_beasts_mount_1,Elven Steed ,The bond between rider and steed goes beyond friendship or family; they act as one.,mount_warhorse.png,0,0,0,0,true,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc16_skill_node_wef_spellweaver_beasts_mount_1
skill_level,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Spellweaver (Beasts),Spellweaver_Beasts,lord,wh2_dlc16_wef_spellweaver_beasts,general,general,wh2_dlc13_wef_laurelorn_forest|wh2_dlc16_wef_sisters_of_twilight|wh2_dlc16_wef_waystone_faction_1|wh2_dlc16_wef_waystone_faction_2|wh2_dlc16_wef_waystone_faction_3|wh2_dlc16_wef_wood_elves_qb4|wh2_dlc16_wef_wood_elves_qb5|wh2_dlc16_wef_wood_elves_qb6|wh2_dlc16_wef_wood_elves_qb7|wh2_main_wef_bowmen_of_oreon|wh3_dlc25_wef_wood_elves_invasion|wh3_dlc27_wef_wood_elves_dm|wh3_main_wef_laurelorn|wh_dlc05_wef_argwylon|wh_dlc05_wef_torgovann|wh_dlc05_wef_wood_elves|wh_dlc05_wef_wood_elves_qb1|wh_dlc05_wef_wood_elves_qb2|wh_dlc05_wef_wood_elves_rebels|wh_dlc05_wef_wydrioth,false,false,true,true,true,true,wh_dlc03_lore_beasts,wef_spellweaver,wh2_dlc16_skill_node_set_wef_spellweaver_beasts,,1,general,false,false,,,,wh_dlc16_skill_node_wef_spellweaver_beasts_mount_1,wh2_dlc16_skill_wef_spellweaver_beasts_mount_1,Elven Steed ,The bond between rider and steed goes beyond friendship or family; they act as one.,mount_warhorse.png,0,0,0,0,true,6,1,1,Elven Steed ,The bond between rider and steed goes beyond friendship or family; they act as one.,6,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc16_skill_wef_spellweaver_beasts_mount_1|1|||
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Spellweaver (Beasts),Spellweaver_Beasts,lord,wh2_dlc16_wef_spellweaver_beasts,general,general,wh2_dlc13_wef_laurelorn_forest|wh2_dlc16_wef_sisters_of_twilight|wh2_dlc16_wef_waystone_faction_1|wh2_dlc16_wef_waystone_faction_2|wh2_dlc16_wef_waystone_faction_3|wh2_dlc16_wef_wood_elves_qb4|wh2_dlc16_wef_wood_elves_qb5|wh2_dlc16_wef_wood_elves_qb6|wh2_dlc16_wef_wood_elves_qb7|wh2_main_wef_bowmen_of_oreon|wh3_dlc25_wef_wood_elves_invasion|wh3_dlc27_wef_wood_elves_dm|wh3_main_wef_laurelorn|wh_dlc05_wef_argwylon|wh_dlc05_wef_torgovann|wh_dlc05_wef_wood_elves|wh_dlc05_wef_wood_elves_qb1|wh_dlc05_wef_wood_elves_qb2|wh_dlc05_wef_wood_elves_rebels|wh_dlc05_wef_wydrioth,false,false,true,true,true,true,wh_dlc03_lore_beasts,wef_spellweaver,wh2_dlc16_skill_node_set_wef_spellweaver_beasts,,1,general,false,false,,,,wh_dlc16_skill_node_wef_spellweaver_beasts_mount_1,wh2_dlc16_skill_wef_spellweaver_beasts_mount_1,Elven Steed ,The bond between rider and steed goes beyond friendship or family; they act as one.,mount_warhorse.png,0,0,0,0,true,6,1,1,Elven Steed ,The bond between rider and steed goes beyond friendship or family; they act as one.,,,,,,wh_dlc05_effect_enable_mount_elven_steed,Mount: Elven Steed,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc16_skill_wef_spellweaver_beasts_mount_1|wh_dlc05_effect_enable_mount_elven_steed|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Spellweaver (Beasts),Spellweaver_Beasts,lord,wh2_dlc16_wef_spellweaver_beasts,general,general,wh2_dlc13_wef_laurelorn_forest|wh2_dlc16_wef_sisters_of_twilight|wh2_dlc16_wef_waystone_faction_1|wh2_dlc16_wef_waystone_faction_2|wh2_dlc16_wef_waystone_faction_3|wh2_dlc16_wef_wood_elves_qb4|wh2_dlc16_wef_wood_elves_qb5|wh2_dlc16_wef_wood_elves_qb6|wh2_dlc16_wef_wood_elves_qb7|wh2_main_wef_bowmen_of_oreon|wh3_dlc25_wef_wood_elves_invasion|wh3_dlc27_wef_wood_elves_dm|wh3_main_wef_laurelorn|wh_dlc05_wef_argwylon|wh_dlc05_wef_torgovann|wh_dlc05_wef_wood_elves|wh_dlc05_wef_wood_elves_qb1|wh_dlc05_wef_wood_elves_qb2|wh_dlc05_wef_wood_elves_rebels|wh_dlc05_wef_wydrioth,false,false,true,true,true,true,wh_dlc03_lore_beasts,wef_spellweaver,wh2_dlc16_skill_node_set_wef_spellweaver_beasts,,1,general,false,false,,,,wh_dlc16_skill_node_wef_spellweaver_beasts_mount_1,wh2_dlc16_skill_wef_spellweaver_beasts_mount_1,Elven Steed ,The bond between rider and steed goes beyond friendship or family; they act as one.,mount_warhorse.png,0,0,0,0,true,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh2_dlc16_anc_mount_wef_cha_spellweaver_beasts_elven_steed,Elven Steed,wh_dlc05_anc_mount_wef_elven_steed,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh2_dlc16_skill_wef_spellweaver_beasts_mount_1|wh2_dlc16_anc_mount_wef_cha_spellweaver_beasts_elven_steed|1
node,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Spellweaver (Beasts),Spellweaver_Beasts,lord,wh2_dlc16_wef_spellweaver_beasts,general,general,wh2_dlc13_wef_laurelorn_forest|wh2_dlc16_wef_sisters_of_twilight|wh2_dlc16_wef_waystone_faction_1|wh2_dlc16_wef_waystone_faction_2|wh2_dlc16_wef_waystone_faction_3|wh2_dlc16_wef_wood_elves_qb4|wh2_dlc16_wef_wood_elves_qb5|wh2_dlc16_wef_wood_elves_qb6|wh2_dlc16_wef_wood_elves_qb7|wh2_main_wef_bowmen_of_oreon|wh3_dlc25_wef_wood_elves_invasion|wh3_dlc27_wef_wood_elves_dm|wh3_main_wef_laurelorn|wh_dlc05_wef_argwylon|wh_dlc05_wef_torgovann|wh_dlc05_wef_wood_elves|wh_dlc05_wef_wood_elves_qb1|wh_dlc05_wef_wood_elves_qb2|wh_dlc05_wef_wood_elves_rebels|wh_dlc05_wef_wydrioth,false,false,true,true,true,true,wh_dlc03_lore_beasts,wef_spellweaver,wh2_dlc16_skill_node_set_wef_spellweaver_beasts,,1,general,false,false,,,,wh2_dlc16_skill_node_set_wef_spellweaver_beasts_unique_4,wh2_dlc16_skill_wef_spellweaver_unique_2,Weaver of the Winds,"All Elves are intrinsically magical beings, but Asrai Spellweavers practice spellcraft free of Ulthuan’s stiff-necked morality and Naggaroth’s heedless sadism.",character_magic.png,0,1,0,0,true,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc16_skill_node_set_wef_spellweaver_beasts_unique_4
skill_level,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Spellweaver (Beasts),Spellweaver_Beasts,lord,wh2_dlc16_wef_spellweaver_beasts,general,general,wh2_dlc13_wef_laurelorn_forest|wh2_dlc16_wef_sisters_of_twilight|wh2_dlc16_wef_waystone_faction_1|wh2_dlc16_wef_waystone_faction_2|wh2_dlc16_wef_waystone_faction_3|wh2_dlc16_wef_wood_elves_qb4|wh2_dlc16_wef_wood_elves_qb5|wh2_dlc16_wef_wood_elves_qb6|wh2_dlc16_wef_wood_elves_qb7|wh2_main_wef_bowmen_of_oreon|wh3_dlc25_wef_wood_elves_invasion|wh3_dlc27_wef_wood_elves_dm|wh3_main_wef_laurelorn|wh_dlc05_wef_argwylon|wh_dlc05_wef_torgovann|wh_dlc05_wef_wood_elves|wh_dlc05_wef_wood_elves_qb1|wh_dlc05_wef_wood_elves_qb2|wh_dlc05_wef_wood_elves_rebels|wh_dlc05_wef_wydrioth,false,false,true,true,true,true,wh_dlc03_lore_beasts,wef_spellweaver,wh2_dlc16_skill_node_set_wef_spellweaver_beasts,,1,general,false,false,,,,wh2_dlc16_skill_node_set_wef_spellweaver_beasts_unique_4,wh2_dlc16_skill_wef_spellweaver_unique_2,Weaver of the Winds,"All Elves are intrinsically magical beings, but Asrai Spellweavers practice spellcraft free of Ulthuan’s stiff-necked morality and Naggaroth’s heedless sadism.",character_magic.png,0,1,0,0,true,9,1,1,Weaver of the Winds,"All Elves are intrinsically magical beings, but Asrai Spellweavers practice spellcraft free of Ulthuan’s stiff-necked morality and Naggaroth’s heedless sadism.",9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc16_skill_wef_spellweaver_unique_2|1|||
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Spellweaver (Beasts),Spellweaver_Beasts,lord,wh2_dlc16_wef_spellweaver_beasts,general,general,wh2_dlc13_wef_laurelorn_forest|wh2_dlc16_wef_sisters_of_twilight|wh2_dlc16_wef_waystone_faction_1|wh2_dlc16_wef_waystone_faction_2|wh2_dlc16_wef_waystone_faction_3|wh2_dlc16_wef_wood_elves_qb4|wh2_dlc16_wef_wood_elves_qb5|wh2_dlc16_wef_wood_elves_qb6|wh2_dlc16_wef_wood_elves_qb7|wh2_main_wef_bowmen_of_oreon|wh3_dlc25_wef_wood_elves_invasion|wh3_dlc27_wef_wood_elves_dm|wh3_main_wef_laurelorn|wh_dlc05_wef_argwylon|wh_dlc05_wef_torgovann|wh_dlc05_wef_wood_elves|wh_dlc05_wef_wood_elves_qb1|wh_dlc05_wef_wood_elves_qb2|wh_dlc05_wef_wood_elves_rebels|wh_dlc05_wef_wydrioth,false,false,true,true,true,true,wh_dlc03_lore_beasts,wef_spellweaver,wh2_dlc16_skill_node_set_wef_spellweaver_beasts,,1,general,false,false,,,,wh2_dlc16_skill_node_set_wef_spellweaver_beasts_unique_4,wh2_dlc16_skill_wef_spellweaver_unique_2,Weaver of the Winds,"All Elves are intrinsically magical beings, but Asrai Spellweavers practice spellcraft free of Ulthuan’s stiff-necked morality and Naggaroth’s heedless sadism.",character_magic.png,0,1,0,0,true,9,1,1,Weaver of the Winds,"All Elves are intrinsically magical beings, but Asrai Spellweavers practice spellcraft free of Ulthuan’s stiff-necked morality and Naggaroth’s heedless sadism.",,,,,,wh2_dlc12_effect_magic_cooldown_all_lores,Cooldown: %+n% to all spells,,character_to_character_own,-15,battle,60,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc16_skill_wef_spellweaver_unique_2|wh2_dlc12_effect_magic_cooldown_all_lores|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_sc_wef_wood_elves,Spellweaver (Beasts),Spellweaver_Beasts,lord,wh2_dlc16_wef_spellweaver_beasts,general,general,wh2_dlc13_wef_laurelorn_forest|wh2_dlc16_wef_sisters_of_twilight|wh2_dlc16_wef_waystone_faction_1|wh2_dlc16_wef_waystone_faction_2|wh2_dlc16_wef_waystone_faction_3|wh2_dlc16_wef_wood_elves_qb4|wh2_dlc16_wef_wood_elves_qb5|wh2_dlc16_wef_wood_elves_qb6|wh2_dlc16_wef_wood_elves_qb7|wh2_main_wef_bowmen_of_oreon|wh3_dlc25_wef_wood_elves_invasion|wh3_dlc27_wef_wood_elves_dm|wh3_main_wef_laurelorn|wh_dlc05_wef_argwylon|wh_dlc05_wef_torgovann|wh_dlc05_wef_wood_elves|wh_dlc05_wef_wood_elves_qb1|wh_dlc05_wef_wood_elves_qb2|wh_dlc05_wef_wood_elves_rebels|wh_dlc05_wef_wydrioth,false,false,true,true,true,true,wh_dlc03_lore_beasts,wef_spellweaver,wh2_dlc16_skill_node_set_wef_spellweaver_beasts,,1,general,false,false,,,,wh2_dlc16_skill_node_set_wef_spellweaver_beasts_unique_4,wh2_dlc16_skill_wef_spellweaver_unique_2,Weaver of the Winds,"All Elves are intrinsically magical beings, but Asrai Spellweavers practice spellcraft free of Ulthuan’s stiff-necked morality and Naggaroth’s heedless sadism.",character_magic.png,0,1,0,0,true,9,1,1,Weaver of the Winds,"All Elves are intrinsically magical beings, but Asrai Spellweavers practice spellcraft free of Ulthuan’s stiff-necked morality and Naggaroth’s heedless sadism.",,,,,,wh3_main_effect_winds_of_magic_pool_cap,Winds of Magic power reserve capacity: %+n,,character_to_force_own_alt_text,5,campaign,390,true,magic_campaign.png,magic_campaign.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc16_skill_wef_spellweaver_unique_2|wh3_main_effect_winds_of_magic_pool_cap|1|character_to_force_own_alt_text
