record_type,game,patch,steam_build_id,race,race_slug,faction_key,faction_name,culture_key,subculture_key,feature_forest_key,variant_key,variant_status,applicability_basis,campaign_key,node_set_key,set_faction_key,set_culture_key,set_subculture_key,set_campaign_key,node_key,node_faction_key,node_campaign_key,technology_key,technology_name,technology_short_description,technology_long_description,effect_key,effect_scope,effect_value,effect_description,effect_additional_tooltip,node_set_name,node_set_tooltip,ui_group_name,ui_group_description,ui_tab_name,ui_tab_tooltip,lock_reason,ancillary_granted_text,required_technology_key,parent_node_key,child_node_key,link_type,classification,source_table,source_path,source_row_number,source_key,script_path,script_line,script_operation,script_evidence,script_applicability,script_resolution,set_colour_hex,node_indent,node_tier,research_points_required,cost_per_round,food_cost,ui_group_key,resource_cost_key,required_parents,node_pixel_offset_x,node_pixel_offset_y,technology_building_level,technology_position_index,technology_icon_name,technology_mp_available_early,technology_mp_available_late,technology_info_pic,technology_unique_index,technology_is_civil,technology_is_engineering,technology_is_military,technology_is_hidden,link_initial_descent_tiers,link_parent_link_position,link_child_link_position,link_parent_link_position_offset,link_child_link_position_offset,link_visible_in_ui,required_building_level_key,ancillary_key,character_trait_level_key,effect_list_key,initiative_key,initiative_visible_in_ui,unit_upgrade_key,mercenary_key,mercenary_group,mercenary_initial_unit_count,mercenary_pool,unlock_faction_key,unlock_subculture_key,resource_cost_treasury_cost,resource_cost_expenditure_type,resource_cost_income_type,resource_cost_expenditure_type_when_regular,resource_cost_income_type_when_regular,pooled_cost_pooled_resource_factor,pooled_cost_amount,pooled_cost_context,pooled_cost_ui_resource_transaction_pooled_resource,pooled_resource_factor_key,resource_factor_factor,pooled_resource_key,resource_factor_minimum,resource_factor_maximum,resource_factor_specific_faction_set,group_optional_background_image,group_colour_hex,group_bounds_bottom_right_node,group_bounds_top_left_node,group_bounds_optional_top_right_node,group_bounds_optional_bottom_left_node,ui_tab_key,tab_sort_order,tab_tier_offset,module_max_tier,effect_bundle_key,module_min_tier,category_effect_advancement_stage,effect_definition_icon,effect_definition_priority,effect_definition_icon_negative,effect_definition_category,effect_definition_is_positive_value_good
faction,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_chd_zhatan,The Warhost of Zharr,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,LOCKED_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has_database_tree,factions_tables,db/factions_tables/data__.tsv,321,wh3_dlc23_chd_zhatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node_set,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_chd_zhatan,The Warhost of Zharr,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,LOCKED_STANDARD,chd_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,chd_mil,,wh3_dlc23_chd_chaos_dwarfs,,,,,,,,,,,,,,,Military Technologies,Chaos Dwarf Military Technology Tree,,,,,,,,,,,,technology_node_sets_tables,db/technology_node_sets_tables/data__.tsv,5,chd_mil,,,,,,,FFFFFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_chd_zhatan,The Warhost of Zharr,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,LOCKED_STANDARD,chd_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,chd_mil,,wh3_dlc23_chd_chaos_dwarfs,,,wh3_dlc23_tech_chd_military_27,,,wh3_dlc23_tech_chd_military_27,Beasts of Zharr,"It's a risky business, as these beasts may not realise the fighting isn't real, but training with Lammasu and Tauruses improves their performance in battle no end.",,,,,,,Military Technologies,Chaos Dwarf Military Technology Tree,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,839,wh3_dlc23_tech_chd_military_27,,,,,,,,0,1,500,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_chd_zhatan,The Warhost of Zharr,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,LOCKED_STANDARD,chd_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,chd_mil,,wh3_dlc23_chd_chaos_dwarfs,,,wh3_dlc23_tech_chd_military_27,,,wh3_dlc23_tech_chd_military_27,Beasts of Zharr,"It's a risky business, as these beasts may not realise the fighting isn't real, but training with Lammasu and Tauruses improves their performance in battle no end.",,,,,,,Military Technologies,Chaos Dwarf Military Technology Tree,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,707,wh3_dlc23_tech_chd_military_27,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh3_dlc23_tech_chd_military_27,false,false,placeholder.tga,1913944461,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_chd_zhatan,The Warhost of Zharr,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,LOCKED_STANDARD,chd_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,chd_mil,,wh3_dlc23_chd_chaos_dwarfs,,,wh3_dlc23_tech_chd_military_27,,,wh3_dlc23_tech_chd_military_27,Beasts of Zharr,"It's a risky business, as these beasts may not realise the fighting isn't real, but training with Lammasu and Tauruses improves their performance in battle no end.",,wh3_dlc23_chd_ritual_unit_cap_flying_beasts_armaments_cost_mod,faction_to_faction_own_unseen,-10.0000,Armament cost: %+n% for increasing capacity of Flying Monsters units,,Military Technologies,Chaos Dwarf Military Technology Tree,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,1450,wh3_dlc23_tech_chd_military_27|wh3_dlc23_chd_ritual_unit_cap_flying_beasts_armaments_cost_mod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chd_armaments.png,1,chd_armaments.png,campaign,false
effect,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_chd_zhatan,The Warhost of Zharr,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,LOCKED_STANDARD,chd_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,chd_mil,,wh3_dlc23_chd_chaos_dwarfs,,,wh3_dlc23_tech_chd_military_27,,,wh3_dlc23_tech_chd_military_27,Beasts of Zharr,"It's a risky business, as these beasts may not realise the fighting isn't real, but training with Lammasu and Tauruses improves their performance in battle no end.",,wh3_dlc23_effect_ability_mod_amount_of_uses_lammasu_bale_taurus,faction_to_force_own_unseen,1.0000,Number of uses: %+n for bound abilities on Lammasu and Bale Taurus units {{tr:rank7}},,Military Technologies,Chaos Dwarf Military Technology Tree,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,1451,wh3_dlc23_tech_chd_military_27|wh3_dlc23_effect_ability_mod_amount_of_uses_lammasu_bale_taurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,general_ability.png,600,general_ability.png,battle,true
effect,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_chd_zhatan,The Warhost of Zharr,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,LOCKED_STANDARD,chd_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,chd_mil,,wh3_dlc23_chd_chaos_dwarfs,,,wh3_dlc23_tech_chd_military_27,,,wh3_dlc23_tech_chd_military_27,Beasts of Zharr,"It's a risky business, as these beasts may not realise the fighting isn't real, but training with Lammasu and Tauruses improves their performance in battle no end.",,wh3_dlc23_effect_force_stat_weapon_strength_chd_lammasu_taurus,faction_to_force_own_unseen,10.0000,"Weapon strength: %+n% for all Lammasu, Great Taurus and Bale Taurus units",,Military Technologies,Chaos Dwarf Military Technology Tree,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,1452,wh3_dlc23_tech_chd_military_27|wh3_dlc23_effect_force_stat_weapon_strength_chd_lammasu_taurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weapon_damage.png,59,weapon_damage.png,campaign,true
tab_membership,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_chd_zhatan,The Warhost of Zharr,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,LOCKED_STANDARD,chd_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,chd_mil,,wh3_dlc23_chd_chaos_dwarfs,,,wh3_dlc23_tech_chd_military_27,,,wh3_dlc23_tech_chd_military_27,Beasts of Zharr,"It's a risky business, as these beasts may not realise the fighting isn't real, but training with Lammasu and Tauruses improves their performance in battle no end.",,,,,,,Military Technologies,Chaos Dwarf Military Technology Tree,,,,,,,,,,,,technology_ui_tabs_to_technology_nodes_junctions_tables,db/technology_ui_tabs_to_technology_nodes_junctions_tables/data__.tsv,46,wh3_dlc23_tech_chd_military_27|chd_military,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chd_military,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_chd_zhatan,The Warhost of Zharr,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,LOCKED_STANDARD,chd_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,chd_mil,,wh3_dlc23_chd_chaos_dwarfs,,,wh3_dlc23_tech_chd_military_22,,,wh3_dlc23_tech_chd_military_22,Mighty Monsters,"Perfecting the husbandry of Lammasu and Tauruses makes for faster, hardier beasts that are harder for the foe to kill in battle.",,,,,,,Military Technologies,Chaos Dwarf Military Technology Tree,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,834,wh3_dlc23_tech_chd_military_22,,,,,,,,1,1,400,0,0,,,0,130,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_chd_zhatan,The Warhost of Zharr,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,LOCKED_STANDARD,chd_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,chd_mil,,wh3_dlc23_chd_chaos_dwarfs,,,wh3_dlc23_tech_chd_military_22,,,wh3_dlc23_tech_chd_military_22,Mighty Monsters,"Perfecting the husbandry of Lammasu and Tauruses makes for faster, hardier beasts that are harder for the foe to kill in battle.",,,,,,,Military Technologies,Chaos Dwarf Military Technology Tree,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,702,wh3_dlc23_tech_chd_military_22,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh3_dlc23_tech_chd_military_22,false,false,placeholder.tga,476869773,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_chd_zhatan,The Warhost of Zharr,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,LOCKED_STANDARD,chd_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,chd_mil,,wh3_dlc23_chd_chaos_dwarfs,,,wh3_dlc23_tech_chd_military_22,,,wh3_dlc23_tech_chd_military_22,Mighty Monsters,"Perfecting the husbandry of Lammasu and Tauruses makes for faster, hardier beasts that are harder for the foe to kill in battle.",,wh3_dlc23_effect_force_stat_speed_chd_lammasu_taurus,faction_to_force_own_unseen,10.0000,"Speed: %+n% for Lammasu, Great Taurus and Bale Taurus units",,Military Technologies,Chaos Dwarf Military Technology Tree,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,1439,wh3_dlc23_tech_chd_military_22|wh3_dlc23_effect_force_stat_speed_chd_lammasu_taurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,battle_movement.png,101,battle_movement.png,battle,true
