record_type,game,patch,steam_build_id,race,race_slug,faction_key,faction_name,culture_key,subculture_key,feature_forest_key,variant_key,variant_status,applicability_basis,campaign_key,node_set_key,set_faction_key,set_culture_key,set_subculture_key,set_campaign_key,node_key,node_faction_key,node_campaign_key,technology_key,technology_name,technology_short_description,technology_long_description,effect_key,effect_scope,effect_value,effect_description,effect_additional_tooltip,node_set_name,node_set_tooltip,ui_group_name,ui_group_description,ui_tab_name,ui_tab_tooltip,lock_reason,ancillary_granted_text,required_technology_key,parent_node_key,child_node_key,link_type,classification,source_table,source_path,source_row_number,source_key,script_path,script_line,script_operation,script_evidence,script_applicability,script_resolution,set_colour_hex,node_indent,node_tier,research_points_required,cost_per_round,food_cost,ui_group_key,resource_cost_key,required_parents,node_pixel_offset_x,node_pixel_offset_y,technology_building_level,technology_position_index,technology_icon_name,technology_mp_available_early,technology_mp_available_late,technology_info_pic,technology_unique_index,technology_is_civil,technology_is_engineering,technology_is_military,technology_is_hidden,link_initial_descent_tiers,link_parent_link_position,link_child_link_position,link_parent_link_position_offset,link_child_link_position_offset,link_visible_in_ui,required_building_level_key,ancillary_key,character_trait_level_key,effect_list_key,initiative_key,initiative_visible_in_ui,unit_upgrade_key,mercenary_key,mercenary_group,mercenary_initial_unit_count,mercenary_pool,unlock_faction_key,unlock_subculture_key,resource_cost_treasury_cost,resource_cost_expenditure_type,resource_cost_income_type,resource_cost_expenditure_type_when_regular,resource_cost_income_type_when_regular,pooled_cost_pooled_resource_factor,pooled_cost_amount,pooled_cost_context,pooled_cost_ui_resource_transaction_pooled_resource,pooled_resource_factor_key,resource_factor_factor,pooled_resource_key,resource_factor_minimum,resource_factor_maximum,resource_factor_specific_faction_set,group_optional_background_image,group_colour_hex,group_bounds_bottom_right_node,group_bounds_top_left_node,group_bounds_optional_top_right_node,group_bounds_optional_bottom_left_node,ui_tab_key,tab_sort_order,tab_tier_offset,module_max_tier,effect_bundle_key,module_min_tier,category_effect_advancement_stage,effect_definition_icon,effect_definition_priority,effect_definition_icon_negative,effect_definition_category,effect_definition_is_positive_value_good
faction,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_def_hag_graef,Hag Graef,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,MIXED_NAVAL_HORDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has_database_tree,factions_tables,db/factions_tables/data__.tsv,155,wh2_main_def_hag_graef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node_set,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_def_hag_graef,Hag Graef,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,MIXED_NAVAL_HORDE,def_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,def_mil,,wh2_main_def_dark_elves,,,,,,,,,,,,,,,Dark Elf Depravity,Dark Elf Technology,,,,,,,,,,,,technology_node_sets_tables,db/technology_node_sets_tables/data__.tsv,14,def_mil,,,,,,,D200FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_def_hag_graef,Hag Graef,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,MIXED_NAVAL_HORDE,def_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,def_mil,,wh2_main_def_dark_elves,,,wh2_main_tech_def_0_0_0,,,wh2_main_tech_def_0_0_0,Choose or Die!,Some choices require next to no thought whatsoever.,,,,,,,Dark Elf Depravity,Dark Elf Technology,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,558,wh2_main_tech_def_0_0_0,,,,,,,,4,0,400,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_def_hag_graef,Hag Graef,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,MIXED_NAVAL_HORDE,def_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,def_mil,,wh2_main_def_dark_elves,,,wh2_main_tech_def_0_0_0,,,wh2_main_tech_def_0_0_0,Choose or Die!,Some choices require next to no thought whatsoever.,,,,,,,Dark Elf Depravity,Dark Elf Technology,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,326,wh2_main_tech_def_0_0_0,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh2_def_tech_upgrade_0,false,false,,8151,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_def_hag_graef,Hag Graef,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,MIXED_NAVAL_HORDE,def_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,def_mil,,wh2_main_def_dark_elves,,,wh2_main_tech_def_0_0_0,,,wh2_main_tech_def_0_0_0,Choose or Die!,Some choices require next to no thought whatsoever.,,wh3_main_effect_economy_gdp_mod_slaves,faction_to_region_own_unseen,3.0000,Income from [[img:icon_slaves]][[/img]]slaves: %+n%,,Dark Elf Depravity,Dark Elf Technology,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,652,wh2_main_tech_def_0_0_0|wh3_main_effect_economy_gdp_mod_slaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income.png,170,income.png,campaign,true
node,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_def_hag_graef,Hag Graef,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,MIXED_NAVAL_HORDE,def_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,def_mil,,wh2_main_def_dark_elves,,,wh2_main_tech_def_0_1_0,,,wh2_main_tech_def_0_1_0,Driven by Vengeance,"The deep-seated, profoundly-ingrained desire for revenge consumes and drives one forward.",,,,,,,Dark Elf Depravity,Dark Elf Technology,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,559,wh2_main_tech_def_0_1_0,,,,,,,,1,1,400,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_def_hag_graef,Hag Graef,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,MIXED_NAVAL_HORDE,def_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,def_mil,,wh2_main_def_dark_elves,,,wh2_main_tech_def_0_1_0,,,wh2_main_tech_def_0_1_0,Driven by Vengeance,"The deep-seated, profoundly-ingrained desire for revenge consumes and drives one forward.",,,,,,,Dark Elf Depravity,Dark Elf Technology,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,327,wh2_main_tech_def_0_1_0,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh2_def_tech_driven_by_vengeance,false,false,,7794,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_def_hag_graef,Hag Graef,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,MIXED_NAVAL_HORDE,def_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,def_mil,,wh2_main_def_dark_elves,,,wh2_main_tech_def_0_1_0,,,wh2_main_tech_def_0_1_0,Driven by Vengeance,"The deep-seated, profoundly-ingrained desire for revenge consumes and drives one forward.",,wh2_main_effect_force_stat_melee_attack_def_spears_swords_crossbow_corsairs,faction_to_force_own_unseen,4.0000,"Melee attack: %+n for Dreadspears, Bleakswords, Black Ark Corsairs and Darkshards units",,Dark Elf Depravity,Dark Elf Technology,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,653,wh2_main_tech_def_0_1_0|wh2_main_effect_force_stat_melee_attack_def_spears_swords_crossbow_corsairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,melee.png,431,melee.png,battle,true
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_def_hag_graef,Hag Graef,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,MIXED_NAVAL_HORDE,def_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,def_mil,,wh2_main_def_dark_elves,,,wh2_main_tech_def_0_1_0,,,wh2_main_tech_def_0_1_0,Driven by Vengeance,"The deep-seated, profoundly-ingrained desire for revenge consumes and drives one forward.",,wh2_main_effect_tech_recruitment_cost_reduction_def_militia,faction_to_force_own_unseen,-5.0000,"Recruitment cost: %+n% for Dreadspears, Darkshards and Bleakswords units",,Dark Elf Depravity,Dark Elf Technology,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,654,wh2_main_tech_def_0_1_0|wh2_main_effect_tech_recruitment_cost_reduction_def_militia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treasury.png,106,treasury.png,campaign,false
node,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_def_hag_graef,Hag Graef,wh2_main_def_dark_elves,wh2_main_sc_def_dark_elves,MIXED_NAVAL_HORDE,def_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,def_mil,,wh2_main_def_dark_elves,,,wh2_main_tech_def_0_2_0,,,wh2_main_tech_def_0_2_0,Battle as Business,"For the Dark Elves, war is transactional - for Druchii blood to be spilled there must be payment, in the form of loot, preferably.",,,,,,,Dark Elf Depravity,Dark Elf Technology,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,563,wh2_main_tech_def_0_2_0,,,,,,,,4,1,400,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
