record_type,game,patch,steam_build_id,race,race_slug,faction_key,faction_name,culture_key,subculture_key,feature_forest_key,variant_key,variant_status,applicability_basis,campaign_key,node_set_key,set_faction_key,set_culture_key,set_subculture_key,set_campaign_key,node_key,node_faction_key,node_campaign_key,technology_key,technology_name,technology_short_description,technology_long_description,effect_key,effect_scope,effect_value,effect_description,effect_additional_tooltip,node_set_name,node_set_tooltip,ui_group_name,ui_group_description,ui_tab_name,ui_tab_tooltip,lock_reason,ancillary_granted_text,required_technology_key,parent_node_key,child_node_key,link_type,classification,source_table,source_path,source_row_number,source_key,script_path,script_line,script_operation,script_evidence,script_applicability,script_resolution,set_colour_hex,node_indent,node_tier,research_points_required,cost_per_round,food_cost,ui_group_key,resource_cost_key,required_parents,node_pixel_offset_x,node_pixel_offset_y,technology_building_level,technology_position_index,technology_icon_name,technology_mp_available_early,technology_mp_available_late,technology_info_pic,technology_unique_index,technology_is_civil,technology_is_engineering,technology_is_military,technology_is_hidden,link_initial_descent_tiers,link_parent_link_position,link_child_link_position,link_parent_link_position_offset,link_child_link_position_offset,link_visible_in_ui,required_building_level_key,ancillary_key,character_trait_level_key,effect_list_key,initiative_key,initiative_visible_in_ui,unit_upgrade_key,mercenary_key,mercenary_group,mercenary_initial_unit_count,mercenary_pool,unlock_faction_key,unlock_subculture_key,resource_cost_treasury_cost,resource_cost_expenditure_type,resource_cost_income_type,resource_cost_expenditure_type_when_regular,resource_cost_income_type_when_regular,pooled_cost_pooled_resource_factor,pooled_cost_amount,pooled_cost_context,pooled_cost_ui_resource_transaction_pooled_resource,pooled_resource_factor_key,resource_factor_factor,pooled_resource_key,resource_factor_minimum,resource_factor_maximum,resource_factor_specific_faction_set,group_optional_background_image,group_colour_hex,group_bounds_bottom_right_node,group_bounds_top_left_node,group_bounds_optional_top_right_node,group_bounds_optional_bottom_left_node,ui_tab_key,tab_sort_order,tab_tier_offset,module_max_tier,effect_bundle_key,module_min_tier,category_effect_advancement_stage,effect_definition_icon,effect_definition_priority,effect_definition_icon_negative,effect_definition_category,effect_definition_is_positive_value_good
faction,warhammer_3,8.1.1,24237342,Empire,empire,wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,wh_main_emp_empire,wh_main_sc_emp_empire,LOCKED_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has_database_tree,factions_tables,db/factions_tables/data__.tsv,70,wh2_dlc13_emp_the_huntmarshals_expedition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node_set,warhammer_3,8.1.1,24237342,Empire,empire,wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,wh_main_emp_empire,wh_main_sc_emp_empire,LOCKED_STANDARD,emp_civ_reworkd@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,emp_civ_reworkd,,wh_main_emp_empire,,,,,,,,,,,,,,,Empire Civil Tech,Imperial Civil Tech,,,,,,,,,,,,technology_node_sets_tables,db/technology_node_sets_tables/data__.tsv,16,emp_civ_reworkd,,,,,,,FFB62F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Empire,empire,wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,wh_main_emp_empire,wh_main_sc_emp_empire,LOCKED_STANDARD,emp_civ_reworkd@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,emp_civ_reworkd,,wh_main_emp_empire,,,wh2_dlc13_tech_emp_infantry_1,,,wh2_dlc13_tech_emp_infantry_1,State Troop Standards,"As regiments gain renown, their standards become talismans that are just as important as their sword-arms.",,,,,,,Empire Civil Tech,Imperial Civil Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,451,wh2_dlc13_tech_emp_infantry_1,,,,,,,,0,0,300,0,0,emp_mil,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Empire,empire,wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,wh_main_emp_empire,wh_main_sc_emp_empire,LOCKED_STANDARD,emp_civ_reworkd@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,emp_civ_reworkd,,wh_main_emp_empire,,,wh2_dlc13_tech_emp_infantry_1,,,wh2_dlc13_tech_emp_infantry_1,State Troop Standards,"As regiments gain renown, their standards become talismans that are just as important as their sword-arms.",,,,,,,Empire Civil Tech,Imperial Civil Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,261,wh2_dlc13_tech_emp_infantry_1,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh_main_emp_state_troop_standard_bearers,false,false,placeholder.tga,194130313,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,wh_main_emp_empire,wh_main_sc_emp_empire,LOCKED_STANDARD,emp_civ_reworkd@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,emp_civ_reworkd,,wh_main_emp_empire,,,wh2_dlc13_tech_emp_infantry_1,,,wh2_dlc13_tech_emp_infantry_1,State Troop Standards,"As regiments gain renown, their standards become talismans that are just as important as their sword-arms.",,wh_main_effect_force_army_campaign_experience_base_infantry,faction_to_character_own_unseen,2.0000,Recruit rank: %+n for Infantry units,,Empire Civil Tech,Imperial Civil Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,519,wh2_dlc13_tech_emp_infantry_1|wh_main_effect_force_army_campaign_experience_base_infantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experience.png,105,experience.png,campaign,true
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,wh_main_emp_empire,wh_main_sc_emp_empire,LOCKED_STANDARD,emp_civ_reworkd@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,emp_civ_reworkd,,wh_main_emp_empire,,,wh2_dlc13_tech_emp_infantry_1,,,wh2_dlc13_tech_emp_infantry_1,State Troop Standards,"As regiments gain renown, their standards become talismans that are just as important as their sword-arms.",,wh_main_effect_force_stat_leadership_infantry,faction_to_force_own_unseen,5.0000,Leadership: %+n for Infantry units,,Empire Civil Tech,Imperial Civil Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,520,wh2_dlc13_tech_emp_infantry_1|wh_main_effect_force_stat_leadership_infantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morale.png,411,morale.png,battle,true
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,wh_main_emp_empire,wh_main_sc_emp_empire,LOCKED_STANDARD,emp_civ_reworkd@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,emp_civ_reworkd,,wh_main_emp_empire,,,wh2_dlc13_tech_emp_infantry_1,,,wh2_dlc13_tech_emp_infantry_1,State Troop Standards,"As regiments gain renown, their standards become talismans that are just as important as their sword-arms.",,wh_main_effect_force_stat_speed_infantry,faction_to_force_own_unseen,5.0000,Speed: %+n% for Infantry units,,Empire Civil Tech,Imperial Civil Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,521,wh2_dlc13_tech_emp_infantry_1|wh_main_effect_force_stat_speed_infantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,battle_movement.png,421,battle_movement.png,battle,true
node,warhammer_3,8.1.1,24237342,Empire,empire,wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,wh_main_emp_empire,wh_main_sc_emp_empire,LOCKED_STANDARD,emp_civ_reworkd@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,emp_civ_reworkd,,wh_main_emp_empire,,,wh2_dlc13_tech_emp_infantry_1_b,,,wh2_dlc13_tech_emp_infantry_1_b,State-Issued Weapons,"Although the cost falls to each individual soldier, it is expected that all will use standardised equipment.",,,,,,,Empire Civil Tech,Imperial Civil Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,453,wh2_dlc13_tech_emp_infantry_1_b,,,,,,,,1,0,600,0,0,emp_mil,,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Empire,empire,wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,wh_main_emp_empire,wh_main_sc_emp_empire,LOCKED_STANDARD,emp_civ_reworkd@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,emp_civ_reworkd,,wh_main_emp_empire,,,wh2_dlc13_tech_emp_infantry_1_b,,,wh2_dlc13_tech_emp_infantry_1_b,State-Issued Weapons,"Although the cost falls to each individual soldier, it is expected that all will use standardised equipment.",,,,,,,Empire Civil Tech,Imperial Civil Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,263,wh2_dlc13_tech_emp_infantry_1_b,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh_main_emp_state_issued_weapons,false,false,placeholder.tga,1594363793,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,wh_main_emp_empire,wh_main_sc_emp_empire,LOCKED_STANDARD,emp_civ_reworkd@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,emp_civ_reworkd,,wh_main_emp_empire,,,wh2_dlc13_tech_emp_infantry_1_b,,,wh2_dlc13_tech_emp_infantry_1_b,State-Issued Weapons,"Although the cost falls to each individual soldier, it is expected that all will use standardised equipment.",,wh_main_effect_force_stat_melee_attack_infantry,faction_to_force_own_unseen,4.0000,Melee attack: %+n for Melee Infantry units,,Empire Civil Tech,Imperial Civil Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,514,wh2_dlc13_tech_emp_infantry_1_b|wh_main_effect_force_stat_melee_attack_infantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,melee.png,431,melee.png,battle,true
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,wh_main_emp_empire,wh_main_sc_emp_empire,LOCKED_STANDARD,emp_civ_reworkd@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,emp_civ_reworkd,,wh_main_emp_empire,,,wh2_dlc13_tech_emp_infantry_1_b,,,wh2_dlc13_tech_emp_infantry_1_b,State-Issued Weapons,"Although the cost falls to each individual soldier, it is expected that all will use standardised equipment.",,wh_main_effect_force_stat_melee_defence_infantry,faction_to_force_own_unseen,4.0000,Melee defence: %+n for Melee Infantry units,,Empire Civil Tech,Imperial Civil Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,515,wh2_dlc13_tech_emp_infantry_1_b|wh_main_effect_force_stat_melee_defence_infantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defence.png,451,defence.png,battle,true
