record_type,game,patch,steam_build_id,race,race_slug,faction_key,faction_name,culture_key,subculture_key,feature_forest_key,variant_key,variant_status,applicability_basis,campaign_key,node_set_key,set_faction_key,set_culture_key,set_subculture_key,set_campaign_key,node_key,node_faction_key,node_campaign_key,technology_key,technology_name,technology_short_description,technology_long_description,effect_key,effect_scope,effect_value,effect_description,effect_additional_tooltip,node_set_name,node_set_tooltip,ui_group_name,ui_group_description,ui_tab_name,ui_tab_tooltip,lock_reason,ancillary_granted_text,required_technology_key,parent_node_key,child_node_key,link_type,classification,source_table,source_path,source_row_number,source_key,script_path,script_line,script_operation,script_evidence,script_applicability,script_resolution,set_colour_hex,node_indent,node_tier,research_points_required,cost_per_round,food_cost,ui_group_key,resource_cost_key,required_parents,node_pixel_offset_x,node_pixel_offset_y,technology_building_level,technology_position_index,technology_icon_name,technology_mp_available_early,technology_mp_available_late,technology_info_pic,technology_unique_index,technology_is_civil,technology_is_engineering,technology_is_military,technology_is_hidden,link_initial_descent_tiers,link_parent_link_position,link_child_link_position,link_parent_link_position_offset,link_child_link_position_offset,link_visible_in_ui,required_building_level_key,ancillary_key,character_trait_level_key,effect_list_key,initiative_key,initiative_visible_in_ui,unit_upgrade_key,mercenary_key,mercenary_group,mercenary_initial_unit_count,mercenary_pool,unlock_faction_key,unlock_subculture_key,resource_cost_treasury_cost,resource_cost_expenditure_type,resource_cost_income_type,resource_cost_expenditure_type_when_regular,resource_cost_income_type_when_regular,pooled_cost_pooled_resource_factor,pooled_cost_amount,pooled_cost_context,pooled_cost_ui_resource_transaction_pooled_resource,pooled_resource_factor_key,resource_factor_factor,pooled_resource_key,resource_factor_minimum,resource_factor_maximum,resource_factor_specific_faction_set,group_optional_background_image,group_colour_hex,group_bounds_bottom_right_node,group_bounds_top_left_node,group_bounds_optional_top_right_node,group_bounds_optional_bottom_left_node,ui_tab_key,tab_sort_order,tab_tier_offset,module_max_tier,effect_bundle_key,module_min_tier,category_effect_advancement_stage,effect_definition_icon,effect_definition_priority,effect_definition_icon_negative,effect_definition_category,effect_definition_is_positive_value_good
faction,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_grn_orcs_of_the_bloody_hand,The Bloody Handz,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,LOCKED_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has_database_tree,factions_tables,db/factions_tables/data__.tsv,670,wh_main_grn_orcs_of_the_bloody_hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node_set,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_grn_orcs_of_the_bloody_hand,The Bloody Handz,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,LOCKED_STANDARD,grn_new@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,grn_new,,wh_main_grn_greenskins,,,,,,,,,,,,,,,Greenskin Tech,Greenskin Tech,,,,,,,,,,,,technology_node_sets_tables,db/technology_node_sets_tables/data__.tsv,18,grn_new,,,,,,,FFB62F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_grn_orcs_of_the_bloody_hand,The Bloody Handz,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,LOCKED_STANDARD,grn_new@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,grn_new,,wh_main_grn_greenskins,,,grn_tech_node_1,,,tech_grn_start_0_1,Waaagh!!!,'Ere come da boyz! Dey want Waaagh!,ph,,,,,,Greenskin Tech,Greenskin Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,218,grn_tech_node_1,,,,,,,,3,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_grn_orcs_of_the_bloody_hand,The Bloody Handz,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,LOCKED_STANDARD,grn_new@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,grn_new,,wh_main_grn_greenskins,,,grn_tech_node_1,,,tech_grn_start_0_1,Waaagh!!!,'Ere come da boyz! Dey want Waaagh!,ph,,,,,,Greenskin Tech,Greenskin Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,97,tech_grn_start_0_1,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,tech_grn_final_1_2,false,false,placeholder.tga,2090742215,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_grn_orcs_of_the_bloody_hand,The Bloody Handz,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,LOCKED_STANDARD,grn_new@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,grn_new,,wh_main_grn_greenskins,,,grn_tech_node_1,,,tech_grn_start_0_1,Waaagh!!!,'Ere come da boyz! Dey want Waaagh!,ph,wh2_dlc15_effect_per_turn_waaagh_dummy,faction_to_faction_own_unseen,1.0000,Reputation: %+n per turn,,Greenskin Tech,Greenskin Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,201,tech_grn_start_0_1|wh2_dlc15_effect_per_turn_waaagh_dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,waaagh_charge.png,2,waaagh_charge.png,campaign,true
node,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_grn_orcs_of_the_bloody_hand,The Bloody Handz,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,LOCKED_STANDARD,grn_new@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,grn_new,,wh_main_grn_greenskins,,,grn_tech_node_8,,,tech_grn_start_2_1,More Grub,Give da gobbos sum extra grub ta keep 'em in check.,ph,,,,,,Greenskin Tech,Greenskin Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,260,grn_tech_node_8,,,,,,,,0,1,400,0,0,,,0,0,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_grn_orcs_of_the_bloody_hand,The Bloody Handz,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,LOCKED_STANDARD,grn_new@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,grn_new,,wh_main_grn_greenskins,,,grn_tech_node_8,,,tech_grn_start_2_1,More Grub,Give da gobbos sum extra grub ta keep 'em in check.,ph,,,,,,Greenskin Tech,Greenskin Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,101,tech_grn_start_2_1,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,tech_grn_extra_2_4,false,false,placeholder.tga,79478022,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_grn_orcs_of_the_bloody_hand,The Bloody Handz,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,LOCKED_STANDARD,grn_new@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,grn_new,,wh_main_grn_greenskins,,,grn_tech_node_8,,,tech_grn_start_2_1,More Grub,Give da gobbos sum extra grub ta keep 'em in check.,ph,wh_dlc15_effect_force_unit_stat_leadership_goblins,faction_to_force_own_unseen,5.0000,Leadership: %+n for Goblin units,,Greenskin Tech,Greenskin Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,208,tech_grn_start_2_1|wh_dlc15_effect_force_unit_stat_leadership_goblins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morale.png,61,morale.png,battle,true
effect,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_grn_orcs_of_the_bloody_hand,The Bloody Handz,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,LOCKED_STANDARD,grn_new@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,grn_new,,wh_main_grn_greenskins,,,grn_tech_node_8,,,tech_grn_start_2_1,More Grub,Give da gobbos sum extra grub ta keep 'em in check.,ph,wh_main_effect_tech_upkeep_cost_reduction_goblins,faction_to_force_own_unseen,-5.0000,Upkeep: %+n% for Goblin units,,Greenskin Tech,Greenskin Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,209,tech_grn_start_2_1|wh_main_effect_tech_upkeep_cost_reduction_goblins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,military_spending.png,105,military_spending.png,campaign,false
node,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_grn_orcs_of_the_bloody_hand,The Bloody Handz,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,LOCKED_STANDARD,grn_new@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,grn_new,,wh_main_grn_greenskins,,,grn_tech_node_3,,,tech_grn_start_2_2,Tuff Fodda,Throw da gobbos sum iron scraps ta take a betta beating!,ph,,,,,,Greenskin Tech,Greenskin Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,240,grn_tech_node_3,,,,,,,,1,1,200,0,0,,,0,0,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_grn_orcs_of_the_bloody_hand,The Bloody Handz,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,LOCKED_STANDARD,grn_new@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,grn_new,,wh_main_grn_greenskins,,,grn_tech_node_3,,,tech_grn_start_2_2,Tuff Fodda,Throw da gobbos sum iron scraps ta take a betta beating!,ph,,,,,,Greenskin Tech,Greenskin Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,102,tech_grn_start_2_2,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,tech_grn_extra_2_3,false,false,placeholder.tga,1426233339,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
