record_type,game,patch,steam_build_id,race,race_slug,faction_key,faction_name,culture_key,subculture_key,feature_forest_key,variant_key,variant_status,applicability_basis,campaign_key,node_set_key,set_faction_key,set_culture_key,set_subculture_key,set_campaign_key,node_key,node_faction_key,node_campaign_key,technology_key,technology_name,technology_short_description,technology_long_description,effect_key,effect_scope,effect_value,effect_description,effect_additional_tooltip,node_set_name,node_set_tooltip,ui_group_name,ui_group_description,ui_tab_name,ui_tab_tooltip,lock_reason,ancillary_granted_text,required_technology_key,parent_node_key,child_node_key,link_type,classification,source_table,source_path,source_row_number,source_key,script_path,script_line,script_operation,script_evidence,script_applicability,script_resolution,set_colour_hex,node_indent,node_tier,research_points_required,cost_per_round,food_cost,ui_group_key,resource_cost_key,required_parents,node_pixel_offset_x,node_pixel_offset_y,technology_building_level,technology_position_index,technology_icon_name,technology_mp_available_early,technology_mp_available_late,technology_info_pic,technology_unique_index,technology_is_civil,technology_is_engineering,technology_is_military,technology_is_hidden,link_initial_descent_tiers,link_parent_link_position,link_child_link_position,link_parent_link_position_offset,link_child_link_position_offset,link_visible_in_ui,required_building_level_key,ancillary_key,character_trait_level_key,effect_list_key,initiative_key,initiative_visible_in_ui,unit_upgrade_key,mercenary_key,mercenary_group,mercenary_initial_unit_count,mercenary_pool,unlock_faction_key,unlock_subculture_key,resource_cost_treasury_cost,resource_cost_expenditure_type,resource_cost_income_type,resource_cost_expenditure_type_when_regular,resource_cost_income_type_when_regular,pooled_cost_pooled_resource_factor,pooled_cost_amount,pooled_cost_context,pooled_cost_ui_resource_transaction_pooled_resource,pooled_resource_factor_key,resource_factor_factor,pooled_resource_key,resource_factor_minimum,resource_factor_maximum,resource_factor_specific_faction_set,group_optional_background_image,group_colour_hex,group_bounds_bottom_right_node,group_bounds_top_left_node,group_bounds_optional_top_right_node,group_bounds_optional_bottom_left_node,ui_tab_key,tab_sort_order,tab_tier_offset,module_max_tier,effect_bundle_key,module_min_tier,category_effect_advancement_stage,effect_definition_icon,effect_definition_priority,effect_definition_icon_negative,effect_definition_category,effect_definition_is_positive_value_good
faction,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_hef_avelorn,Avelorn,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,LOCKED_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has_database_tree,factions_tables,db/factions_tables/data__.tsv,178,wh2_main_hef_avelorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node_set,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_hef_avelorn,Avelorn,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,LOCKED_STANDARD,hef_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,hef_mil,,wh2_main_hef_high_elves,,,,,,,,,,,,,,,High Elf Tech,High Elf Tech,,,,,,,,,,,,technology_node_sets_tables,db/technology_node_sets_tables/data__.tsv,19,hef_mil,,,,,,,4BBEFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_hef_avelorn,Avelorn,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,LOCKED_STANDARD,hef_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,hef_mil,,wh2_main_hef_high_elves,,,wh2_main_tech_hef_0_00,,,wh2_main_tech_hef_0_00,The Endless Muster,To rouse the fire of Asurian intensity is to command obedience – be they white-garbed neophytes or Nagarythe's black-fletched ranks.,,,,,,,High Elf Tech,High Elf Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,612,wh2_main_tech_hef_0_00,,,,,,,,1,1,200,0,0,hef_0,,0,-100,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_hef_avelorn,Avelorn,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,LOCKED_STANDARD,hef_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,hef_mil,,wh2_main_hef_high_elves,,,wh2_main_tech_hef_0_00,,,wh2_main_tech_hef_0_00,The Endless Muster,To rouse the fire of Asurian intensity is to command obedience – be they white-garbed neophytes or Nagarythe's black-fletched ranks.,,,,,,,High Elf Tech,High Elf Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,380,wh2_main_tech_hef_0_00,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh2_hef_tech_military_advancement_1_1,false,false,,475006320,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_hef_avelorn,Avelorn,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,LOCKED_STANDARD,hef_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,hef_mil,,wh2_main_hef_high_elves,,,wh2_main_tech_hef_0_00,,,wh2_main_tech_hef_0_00,The Endless Muster,To rouse the fire of Asurian intensity is to command obedience – be they white-garbed neophytes or Nagarythe's black-fletched ranks.,,wh2_main_effect_tech_unit_xp_levels_hef_sea_guard,faction_to_force_own_unseen,1.0000,Recruit rank: %+n for Ship's Company and Lothern Sea Guard units,,High Elf Tech,High Elf Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,752,wh2_main_tech_hef_0_00|wh2_main_effect_tech_unit_xp_levels_hef_sea_guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experience.png,120,experience.png,campaign,true
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_hef_avelorn,Avelorn,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,LOCKED_STANDARD,hef_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,hef_mil,,wh2_main_hef_high_elves,,,wh2_main_tech_hef_0_00,,,wh2_main_tech_hef_0_00,The Endless Muster,To rouse the fire of Asurian intensity is to command obedience – be they white-garbed neophytes or Nagarythe's black-fletched ranks.,,wh3_dlc27_effect_tech_leadership_common_hef_inf,faction_to_force_own_unseen,3.0000,"Leadership: %+n for Ship's Company, Lothern Sea Guard, Archers, Silverin Guard, Rangers, Spearmen, Shadow-Warriors and Shadow-walker units",,High Elf Tech,High Elf Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,753,wh2_main_tech_hef_0_00|wh3_dlc27_effect_tech_leadership_common_hef_inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morale.png,411,morale.png,battle,true
tab_membership,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_hef_avelorn,Avelorn,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,LOCKED_STANDARD,hef_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,hef_mil,,wh2_main_hef_high_elves,,,wh2_main_tech_hef_0_00,,,wh2_main_tech_hef_0_00,The Endless Muster,To rouse the fire of Asurian intensity is to command obedience – be they white-garbed neophytes or Nagarythe's black-fletched ranks.,,,,,,,High Elf Tech,High Elf Tech,,,,,,,,,,,,technology_ui_tabs_to_technology_nodes_junctions_tables,db/technology_ui_tabs_to_technology_nodes_junctions_tables/data__.tsv,269,wh2_main_tech_hef_0_00|hef_military,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hef_military,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_hef_avelorn,Avelorn,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,LOCKED_STANDARD,hef_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,hef_mil,,wh2_main_hef_high_elves,,,wh2_main_tech_hef_0_04,,,wh2_main_tech_hef_0_04,Appoint Sea Masters,Those among the Sea Guard who show better-than-average aptitude may find themselves promoted in due course.,,,,,,,High Elf Tech,High Elf Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,616,wh2_main_tech_hef_0_04,,,,,,,,4,1,400,0,0,hef_10,,0,-100,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_hef_avelorn,Avelorn,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,LOCKED_STANDARD,hef_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,hef_mil,,wh2_main_hef_high_elves,,,wh2_main_tech_hef_0_04,,,wh2_main_tech_hef_0_04,Appoint Sea Masters,Those among the Sea Guard who show better-than-average aptitude may find themselves promoted in due course.,,,,,,,High Elf Tech,High Elf Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,384,wh2_main_tech_hef_0_04,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh2_hef_tech_appoint_sea_masters,false,false,,7235,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_hef_avelorn,Avelorn,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,LOCKED_STANDARD,hef_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,hef_mil,,wh2_main_hef_high_elves,,,wh2_main_tech_hef_0_04,,,wh2_main_tech_hef_0_04,Appoint Sea Masters,Those among the Sea Guard who show better-than-average aptitude may find themselves promoted in due course.,,wh2_main_effect_tech_unit_xp_levels_hef_sea_guard,faction_to_character_own_unseen,1.0000,Recruit rank: %+n for Ship's Company and Lothern Sea Guard units,,High Elf Tech,High Elf Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,759,wh2_main_tech_hef_0_04|wh2_main_effect_tech_unit_xp_levels_hef_sea_guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experience.png,120,experience.png,campaign,true
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_hef_avelorn,Avelorn,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,LOCKED_STANDARD,hef_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,hef_mil,,wh2_main_hef_high_elves,,,wh2_main_tech_hef_0_04,,,wh2_main_tech_hef_0_04,Appoint Sea Masters,Those among the Sea Guard who show better-than-average aptitude may find themselves promoted in due course.,,wh3_dlc27_effect_tech_recruitment_cost_reduction_seaguard_shipsc_hef,faction_to_force_own_unseen,-10.0000,Recruitment cost: %+n% for Ship's Company and Lothern Sea Guard units,,High Elf Tech,High Elf Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,760,wh2_main_tech_hef_0_04|wh3_dlc27_effect_tech_recruitment_cost_reduction_seaguard_shipsc_hef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treasury.png,106,treasury.png,campaign,false
