record_type,game,patch,steam_build_id,race,race_slug,faction_key,faction_name,culture_key,subculture_key,feature_forest_key,variant_key,variant_status,applicability_basis,campaign_key,node_set_key,set_faction_key,set_culture_key,set_subculture_key,set_campaign_key,node_key,node_faction_key,node_campaign_key,technology_key,technology_name,technology_short_description,technology_long_description,effect_key,effect_scope,effect_value,effect_description,effect_additional_tooltip,node_set_name,node_set_tooltip,ui_group_name,ui_group_description,ui_tab_name,ui_tab_tooltip,lock_reason,ancillary_granted_text,required_technology_key,parent_node_key,child_node_key,link_type,classification,source_table,source_path,source_row_number,source_key,script_path,script_line,script_operation,script_evidence,script_applicability,script_resolution,set_colour_hex,node_indent,node_tier,research_points_required,cost_per_round,food_cost,ui_group_key,resource_cost_key,required_parents,node_pixel_offset_x,node_pixel_offset_y,technology_building_level,technology_position_index,technology_icon_name,technology_mp_available_early,technology_mp_available_late,technology_info_pic,technology_unique_index,technology_is_civil,technology_is_engineering,technology_is_military,technology_is_hidden,link_initial_descent_tiers,link_parent_link_position,link_child_link_position,link_parent_link_position_offset,link_child_link_position_offset,link_visible_in_ui,required_building_level_key,ancillary_key,character_trait_level_key,effect_list_key,initiative_key,initiative_visible_in_ui,unit_upgrade_key,mercenary_key,mercenary_group,mercenary_initial_unit_count,mercenary_pool,unlock_faction_key,unlock_subculture_key,resource_cost_treasury_cost,resource_cost_expenditure_type,resource_cost_income_type,resource_cost_expenditure_type_when_regular,resource_cost_income_type_when_regular,pooled_cost_pooled_resource_factor,pooled_cost_amount,pooled_cost_context,pooled_cost_ui_resource_transaction_pooled_resource,pooled_resource_factor_key,resource_factor_factor,pooled_resource_key,resource_factor_minimum,resource_factor_maximum,resource_factor_specific_faction_set,group_optional_background_image,group_colour_hex,group_bounds_bottom_right_node,group_bounds_top_left_node,group_bounds_optional_top_right_node,group_bounds_optional_bottom_left_node,ui_tab_key,tab_sort_order,tab_tier_offset,module_max_tier,effect_bundle_key,module_min_tier,category_effect_advancement_stage,effect_definition_icon,effect_definition_priority,effect_definition_icon_negative,effect_definition_category,effect_definition_is_positive_value_good
faction,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_dlc24_ksl_daughters_of_the_forest,Daughters of the Forest,wh3_main_ksl_kislev,wh3_main_sc_ksl_kislev,LOCKED_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has_database_tree,factions_tables,db/factions_tables/data__.tsv,328,wh3_dlc24_ksl_daughters_of_the_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node_set,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_dlc24_ksl_daughters_of_the_forest,Daughters of the Forest,wh3_main_ksl_kislev,wh3_main_sc_ksl_kislev,LOCKED_STANDARD,ksl_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ksl_mil,,wh3_main_ksl_kislev,,,,,,,,,,,,,,,Kislev Tech,Kislev Tech,,,,,,,,,,,,technology_node_sets_tables,db/technology_node_sets_tables/data__.tsv,21,ksl_mil,,,,,,,FFB62F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_dlc24_ksl_daughters_of_the_forest,Daughters of the Forest,wh3_main_ksl_kislev,wh3_main_sc_ksl_kislev,LOCKED_STANDARD,ksl_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ksl_mil,,wh3_main_ksl_kislev,,,wh3_main_ksl_g1_0_0,,,wh3_main_tech_ksl_2_06,Ice Cade Collars,"These intricate designs are woven from strips cut from the pelts of young beasts, perhaps slain for the tenderness of their meat.",,,,,,,Kislev Tech,Kislev Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,1305,wh3_main_ksl_g1_0_0,,,,,,,,0,0,300,0,0,ksl_land,,0,150,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_dlc24_ksl_daughters_of_the_forest,Daughters of the Forest,wh3_main_ksl_kislev,wh3_main_sc_ksl_kislev,LOCKED_STANDARD,ksl_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ksl_mil,,wh3_main_ksl_kislev,,,wh3_main_ksl_g1_0_0,,,wh3_main_tech_ksl_2_06,Ice Cade Collars,"These intricate designs are woven from strips cut from the pelts of young beasts, perhaps slain for the tenderness of their meat.",,,,,,,Kislev Tech,Kislev Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,1218,wh3_main_tech_ksl_2_06,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh3_main_tech_ksl_2_06,false,false,placeholder.tga,1037687200,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_dlc24_ksl_daughters_of_the_forest,Daughters of the Forest,wh3_main_ksl_kislev,wh3_main_sc_ksl_kislev,LOCKED_STANDARD,ksl_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ksl_mil,,wh3_main_ksl_kislev,,,wh3_main_ksl_g1_0_0,,,wh3_main_tech_ksl_2_06,Ice Cade Collars,"These intricate designs are woven from strips cut from the pelts of young beasts, perhaps slain for the tenderness of their meat.",,wh3_main_effect_stat_weapon_strength_ksl_snow_leopards,faction_to_force_own_unseen,15.0000,Weapon strength: %+n% for Snow Leopard and Things in the Woods units,,Kislev Tech,Kislev Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,2514,wh3_main_tech_ksl_2_06|wh3_main_effect_stat_weapon_strength_ksl_snow_leopards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weapon_damage.png,461,weapon_damage.png,battle,true
tab_membership,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_dlc24_ksl_daughters_of_the_forest,Daughters of the Forest,wh3_main_ksl_kislev,wh3_main_sc_ksl_kislev,LOCKED_STANDARD,ksl_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ksl_mil,,wh3_main_ksl_kislev,,,wh3_main_ksl_g1_0_0,,,wh3_main_tech_ksl_2_06,Ice Cade Collars,"These intricate designs are woven from strips cut from the pelts of young beasts, perhaps slain for the tenderness of their meat.",,,,,,,Kislev Tech,Kislev Tech,,,,,,,,,,,,technology_ui_tabs_to_technology_nodes_junctions_tables,db/technology_ui_tabs_to_technology_nodes_junctions_tables/data__.tsv,477,wh3_main_ksl_g1_0_0|ksl_the_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ksl_the_land,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_dlc24_ksl_daughters_of_the_forest,Daughters of the Forest,wh3_main_ksl_kislev,wh3_main_sc_ksl_kislev,LOCKED_STANDARD,ksl_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ksl_mil,,wh3_main_ksl_kislev,,,wh3_main_ksl_g1_1_0,,,wh3_main_tech_ksl_4_04,Praag Remembers,Lest we forget those who lost their minds and lives to the Dark Gods' terrible advance…,,,,,,,Kislev Tech,Kislev Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,1308,wh3_main_ksl_g1_1_0,,,,,,,,1,0,300,0,0,ksl_land,,0,150,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_dlc24_ksl_daughters_of_the_forest,Daughters of the Forest,wh3_main_ksl_kislev,wh3_main_sc_ksl_kislev,LOCKED_STANDARD,ksl_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ksl_mil,,wh3_main_ksl_kislev,,,wh3_main_ksl_g1_1_0,,,wh3_main_tech_ksl_4_04,Praag Remembers,Lest we forget those who lost their minds and lives to the Dark Gods' terrible advance…,,,,,,,Kislev Tech,Kislev Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,1278,wh3_main_tech_ksl_4_04,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh3_main_tech_ksl_4_04,false,false,placeholder.tga,366823348,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_dlc24_ksl_daughters_of_the_forest,Daughters of the Forest,wh3_main_ksl_kislev,wh3_main_sc_ksl_kislev,LOCKED_STANDARD,ksl_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ksl_mil,,wh3_main_ksl_kislev,,,wh3_main_ksl_g1_1_0,,,wh3_main_tech_ksl_4_04,Praag Remembers,Lest we forget those who lost their minds and lives to the Dark Gods' terrible advance…,,wh3_main_effect_corruption_reduction_technology,faction_to_province_own,-2.0000,Corruption: %+n,,Kislev Tech,Kislev Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,2596,wh3_main_tech_ksl_4_04|wh3_main_effect_corruption_reduction_technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corruption.png,104,corruption.png,campaign,false
tab_membership,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_dlc24_ksl_daughters_of_the_forest,Daughters of the Forest,wh3_main_ksl_kislev,wh3_main_sc_ksl_kislev,LOCKED_STANDARD,ksl_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ksl_mil,,wh3_main_ksl_kislev,,,wh3_main_ksl_g1_1_0,,,wh3_main_tech_ksl_4_04,Praag Remembers,Lest we forget those who lost their minds and lives to the Dark Gods' terrible advance…,,,,,,,Kislev Tech,Kislev Tech,,,,,,,,,,,,technology_ui_tabs_to_technology_nodes_junctions_tables,db/technology_ui_tabs_to_technology_nodes_junctions_tables/data__.tsv,480,wh3_main_ksl_g1_1_0|ksl_the_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ksl_the_land,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_dlc24_ksl_daughters_of_the_forest,Daughters of the Forest,wh3_main_ksl_kislev,wh3_main_sc_ksl_kislev,LOCKED_STANDARD,ksl_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ksl_mil,,wh3_main_ksl_kislev,,,wh3_main_ksl_g1_2_0,,,wh3_main_tech_ksl_2_10,Bear Baiting,"Angering the great beasts just enough to make them aggressive, but not so much that they kill you, is a valuable skill to master.",,,,,,,Kislev Tech,Kislev Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,1311,wh3_main_ksl_g1_2_0,,,,,,,,2,0,300,0,0,ksl_land,,0,150,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
