record_type,game,patch,steam_build_id,race,race_slug,faction_key,faction_name,culture_key,subculture_key,feature_forest_key,variant_key,variant_status,applicability_basis,campaign_key,node_set_key,set_faction_key,set_culture_key,set_subculture_key,set_campaign_key,node_key,node_faction_key,node_campaign_key,technology_key,technology_name,technology_short_description,technology_long_description,effect_key,effect_scope,effect_value,effect_description,effect_additional_tooltip,node_set_name,node_set_tooltip,ui_group_name,ui_group_description,ui_tab_name,ui_tab_tooltip,lock_reason,ancillary_granted_text,required_technology_key,parent_node_key,child_node_key,link_type,classification,source_table,source_path,source_row_number,source_key,script_path,script_line,script_operation,script_evidence,script_applicability,script_resolution,set_colour_hex,node_indent,node_tier,research_points_required,cost_per_round,food_cost,ui_group_key,resource_cost_key,required_parents,node_pixel_offset_x,node_pixel_offset_y,technology_building_level,technology_position_index,technology_icon_name,technology_mp_available_early,technology_mp_available_late,technology_info_pic,technology_unique_index,technology_is_civil,technology_is_engineering,technology_is_military,technology_is_hidden,link_initial_descent_tiers,link_parent_link_position,link_child_link_position,link_parent_link_position_offset,link_child_link_position_offset,link_visible_in_ui,required_building_level_key,ancillary_key,character_trait_level_key,effect_list_key,initiative_key,initiative_visible_in_ui,unit_upgrade_key,mercenary_key,mercenary_group,mercenary_initial_unit_count,mercenary_pool,unlock_faction_key,unlock_subculture_key,resource_cost_treasury_cost,resource_cost_expenditure_type,resource_cost_income_type,resource_cost_expenditure_type_when_regular,resource_cost_income_type_when_regular,pooled_cost_pooled_resource_factor,pooled_cost_amount,pooled_cost_context,pooled_cost_ui_resource_transaction_pooled_resource,pooled_resource_factor_key,resource_factor_factor,pooled_resource_key,resource_factor_minimum,resource_factor_maximum,resource_factor_specific_faction_set,group_optional_background_image,group_colour_hex,group_bounds_bottom_right_node,group_bounds_top_left_node,group_bounds_optional_top_right_node,group_bounds_optional_bottom_left_node,ui_tab_key,tab_sort_order,tab_tier_offset,module_max_tier,effect_bundle_key,module_min_tier,category_effect_advancement_stage,effect_definition_icon,effect_definition_priority,effect_definition_icon_negative,effect_definition_category,effect_definition_is_positive_value_good
faction,warhammer_3,8.1.1,24237342,Norsca,norsca,wh3_dlc27_nor_sayl,Dolgan,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,LOCKED_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has_database_tree,factions_tables,db/factions_tables/data__.tsv,368,wh3_dlc27_nor_sayl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node_set,warhammer_3,8.1.1,24237342,Norsca,norsca,wh3_dlc27_nor_sayl,Dolgan,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,LOCKED_STANDARD,nor_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,nor_mil,,wh_dlc08_nor_norsca,,,,,,,,,,,,,,,Norscan Tech,Norscan Tech,,,,,,,,,,,,technology_node_sets_tables,db/technology_node_sets_tables/data__.tsv,25,nor_mil,,,,,,,FFB62F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Norsca,norsca,wh3_dlc27_nor_sayl,Dolgan,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,LOCKED_STANDARD,nor_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,nor_mil,,wh_dlc08_nor_norsca,,,wh_dlc08_tech_nor_marauders_01,,,wh_dlc08_tech_nor_creatures_02,Chaos Surge,Nowhere else but under the shadow of Chaos are such brutish and degenerate killers nurtured and bred.,"The northlands exist in the shadow of terrible energies. When the world was young, mysterious beings known only as the Old Ones sited a gateway to the stars above the world's poles. Unknown to them this portal drew other, less benevolent entities, now worshipped as the Dark Gods. A cataclysm occurred, unseen by mortal eyes, and the gateway was destroyed. But not entirely. There remains, in the farthest north, a place where all reason, all life, breaks down: the Realm of Chaos. Those strong enough to serve its fickle rulers and endure the changes it carves into living flesh share a fraction of that unearthly power, and those best suited to do so are monstrous creatures who know no other Gods and have always called the northlands home.",,,,,,Norscan Tech,Norscan Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,1725,wh_dlc08_tech_nor_marauders_01,,,,,,,,1,1,200,0,0,,,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Norsca,norsca,wh3_dlc27_nor_sayl,Dolgan,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,LOCKED_STANDARD,nor_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,nor_mil,,wh_dlc08_nor_norsca,,,wh_dlc08_tech_nor_marauders_01,,,wh_dlc08_tech_nor_creatures_02,Chaos Surge,Nowhere else but under the shadow of Chaos are such brutish and degenerate killers nurtured and bred.,"The northlands exist in the shadow of terrible energies. When the world was young, mysterious beings known only as the Old Ones sited a gateway to the stars above the world's poles. Unknown to them this portal drew other, less benevolent entities, now worshipped as the Dark Gods. A cataclysm occurred, unseen by mortal eyes, and the gateway was destroyed. But not entirely. There remains, in the farthest north, a place where all reason, all life, breaks down: the Realm of Chaos. Those strong enough to serve its fickle rulers and endure the changes it carves into living flesh share a fraction of that unearthly power, and those best suited to do so are monstrous creatures who know no other Gods and have always called the northlands home.",,,,,,Norscan Tech,Norscan Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,1612,wh_dlc08_tech_nor_creatures_02,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,tech_dlc08_nor_chaos_surge,false,false,,1769752286,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh3_dlc27_nor_sayl,Dolgan,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,LOCKED_STANDARD,nor_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,nor_mil,,wh_dlc08_nor_norsca,,,wh_dlc08_tech_nor_marauders_01,,,wh_dlc08_tech_nor_creatures_02,Chaos Surge,Nowhere else but under the shadow of Chaos are such brutish and degenerate killers nurtured and bred.,"The northlands exist in the shadow of terrible energies. When the world was young, mysterious beings known only as the Old Ones sited a gateway to the stars above the world's poles. Unknown to them this portal drew other, less benevolent entities, now worshipped as the Dark Gods. A cataclysm occurred, unseen by mortal eyes, and the gateway was destroyed. But not entirely. There remains, in the farthest north, a place where all reason, all life, breaks down: the Realm of Chaos. Those strong enough to serve its fickle rulers and endure the changes it carves into living flesh share a fraction of that unearthly power, and those best suited to do so are monstrous creatures who know no other Gods and have always called the northlands home.",wh_dlc08_effect_force_stat_leadership_marauders,faction_to_force_own_unseen,4.0000,Leadership: %+n for Marauder units,,Norscan Tech,Norscan Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,3265,wh_dlc08_tech_nor_creatures_02|wh_dlc08_effect_force_stat_leadership_marauders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morale.png,411,morale.png,battle,true
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh3_dlc27_nor_sayl,Dolgan,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,LOCKED_STANDARD,nor_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,nor_mil,,wh_dlc08_nor_norsca,,,wh_dlc08_tech_nor_marauders_01,,,wh_dlc08_tech_nor_creatures_02,Chaos Surge,Nowhere else but under the shadow of Chaos are such brutish and degenerate killers nurtured and bred.,"The northlands exist in the shadow of terrible energies. When the world was young, mysterious beings known only as the Old Ones sited a gateway to the stars above the world's poles. Unknown to them this portal drew other, less benevolent entities, now worshipped as the Dark Gods. A cataclysm occurred, unseen by mortal eyes, and the gateway was destroyed. But not entirely. There remains, in the farthest north, a place where all reason, all life, breaks down: the Realm of Chaos. Those strong enough to serve its fickle rulers and endure the changes it carves into living flesh share a fraction of that unearthly power, and those best suited to do so are monstrous creatures who know no other Gods and have always called the northlands home.",wh_dlc08_effect_tech_unit_xp_levels_marauders,faction_to_character_own_unseen,1.0000,Recruit rank: %+n for Marauder units,,Norscan Tech,Norscan Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,3266,wh_dlc08_tech_nor_creatures_02|wh_dlc08_effect_tech_unit_xp_levels_marauders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experience.png,120,experience.png,campaign,true
tab_membership,warhammer_3,8.1.1,24237342,Norsca,norsca,wh3_dlc27_nor_sayl,Dolgan,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,LOCKED_STANDARD,nor_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,nor_mil,,wh_dlc08_nor_norsca,,,wh_dlc08_tech_nor_marauders_01,,,wh_dlc08_tech_nor_creatures_02,Chaos Surge,Nowhere else but under the shadow of Chaos are such brutish and degenerate killers nurtured and bred.,"The northlands exist in the shadow of terrible energies. When the world was young, mysterious beings known only as the Old Ones sited a gateway to the stars above the world's poles. Unknown to them this portal drew other, less benevolent entities, now worshipped as the Dark Gods. A cataclysm occurred, unseen by mortal eyes, and the gateway was destroyed. But not entirely. There remains, in the farthest north, a place where all reason, all life, breaks down: the Realm of Chaos. Those strong enough to serve its fickle rulers and endure the changes it carves into living flesh share a fraction of that unearthly power, and those best suited to do so are monstrous creatures who know no other Gods and have always called the northlands home.",,,,,,Norscan Tech,Norscan Tech,,,,,,,,,,,,technology_ui_tabs_to_technology_nodes_junctions_tables,db/technology_ui_tabs_to_technology_nodes_junctions_tables/data__.tsv,641,wh_dlc08_tech_nor_marauders_01|nor_mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nor_mil,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Norsca,norsca,wh3_dlc27_nor_sayl,Dolgan,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,LOCKED_STANDARD,nor_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,nor_mil,,wh_dlc08_nor_norsca,,,wh_dlc08_tech_nor_creatures_01,,,wh3_dlc27_tech_nor_mil_nocturnality,Natural Selection,"The North offers rest to its weaker whelps atop the bone heap. The strong, brindled with scars and blood-ravened, dare anyone to tame them, or die.",,,,,,,Norscan Tech,Norscan Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,1719,wh_dlc08_tech_nor_creatures_01,,,,,,,,5,1,200,0,0,,,0,0,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Norsca,norsca,wh3_dlc27_nor_sayl,Dolgan,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,LOCKED_STANDARD,nor_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,nor_mil,,wh_dlc08_nor_norsca,,,wh_dlc08_tech_nor_creatures_01,,,wh3_dlc27_tech_nor_mil_nocturnality,Natural Selection,"The North offers rest to its weaker whelps atop the bone heap. The strong, brindled with scars and blood-ravened, dare anyone to tame them, or die.",,,,,,,Norscan Tech,Norscan Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,982,wh3_dlc27_tech_nor_mil_nocturnality,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh3_dlc27_tech_nor_nocturnality,false,false,placeholder.tga,1905079386,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh3_dlc27_nor_sayl,Dolgan,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,LOCKED_STANDARD,nor_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,nor_mil,,wh_dlc08_nor_norsca,,,wh_dlc08_tech_nor_creatures_01,,,wh3_dlc27_tech_nor_mil_nocturnality,Natural Selection,"The North offers rest to its weaker whelps atop the bone heap. The strong, brindled with scars and blood-ravened, dare anyone to tame them, or die.",,wh3_dlc27_effect_force_stat_leadership_monstrous_inf_wolves_nor,faction_to_force_own_unseen,4.0000,"Leadership: %+n for Trolls, Fimir Warriors, Skin Wolf, Ice Wolf and Warhound units",,Norscan Tech,Norscan Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,2010,wh3_dlc27_tech_nor_mil_nocturnality|wh3_dlc27_effect_force_stat_leadership_monstrous_inf_wolves_nor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morale.png,411,morale.png,battle,true
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh3_dlc27_nor_sayl,Dolgan,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,LOCKED_STANDARD,nor_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,nor_mil,,wh_dlc08_nor_norsca,,,wh_dlc08_tech_nor_creatures_01,,,wh3_dlc27_tech_nor_mil_nocturnality,Natural Selection,"The North offers rest to its weaker whelps atop the bone heap. The strong, brindled with scars and blood-ravened, dare anyone to tame them, or die.",,wh3_dlc27_effect_unit_xp_levels_monstrous_inf_wolves_nor,faction_to_force_own_unseen,1.0000,"Recruit rank: %+n for Trolls, Fimir Warriors, Skin Wolf, Ice Wolf and Warhound units",,Norscan Tech,Norscan Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,2011,wh3_dlc27_tech_nor_mil_nocturnality|wh3_dlc27_effect_unit_xp_levels_monstrous_inf_wolves_nor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experience.png,120,experience.png,campaign,true
tab_membership,warhammer_3,8.1.1,24237342,Norsca,norsca,wh3_dlc27_nor_sayl,Dolgan,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,LOCKED_STANDARD,nor_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,nor_mil,,wh_dlc08_nor_norsca,,,wh_dlc08_tech_nor_creatures_01,,,wh3_dlc27_tech_nor_mil_nocturnality,Natural Selection,"The North offers rest to its weaker whelps atop the bone heap. The strong, brindled with scars and blood-ravened, dare anyone to tame them, or die.",,,,,,,Norscan Tech,Norscan Tech,,,,,,,,,,,,technology_ui_tabs_to_technology_nodes_junctions_tables,db/technology_ui_tabs_to_technology_nodes_junctions_tables/data__.tsv,635,wh_dlc08_tech_nor_creatures_01|nor_mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nor_mil,,,,,,,,,,,
