record_type,game,patch,steam_build_id,race,race_slug,faction_key,faction_name,culture_key,subculture_key,feature_forest_key,variant_key,variant_status,applicability_basis,campaign_key,node_set_key,set_faction_key,set_culture_key,set_subculture_key,set_campaign_key,node_key,node_faction_key,node_campaign_key,technology_key,technology_name,technology_short_description,technology_long_description,effect_key,effect_scope,effect_value,effect_description,effect_additional_tooltip,node_set_name,node_set_tooltip,ui_group_name,ui_group_description,ui_tab_name,ui_tab_tooltip,lock_reason,ancillary_granted_text,required_technology_key,parent_node_key,child_node_key,link_type,classification,source_table,source_path,source_row_number,source_key,script_path,script_line,script_operation,script_evidence,script_applicability,script_resolution,set_colour_hex,node_indent,node_tier,research_points_required,cost_per_round,food_cost,ui_group_key,resource_cost_key,required_parents,node_pixel_offset_x,node_pixel_offset_y,technology_building_level,technology_position_index,technology_icon_name,technology_mp_available_early,technology_mp_available_late,technology_info_pic,technology_unique_index,technology_is_civil,technology_is_engineering,technology_is_military,technology_is_hidden,link_initial_descent_tiers,link_parent_link_position,link_child_link_position,link_parent_link_position_offset,link_child_link_position_offset,link_visible_in_ui,required_building_level_key,ancillary_key,character_trait_level_key,effect_list_key,initiative_key,initiative_visible_in_ui,unit_upgrade_key,mercenary_key,mercenary_group,mercenary_initial_unit_count,mercenary_pool,unlock_faction_key,unlock_subculture_key,resource_cost_treasury_cost,resource_cost_expenditure_type,resource_cost_income_type,resource_cost_expenditure_type_when_regular,resource_cost_income_type_when_regular,pooled_cost_pooled_resource_factor,pooled_cost_amount,pooled_cost_context,pooled_cost_ui_resource_transaction_pooled_resource,pooled_resource_factor_key,resource_factor_factor,pooled_resource_key,resource_factor_minimum,resource_factor_maximum,resource_factor_specific_faction_set,group_optional_background_image,group_colour_hex,group_bounds_bottom_right_node,group_bounds_top_left_node,group_bounds_optional_top_right_node,group_bounds_optional_bottom_left_node,ui_tab_key,tab_sort_order,tab_tier_offset,module_max_tier,effect_bundle_key,module_min_tier,category_effect_advancement_stage,effect_definition_icon,effect_definition_priority,effect_definition_icon_negative,effect_definition_category,effect_definition_is_positive_value_good
faction,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_goldtooth,Goldtooth,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,LOCKED_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has_database_tree,factions_tables,db/factions_tables/data__.tsv,453,wh3_main_ogr_goldtooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node_set,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_goldtooth,Goldtooth,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,LOCKED_STANDARD,ogr_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ogr_mil,,wh3_main_ogr_ogre_kingdoms,,,,,,,,,,,,,,,Ogre Tech,Ogre Techs,,,,,,,,,,,,technology_node_sets_tables,db/technology_node_sets_tables/data__.tsv,27,ogr_mil,,,,,,,FFB62F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_goldtooth,Goldtooth,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,LOCKED_STANDARD,ogr_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ogr_mil,,wh3_main_ogr_ogre_kingdoms,,,wh3_dlc26_ogr_kingdom_10,,,wh3_main_tech_ogr_0_7_0,Huntin' Tricks,"As it turns out, many of the Ogres' natural prey are a bit thick and can be tricked into giving up their lives without expending too much effort.",,,,,,,Ogre Tech,Ogre Techs,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,1020,wh3_dlc26_ogr_kingdom_10,,,,,,,,3,0,500,0,0,,,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_goldtooth,Goldtooth,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,LOCKED_STANDARD,ogr_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ogr_mil,,wh3_main_ogr_ogre_kingdoms,,,wh3_dlc26_ogr_kingdom_10,,,wh3_main_tech_ogr_0_7_0,Huntin' Tricks,"As it turns out, many of the Ogres' natural prey are a bit thick and can be tricked into giving up their lives without expending too much effort.",,,,,,,Ogre Tech,Ogre Techs,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,1364,wh3_main_tech_ogr_0_7_0,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh3_main_tech_ogr_0_7_0,false,false,,2137500989,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_goldtooth,Goldtooth,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,LOCKED_STANDARD,ogr_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ogr_mil,,wh3_main_ogr_ogre_kingdoms,,,wh3_dlc26_ogr_kingdom_10,,,wh3_main_tech_ogr_0_7_0,Huntin' Tricks,"As it turns out, many of the Ogres' natural prey are a bit thick and can be tricked into giving up their lives without expending too much effort.",,wh3_main_effect_agent_cap_increase_ogr_hunter,faction_to_faction_own_unseen,2.0000,Hero capacity: %+n for Hunters,,Ogre Tech,Ogre Techs,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,2759,wh3_main_tech_ogr_0_7_0|wh3_main_effect_agent_cap_increase_ogr_hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hunter.png,102,hunter.png,campaign,true
effect,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_goldtooth,Goldtooth,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,LOCKED_STANDARD,ogr_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ogr_mil,,wh3_main_ogr_ogre_kingdoms,,,wh3_dlc26_ogr_kingdom_10,,,wh3_main_tech_ogr_0_7_0,Huntin' Tricks,"As it turns out, many of the Ogres' natural prey are a bit thick and can be tricked into giving up their lives without expending too much effort.",,wh3_main_effect_agent_recruitment_xp_ogr_hunter,faction_to_province_own_unseen,3.0000,Hero recruit rank: %+n for Hunters,,Ogre Tech,Ogre Techs,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,2760,wh3_main_tech_ogr_0_7_0|wh3_main_effect_agent_recruitment_xp_ogr_hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hunter.png,104,hunter.png,campaign,true
effect,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_goldtooth,Goldtooth,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,LOCKED_STANDARD,ogr_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ogr_mil,,wh3_main_ogr_ogre_kingdoms,,,wh3_dlc26_ogr_kingdom_10,,,wh3_main_tech_ogr_0_7_0,Huntin' Tricks,"As it turns out, many of the Ogres' natural prey are a bit thick and can be tricked into giving up their lives without expending too much effort.",,wh3_main_effect_agent_recruitment_xp_ogr_hunter_hidden,faction_to_force_own_unseen,3.0000,[hidden] Used to increase rank for Hunters from camps in conjunction with regular effect (with different scopes),,Ogre Tech,Ogre Techs,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,2761,wh3_main_tech_ogr_0_7_0|wh3_main_effect_agent_recruitment_xp_ogr_hunter_hidden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hunter.png,0,hunter.png,campaign,true
effect,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_goldtooth,Goldtooth,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,LOCKED_STANDARD,ogr_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ogr_mil,,wh3_main_ogr_ogre_kingdoms,,,wh3_dlc26_ogr_kingdom_10,,,wh3_main_tech_ogr_0_7_0,Huntin' Tricks,"As it turns out, many of the Ogres' natural prey are a bit thick and can be tricked into giving up their lives without expending too much effort.",,wh3_main_tech_ogr_postbattle_meat,faction_to_force_own_unseen,10.0000,Meat gained from battles: %+n%,,Ogre Tech,Ogre Techs,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,2762,wh3_main_tech_ogr_0_7_0|wh3_main_tech_ogr_postbattle_meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meat_bundle.png,99,meat_bundle.png,campaign,true
tab_membership,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_goldtooth,Goldtooth,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,LOCKED_STANDARD,ogr_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ogr_mil,,wh3_main_ogr_ogre_kingdoms,,,wh3_dlc26_ogr_kingdom_10,,,wh3_main_tech_ogr_0_7_0,Huntin' Tricks,"As it turns out, many of the Ogres' natural prey are a bit thick and can be tricked into giving up their lives without expending too much effort.",,,,,,,Ogre Tech,Ogre Techs,,,,,,,,,,,,technology_ui_tabs_to_technology_nodes_junctions_tables,db/technology_ui_tabs_to_technology_nodes_junctions_tables/data__.tsv,758,wh3_dlc26_ogr_kingdom_10|ogr_tribes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ogr_tribes,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_goldtooth,Goldtooth,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,LOCKED_STANDARD,ogr_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ogr_mil,,wh3_main_ogr_ogre_kingdoms,,,wh3_dlc26_ogr_kingdom_06,,,wh3_main_tech_ogr_1_11_0,Bigga Camps,"A larger campsite means more groupings of tents, and therefore more Ogres gathered in one place – multiplying the threat level many times over.",,,,,,,Ogre Tech,Ogre Techs,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,1016,wh3_dlc26_ogr_kingdom_06,,,,,,,,4,0,500,0,0,,,0,100,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_goldtooth,Goldtooth,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,LOCKED_STANDARD,ogr_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ogr_mil,,wh3_main_ogr_ogre_kingdoms,,,wh3_dlc26_ogr_kingdom_06,,,wh3_main_tech_ogr_1_11_0,Bigga Camps,"A larger campsite means more groupings of tents, and therefore more Ogres gathered in one place – multiplying the threat level many times over.",,,,,,,Ogre Tech,Ogre Techs,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,1370,wh3_main_tech_ogr_1_11_0,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh3_main_tech_ogr_1_11_0,false,false,,790754113,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_goldtooth,Goldtooth,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,LOCKED_STANDARD,ogr_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,ogr_mil,,wh3_main_ogr_ogre_kingdoms,,,wh3_dlc26_ogr_kingdom_06,,,wh3_main_tech_ogr_1_11_0,Bigga Camps,"A larger campsite means more groupings of tents, and therefore more Ogres gathered in one place – multiplying the threat level many times over.",,wh3_dlc26_effect_construction_cost_meat_ogre_camps_buildings,faction_to_force_own_unseen,-5.0000,Meat Construction Cost: %+n%,,Ogre Tech,Ogre Techs,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,2775,wh3_main_tech_ogr_1_11_0|wh3_dlc26_effect_construction_cost_meat_ogre_camps_buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meat_bundle.png,105,meat_bundle.png,campaign,false
