record_type,game,patch,steam_build_id,race,race_slug,faction_key,faction_name,culture_key,subculture_key,feature_forest_key,variant_key,variant_status,applicability_basis,campaign_key,node_set_key,set_faction_key,set_culture_key,set_subculture_key,set_campaign_key,node_key,node_faction_key,node_campaign_key,technology_key,technology_name,technology_short_description,technology_long_description,effect_key,effect_scope,effect_value,effect_description,effect_additional_tooltip,node_set_name,node_set_tooltip,ui_group_name,ui_group_description,ui_tab_name,ui_tab_tooltip,lock_reason,ancillary_granted_text,required_technology_key,parent_node_key,child_node_key,link_type,classification,source_table,source_path,source_row_number,source_key,script_path,script_line,script_operation,script_evidence,script_applicability,script_resolution,set_colour_hex,node_indent,node_tier,research_points_required,cost_per_round,food_cost,ui_group_key,resource_cost_key,required_parents,node_pixel_offset_x,node_pixel_offset_y,technology_building_level,technology_position_index,technology_icon_name,technology_mp_available_early,technology_mp_available_late,technology_info_pic,technology_unique_index,technology_is_civil,technology_is_engineering,technology_is_military,technology_is_hidden,link_initial_descent_tiers,link_parent_link_position,link_child_link_position,link_parent_link_position_offset,link_child_link_position_offset,link_visible_in_ui,required_building_level_key,ancillary_key,character_trait_level_key,effect_list_key,initiative_key,initiative_visible_in_ui,unit_upgrade_key,mercenary_key,mercenary_group,mercenary_initial_unit_count,mercenary_pool,unlock_faction_key,unlock_subculture_key,resource_cost_treasury_cost,resource_cost_expenditure_type,resource_cost_income_type,resource_cost_expenditure_type_when_regular,resource_cost_income_type_when_regular,pooled_cost_pooled_resource_factor,pooled_cost_amount,pooled_cost_context,pooled_cost_ui_resource_transaction_pooled_resource,pooled_resource_factor_key,resource_factor_factor,pooled_resource_key,resource_factor_minimum,resource_factor_maximum,resource_factor_specific_faction_set,group_optional_background_image,group_colour_hex,group_bounds_bottom_right_node,group_bounds_top_left_node,group_bounds_optional_top_right_node,group_bounds_optional_bottom_left_node,ui_tab_key,tab_sort_order,tab_tier_offset,module_max_tier,effect_bundle_key,module_min_tier,category_effect_advancement_stage,effect_definition_icon,effect_definition_priority,effect_definition_icon_negative,effect_definition_category,effect_definition_is_positive_value_good
faction,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_dlc27_sla_masque_of_slaanesh,The Accursed Troupe,wh3_main_sla_slaanesh,wh3_main_sc_sla_slaanesh,LOCKED_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has_database_tree,factions_tables,db/factions_tables/data__.tsv,370,wh3_dlc27_sla_masque_of_slaanesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node_set,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_dlc27_sla_masque_of_slaanesh,The Accursed Troupe,wh3_main_sla_slaanesh,wh3_main_sc_sla_slaanesh,LOCKED_STANDARD,sla_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,sla_mil,,wh3_main_sla_slaanesh,,,,,,,,,,,,,,,Slaanesh Tech,Slaanesh Tech,,,,,,,,,,,,technology_node_sets_tables,db/technology_node_sets_tables/data__.tsv,30,sla_mil,,,,,,,FFFFFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_dlc27_sla_masque_of_slaanesh,The Accursed Troupe,wh3_main_sla_slaanesh,wh3_main_sc_sla_slaanesh,LOCKED_STANDARD,sla_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,sla_mil,,wh3_main_sla_slaanesh,,,wh3_dlc27_tech_sla_masque_6_6,wh3_dlc27_sla_masque_of_slaanesh,,wh3_dlc27_tech_sla_enthusiastic_devotees,Maddening Devotion,Vanishingly brief top-notes of tear-scented devotion sheared through by a heart of grief-laden madness. A perfume with the staying power of eternal servitude.,,,,,,,Slaanesh Tech,Slaanesh Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,1244,wh3_dlc27_tech_sla_masque_6_6,,,,,,,,0,1,600,0,0,sla_6_masque,,0,-100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_dlc27_sla_masque_of_slaanesh,The Accursed Troupe,wh3_main_sla_slaanesh,wh3_main_sc_sla_slaanesh,LOCKED_STANDARD,sla_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,sla_mil,,wh3_main_sla_slaanesh,,,wh3_dlc27_tech_sla_masque_6_6,wh3_dlc27_sla_masque_of_slaanesh,,wh3_dlc27_tech_sla_enthusiastic_devotees,Maddening Devotion,Vanishingly brief top-notes of tear-scented devotion sheared through by a heart of grief-laden madness. A perfume with the staying power of eternal servitude.,,,,,,,Slaanesh Tech,Slaanesh Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,1012,wh3_dlc27_tech_sla_enthusiastic_devotees,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh3_main_tech_sla_2_1,false,false,placeholder.tga,2044704857,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_dlc27_sla_masque_of_slaanesh,The Accursed Troupe,wh3_main_sla_slaanesh,wh3_main_sc_sla_slaanesh,LOCKED_STANDARD,sla_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,sla_mil,,wh3_main_sla_slaanesh,,,wh3_dlc27_tech_sla_masque_6_6,wh3_dlc27_sla_masque_of_slaanesh,,wh3_dlc27_tech_sla_enthusiastic_devotees,Maddening Devotion,Vanishingly brief top-notes of tear-scented devotion sheared through by a heart of grief-laden madness. A perfume with the staying power of eternal servitude.,,wh3_dlc27_effect_sla_masque_technology_devotees_per_active_dance,faction_to_faction_own_unseen,2.0000,Devotees: %+n per turn for every [[img:icon_general]][[/img]]Lord performing a Dance,,Slaanesh Tech,Slaanesh Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,2083,wh3_dlc27_tech_sla_enthusiastic_devotees|wh3_dlc27_effect_sla_masque_technology_devotees_per_active_dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,devotees.png,60,souls.png,campaign,true
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_dlc27_sla_masque_of_slaanesh,The Accursed Troupe,wh3_main_sla_slaanesh,wh3_main_sc_sla_slaanesh,LOCKED_STANDARD,sla_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,sla_mil,,wh3_main_sla_slaanesh,,,wh3_dlc27_tech_sla_masque_6_6,wh3_dlc27_sla_masque_of_slaanesh,,wh3_dlc27_tech_sla_enthusiastic_devotees,Maddening Devotion,Vanishingly brief top-notes of tear-scented devotion sheared through by a heart of grief-laden madness. A perfume with the staying power of eternal servitude.,,wh3_main_effect_sla_devotees_disciple_armies_upkeep_mod,faction_to_faction_own_unseen,-10.0000,Devotee upkeep: %+n% for Disciple Armies,,Slaanesh Tech,Slaanesh Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,2084,wh3_dlc27_tech_sla_enthusiastic_devotees|wh3_main_effect_sla_devotees_disciple_armies_upkeep_mod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,devotees.png,189,devotees.png,campaign,false
tab_membership,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_dlc27_sla_masque_of_slaanesh,The Accursed Troupe,wh3_main_sla_slaanesh,wh3_main_sc_sla_slaanesh,LOCKED_STANDARD,sla_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,sla_mil,,wh3_main_sla_slaanesh,,,wh3_dlc27_tech_sla_masque_6_6,wh3_dlc27_sla_masque_of_slaanesh,,wh3_dlc27_tech_sla_enthusiastic_devotees,Maddening Devotion,Vanishingly brief top-notes of tear-scented devotion sheared through by a heart of grief-laden madness. A perfume with the staying power of eternal servitude.,,,,,,,Slaanesh Tech,Slaanesh Tech,,,,,,,,,,,,technology_ui_tabs_to_technology_nodes_junctions_tables,db/technology_ui_tabs_to_technology_nodes_junctions_tables/data__.tsv,817,wh3_dlc27_tech_sla_masque_6_6|sla_campaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sla_campaign,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_dlc27_sla_masque_of_slaanesh,The Accursed Troupe,wh3_main_sla_slaanesh,wh3_main_sc_sla_slaanesh,LOCKED_STANDARD,sla_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,sla_mil,,wh3_main_sla_slaanesh,,,wh3_dlc27_tech_sla_masque_6_2,wh3_dlc27_sla_masque_of_slaanesh,,wh3_dlc27_tech_sla_enticing_visage,Dance of the Mind,Be the locus of attention... Lead every dance... All others are merely spokes spinning around your centre.,,,,,,,Slaanesh Tech,Slaanesh Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,1240,wh3_dlc27_tech_sla_masque_6_2,,,,,,,,4,1,600,0,0,sla_6_masque,,0,-100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_dlc27_sla_masque_of_slaanesh,The Accursed Troupe,wh3_main_sla_slaanesh,wh3_main_sc_sla_slaanesh,LOCKED_STANDARD,sla_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,sla_mil,,wh3_main_sla_slaanesh,,,wh3_dlc27_tech_sla_masque_6_2,wh3_dlc27_sla_masque_of_slaanesh,,wh3_dlc27_tech_sla_enticing_visage,Dance of the Mind,Be the locus of attention... Lead every dance... All others are merely spokes spinning around your centre.,,,,,,,Slaanesh Tech,Slaanesh Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,1013,wh3_dlc27_tech_sla_enticing_visage,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,wh3_main_tech_sla_4_1,false,false,placeholder.tga,405146638,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_dlc27_sla_masque_of_slaanesh,The Accursed Troupe,wh3_main_sla_slaanesh,wh3_main_sc_sla_slaanesh,LOCKED_STANDARD,sla_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,sla_mil,,wh3_main_sla_slaanesh,,,wh3_dlc27_tech_sla_masque_6_2,wh3_dlc27_sla_masque_of_slaanesh,,wh3_dlc27_tech_sla_enticing_visage,Dance of the Mind,Be the locus of attention... Lead every dance... All others are merely spokes spinning around your centre.,,wh3_main_effect_force_all_seduce_units_budget,faction_to_force_own_unseen,25.0000,Seduce Units budget: %+n%,,Slaanesh Tech,Slaanesh Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,2085,wh3_dlc27_tech_sla_enticing_visage|wh3_main_effect_force_all_seduce_units_budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daemon/military_spending.png,70,daemon/military_spending.png,campaign,true
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_dlc27_sla_masque_of_slaanesh,The Accursed Troupe,wh3_main_sla_slaanesh,wh3_main_sc_sla_slaanesh,LOCKED_STANDARD,sla_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,sla_mil,,wh3_main_sla_slaanesh,,,wh3_dlc27_tech_sla_masque_6_2,wh3_dlc27_sla_masque_of_slaanesh,,wh3_dlc27_tech_sla_enticing_visage,Dance of the Mind,Be the locus of attention... Lead every dance... All others are merely spokes spinning around your centre.,,wh3_main_effect_pre_battle_bribery_cost_mod,faction_to_force_own_unseen,-10.0000,Seduce Units cost: %+n%,,Slaanesh Tech,Slaanesh Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,2086,wh3_dlc27_tech_sla_enticing_visage|wh3_main_effect_pre_battle_bribery_cost_mod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daemon/military_spending.png,70,daemon/military_spending.png,campaign,false
