record_type,game,patch,steam_build_id,race,race_slug,faction_key,faction_name,culture_key,subculture_key,feature_forest_key,variant_key,variant_status,applicability_basis,campaign_key,node_set_key,set_faction_key,set_culture_key,set_subculture_key,set_campaign_key,node_key,node_faction_key,node_campaign_key,technology_key,technology_name,technology_short_description,technology_long_description,effect_key,effect_scope,effect_value,effect_description,effect_additional_tooltip,node_set_name,node_set_tooltip,ui_group_name,ui_group_description,ui_tab_name,ui_tab_tooltip,lock_reason,ancillary_granted_text,required_technology_key,parent_node_key,child_node_key,link_type,classification,source_table,source_path,source_row_number,source_key,script_path,script_line,script_operation,script_evidence,script_applicability,script_resolution,set_colour_hex,node_indent,node_tier,research_points_required,cost_per_round,food_cost,ui_group_key,resource_cost_key,required_parents,node_pixel_offset_x,node_pixel_offset_y,technology_building_level,technology_position_index,technology_icon_name,technology_mp_available_early,technology_mp_available_late,technology_info_pic,technology_unique_index,technology_is_civil,technology_is_engineering,technology_is_military,technology_is_hidden,link_initial_descent_tiers,link_parent_link_position,link_child_link_position,link_parent_link_position_offset,link_child_link_position_offset,link_visible_in_ui,required_building_level_key,ancillary_key,character_trait_level_key,effect_list_key,initiative_key,initiative_visible_in_ui,unit_upgrade_key,mercenary_key,mercenary_group,mercenary_initial_unit_count,mercenary_pool,unlock_faction_key,unlock_subculture_key,resource_cost_treasury_cost,resource_cost_expenditure_type,resource_cost_income_type,resource_cost_expenditure_type_when_regular,resource_cost_income_type_when_regular,pooled_cost_pooled_resource_factor,pooled_cost_amount,pooled_cost_context,pooled_cost_ui_resource_transaction_pooled_resource,pooled_resource_factor_key,resource_factor_factor,pooled_resource_key,resource_factor_minimum,resource_factor_maximum,resource_factor_specific_faction_set,group_optional_background_image,group_colour_hex,group_bounds_bottom_right_node,group_bounds_top_left_node,group_bounds_optional_top_right_node,group_bounds_optional_bottom_left_node,ui_tab_key,tab_sort_order,tab_tier_offset,module_max_tier,effect_bundle_key,module_min_tier,category_effect_advancement_stage,effect_definition_icon,effect_definition_priority,effect_definition_icon_negative,effect_definition_category,effect_definition_is_positive_value_good
faction,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_khemri,Khemri,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has_database_tree,factions_tables,db/factions_tables/data__.tsv,12,wh2_dlc09_tmb_khemri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node_set,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_khemri,Khemri,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,tmb_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,tmb_mil,,wh2_dlc09_tmb_tomb_kings,,,,,,,,,,,,,,,Tomb Kings Tech,Tomb Kings Tech,,,,,,,,,,,,technology_node_sets_tables,db/technology_node_sets_tables/data__.tsv,31,tmb_mil,,,,,,,FFB62F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_khemri,Khemri,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,tmb_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,tmb_mil,,wh2_dlc09_tmb_tomb_kings,,,wh2_dlc09_tech_tmb_tomb_king_1,,,wh2_dlc09_tech_tmb_tomb_king_1,Wakhaf of the First Dynasty,Wakhaf repelled the nomads and secured the borders. He is a peerless master of desert warfare.,,,,,,,Tomb Kings Tech,Tomb Kings Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,359,wh2_dlc09_tech_tmb_tomb_king_1,,,,,,,,-1,0,100,0,0,,wh2_dlc09_tmb_tech_tomb_king_unlock,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_khemri,Khemri,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,tmb_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,tmb_mil,,wh2_dlc09_tmb_tomb_kings,,,wh2_dlc09_tech_tmb_tomb_king_1,,,wh2_dlc09_tech_tmb_tomb_king_1,Wakhaf of the First Dynasty,Wakhaf repelled the nomads and secured the borders. He is a peerless master of desert warfare.,,,,,,,Tomb Kings Tech,Tomb Kings Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,158,wh2_dlc09_tech_tmb_tomb_king_1,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,tech_dlc09_lord,false,false,,852366569,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_khemri,Khemri,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,tmb_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,tmb_mil,,wh2_dlc09_tmb_tomb_kings,,,wh2_dlc09_tech_tmb_tomb_king_1,,,wh2_dlc09_tech_tmb_tomb_king_1,Wakhaf of the First Dynasty,Wakhaf repelled the nomads and secured the borders. He is a peerless master of desert warfare.,,wh2_dlc09_effect_tomb_king_unlock_1,faction_to_faction_own_unseen,1.0000,Adds the Tomb King [[col:yellow]]Wakhaf[[/col]] to your faction's [[img:icon_general]][[/img]]Lord pool,,Tomb Kings Tech,Tomb Kings Tech,,,,,,,,,,,,technology_effects_junction_tables,db/technology_effects_junction_tables/data__.tsv,351,wh2_dlc09_tech_tmb_tomb_king_1|wh2_dlc09_effect_tomb_king_unlock_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,army.png,1,army.png,campaign,true
trait_unlock,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_khemri,Khemri,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,tmb_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,tmb_mil,,wh2_dlc09_tmb_tomb_kings,,,wh2_dlc09_tech_tmb_tomb_king_1,,,wh2_dlc09_tech_tmb_tomb_king_1,Wakhaf of the First Dynasty,Wakhaf repelled the nomads and secured the borders. He is a peerless master of desert warfare.,,,,,,,Tomb Kings Tech,Tomb Kings Tech,,,,,,,,,,,,technology_character_traits_junctions_tables,db/technology_character_traits_junctions_tables/data__.tsv,5,wh2_dlc09_dummy_trait_dynasty_1|wh2_dlc09_tech_tmb_tomb_king_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh2_dlc09_dummy_trait_dynasty_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_cost,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_khemri,Khemri,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,tmb_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,tmb_mil,,wh2_dlc09_tmb_tomb_kings,,,wh2_dlc09_tech_tmb_tomb_king_1,,,wh2_dlc09_tech_tmb_tomb_king_1,Wakhaf of the First Dynasty,Wakhaf repelled the nomads and secured the borders. He is a peerless master of desert warfare.,,,,,,,Tomb Kings Tech,Tomb Kings Tech,,,,,,,,,,,,resource_costs_tables,db/resource_costs_tables/data__.tsv,99,wh2_dlc09_tmb_tech_tomb_king_unlock,,,,,,,,,,,,,,wh2_dlc09_tmb_tech_tomb_king_unlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,TECHNOLOGIES,TECHNOLOGIES,ARMY_UPKEEP,BACKGROUND_INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pooled_resource_cost,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_khemri,Khemri,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,tmb_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,tmb_mil,,wh2_dlc09_tmb_tomb_kings,,,wh2_dlc09_tech_tmb_tomb_king_1,,,wh2_dlc09_tech_tmb_tomb_king_1,Wakhaf of the First Dynasty,Wakhaf repelled the nomads and secured the borders. He is a peerless master of desert warfare.,,,,,,,Tomb Kings Tech,Tomb Kings Tech,,,,,,,,,,,,resource_cost_pooled_resource_junctions_tables,db/resource_cost_pooled_resource_junctions_tables/data__.tsv,122,canopic_jars_technology|wh2_dlc09_tmb_tech_tomb_king_unlock,,,,,,,,,,,,,,wh2_dlc09_tmb_tech_tomb_king_unlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canopic_jars_technology,-500,absolute,default,,,,,,,,,,,,,,,,,,,,,,,,
resource_factor,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_khemri,Khemri,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,tmb_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,tmb_mil,,wh2_dlc09_tmb_tomb_kings,,,wh2_dlc09_tech_tmb_tomb_king_1,,,wh2_dlc09_tech_tmb_tomb_king_1,Wakhaf of the First Dynasty,Wakhaf repelled the nomads and secured the borders. He is a peerless master of desert warfare.,,,,,,,Tomb Kings Tech,Tomb Kings Tech,,,,,,,,,,,,pooled_resource_factor_junctions_tables,db/pooled_resource_factor_junctions_tables/data__.tsv,18,canopic_jars_technology,,,,,,,,,,,,,,wh2_dlc09_tmb_tech_tomb_king_unlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canopic_jars_technology,dynasties,tmb_canopic_jars,-2147483647,0,,,,,,,,,,,,,,,,,,,
node,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_khemri,Khemri,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,tmb_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,tmb_mil,,wh2_dlc09_tmb_tomb_kings,,,wh2_dlc09_tech_tmb_dynasty_1,,,wh2_dlc09_tech_tmb_dynasty_1,Wisdom of the First Dynasty,"Ruling from the glittering capital of Khemri, Settra bound the disparate Priest Kings into the unity of single kingdom and lo, Nehekhara was born.",,,,,,,Tomb Kings Tech,Tomb Kings Tech,,,,,,,,,,,structural_node,technology_nodes_tables,db/technology_nodes_tables/data__.tsv,327,wh2_dlc09_tech_tmb_dynasty_1,,,,,,,,3,0,1000,0,0,tmb_1,wh3_main_tmb_dynasty,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_khemri,Khemri,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,LOCKED_STANDARD,tmb_mil@unspecified_campaign,generic_candidate,Conjunction of nonblank source faction/culture/subculture selectors; campaign condition preserved. Engine precedence is not decoded.,,tmb_mil,,wh2_dlc09_tmb_tomb_kings,,,wh2_dlc09_tech_tmb_dynasty_1,,,wh2_dlc09_tech_tmb_dynasty_1,Wisdom of the First Dynasty,"Ruling from the glittering capital of Khemri, Settra bound the disparate Priest Kings into the unity of single kingdom and lo, Nehekhara was born.",,,,,,,Tomb Kings Tech,Tomb Kings Tech,,,,,,,,,,,,technologies_tables,db/technologies_tables/data__.tsv,126,wh2_dlc09_tech_tmb_dynasty_1,,,,,,,,,,,,,,,,,,wh_main_chs_port_ruin,1,tech_dlc09_wisdom_of_the_first_dynasty,false,false,,547134772,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
