game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,unit_key,unit_name,category,unit_class,caste,tier,weight,in_encyclopedia,is_renown,entity_count,hp_per_entity,total_hp,barrier_health,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_projectile_key,extracted_at_utc,notes
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,wh_main_chs_art_hellcannon,Hellcannon,artillery,art_fld,warmachine,3,very_heavy,true,false,12,317.5,3810,0,false,false,30,0,14,70,0,0,0,0,0,18,21,7,5,0,0,4.3,1,false,false,20,2000,false,10,,,,,,,,,,,,,,,,,,1200,1200,300,wh_main_chs_art_hellcannon,wh_main_chs_art_hellcannon,wh_main_chs_art_hellcannon,wh_main_dwf_inf_dwarfs_crew_blood_dismembers,,wh_main_chs_art_hellcannon,wh_main_dwf_axe,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,wh3_main_chd_art_hobgob_bolt_thrower,Hobgoblin Bolt Thrower,artillery,art_fld,warmachine,2,heavy,true,false,56,90.71428571428571,5080,0,false,false,25,0,6,50,0,0,0,0,0,10,21,7,5,0,0,4,1,false,false,22,2000,true,10,22,320,12,30,70,0,50,1,1,1,70,0,40,180,10,false,false,650,650,162,wh3_main_chd_art_hobgob_bolt_thrower,wh3_main_chd_art_hobgob_bolt_thrower,wh3_dlc26_grn_art_goblin_bolt_throwa,wh3_dlc26_grn_inf_goblin_crew_bolt_throwa_blood_dismembers,,wh3_dlc26_grn_art_goblin_bolt_throwa,wh3_dlc23_chd_hobgoblin_sword,wh3_main_chd_art_hobgob_bolt_thrower,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,wh_dlc08_nor_art_hellcannon_battery,The Ice-Forged Legion (Hellcannons),artillery,art_fld,warmachine,5,very_heavy,true,true,48,317.5,15240,0,false,false,30,0,14,70,0,0,0,0,0,18,21,7,5,0,0,4.3,1,false,false,20,2000,false,33,,,,,,,,,,,,,,,,,,3200,3200,800,wh_dlc08_nor_art_hellcannon_battery,wh_dlc08_nor_art_hellcannon_battery,wh3_dlc20_chs_art_hellcannon_nor,wh_main_dwf_inf_dwarfs_crew_blood_dismembers,,wh3_dlc20_chs_art_hellcannon_nor,wh_main_dwf_axe,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,wh_pro04_chs_art_hellcannon_ror_0,The Soul of Damnation (Hellcannon),artillery,art_fld,warmachine,4,very_heavy,true,true,12,317.5,3810,0,false,false,30,0,19,80,0,0,0,0,0,24,21,7,5,0,0,4.3,1,false,false,20,2000,false,33,,,,,,,,,,,,,,,,,,1550,1550,388,wh_pro04_chs_art_hellcannon_ror_0,wh_pro04_chs_art_hellcannon_ror_0,wh3_dlc20_chs_art_hellcannon_ror,wh_main_dwf_inf_dwarfs_crew_blood_dismembers,,wh3_dlc20_chs_art_hellcannon_ror,wh_main_dwf_axe,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,wh3_dlc23_chd_cha_gorduz_backstabber_giant_wolf,Gorduz Backstabber,cavalry,com,hero,0,light,false,false,1,4276,4276,0,true,true,45,35,58,65,0,15,0,0,0,50,280,160,50,0,0,3.8,3,false,false,92,400,false,10,,,,,,,,,,,,,,,,,,650,1000,0,wh3_dlc23_chd_cha_gorduz_backstabber_giant_wolf,wh3_dlc23_chd_cha_gorduz_backstabber_giant_wolf,wh3_dlc23_chd_mnt_giant_wolf_hero,wh3_dlc23_chd_cha_gorduz_backstabber,wh3_dlc23_chd_mnt_giant_wolf_hero,,wh3_dlc23_chd_gorduz_backstabber,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bows,Hobgoblin Wolf Raiders (Bows),cavalry,cav_mis,melee_cavalry,2,light,true,false,60,69,4140,0,true,false,45,0,18,40,0,0,0,0,0,18,21,3,20,0,0,4,1,false,false,92,400,false,10,,,,,,,,,,,,,,,,,,575,575,143,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bows,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bows,wh_main_grn_wolf_mount_hero_blood,wh3_dlc23_chd_inf_hobgoblin_cav_blood,wh_main_grn_wolf_mount_hero_blood,,wh3_dlc23_chd_hobgoblin_wolf_raider_sword,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_spears,Hobgoblin Wolf Raiders (Spears),cavalry,cav_mel,melee_cavalry,2,light,true,false,60,71,4260,0,true,false,45,35,26,45,0,0,0,0,0,26,21,7,40,0,0,4,1,false,false,92,400,false,10,,,,,,,,,,,,,,,,,,500,500,125,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_spears,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_spears,wh_main_grn_wolf_mount_hero_blood,wh3_dlc23_chd_inf_hobgoblin_cav_blood,wh_main_grn_wolf_mount_hero_blood,,wh3_dlc23_chd_hobgoblin_wolf_raider_spear,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_ror,Oglah Khan's Wolfboyz,cavalry,cav_mis,melee_cavalry,2,light,true,true,60,71,4260,0,true,false,60,35,34,65,0,0,0,0,0,34,21,7,40,0,0,4,1,false,false,92,400,false,33,,,,,,,,,,,,,,,,,,875,875,218,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_ror,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_ror,wh_main_grn_wolf_mount_hero_blood,wh3_dlc23_chd_inf_hobgoblin_cav_blood,wh_main_grn_wolf_mount_hero_blood,,wh3_dlc23_chd_hobgoblin_wolf_raider_spear,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,wh3_dlc23_chd_cha_astragoth_ironhand,Astragoth Ironhand,inf_melee,com,lord,0,heavy,false,false,1,6824,6824,0,true,true,130,0,50,85,0,15,0,0,35,60,170,310,50,0,0,3,5,true,true,60,2500,false,10,,,,,,,,,,,,,,,,,,1500,1000,250,wh3_dlc23_chd_cha_astragoth_ironhand,wh3_dlc23_chd_cha_astragoth_ironhand,wh3_dlc23_chd_cha_astragoth_ironhand,wh3_dlc23_chd_cha_astragoth_ironhand,,,wh3_dlc23_chd_cha_astragoth_ironhand,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,wh3_dlc23_chd_mon_bale_taurus,Bale Taurus,inf_melee,inf_mel,monster,4,heavy,true,false,1,8258,8258,0,true,true,60,0,40,60,0,25,0,0,35,56,140,400,80,0,0,3.8,5,false,true,74,3500,false,10,,,,,,,,,,,,,,,,,,1700,1700,425,wh3_dlc23_chd_mon_bale_taurus,wh3_dlc23_chd_mon_bale_taurus,wh3_dlc23_chd_mon_bale_taurus,wh3_dlc23_chd_mon_bale_taurus,,,wh3_dlc23_chd_mon_bale_taurus,,2026-08-24T07:47:56.946Z,
