game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,unit_key,unit_name,category,unit_class,caste,tier,weight,in_encyclopedia,is_renown,entity_count,hp_per_entity,total_hp,barrier_health,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_projectile_key,extracted_at_utc,notes
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,wh2_main_hef_art_eagle_claw_bolt_thrower,Eagle Claw Bolt Throwers,artillery,art_fld,warmachine,2,very_heavy,true,false,32,103.625,3316,0,false,false,40,0,15,75,0,0,0,0,0,10,19,5,2,0,0,4.3,1,false,false,22,2000,true,10,24,380,12,30,120,0,50,1,1,1,80,0,40,275,4,false,false,700,700,175,wh2_main_hef_art_eagle_claw_bolt_thrower,wh2_main_hef_art_eagle_claw_bolt_thrower,wh2_main_hef_art_eagle_claw_bolt_thrower,wh2_dlc16_hef_infantry_bolt_thrower_crew_blood_dismembers,,wh2_main_hef_art_eagle_claw_bolt_thrower,wh2_main_hef_shortsword,wh2_main_hef_eagle_claw_bolt,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,wh3_dlc27_hef_cha_caradryan_steed,Caradryan,cavalry,com,hero,0,heavy,false,false,1,4564,4564,0,true,true,130,0,53,90,30,0,15,0,0,48,120,300,50,0,25,4,5,false,true,84,1300,false,10,,,,,,,,,,,,,,,,,,1150,1350,0,wh3_dlc27_hef_cha_caradryan_steed,wh3_dlc27_hef_cha_caradryan_steed,wh2_main_hef_mnt_barded_steed_hero,wh2_main_cavalry_rider_standard_hero,wh2_main_hef_mnt_barded_steed_hero,,wh3_dlc27_hef_caradryan_halberd,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,wh2_main_hef_cav_dragon_princes,Dragon Princes,cavalry,cav_shk,melee_cavalry,3,heavy,true,false,60,114,6840,0,true,false,120,35,32,85,20,0,0,0,25,36,31,13,80,0,0,5,1,false,false,84,1200,false,10,,,,,,,,,,,,,,,,,,1400,1400,350,wh2_main_hef_cav_dragon_princes,wh2_main_hef_cav_dragon_princes,wh2_main_hef_mnt_barded_steed_dragon_princes,wh_main_cavalry_rider_standard_blood,wh2_main_hef_mnt_barded_steed_dragon_princes,,wh2_main_hef_lance_dragon_princes,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,wh2_main_hef_cav_ellyrian_reavers_1,Ellyrian Reaver Archers,cavalry,cav_mis,missile_cavalry,2,heavy,true,false,60,92,5520,0,true,false,40,0,22,64,0,0,0,0,0,30,21,7,24,0,0,4.4,1,false,false,92,600,false,10,,,,,,,,,,,,,,,,,,600,700,175,wh2_main_hef_cav_ellyrian_reavers_1,wh2_main_hef_cav_ellyrian_reavers_1,wh2_main_hef_cavalry_fast_blood,wh_main_cavalry_rider_standard_ellyrian_blood,wh2_main_hef_cavalry_fast_blood,,wh2_main_hef_sword_ellyrian_reaver_archers,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,wh2_main_hef_cav_ellyrian_reavers_0,Ellyrian Reavers,cavalry,cav_shk,melee_cavalry,2,heavy,true,false,60,95,5700,0,true,false,40,0,26,64,0,0,0,0,0,30,21,7,40,0,0,4.5,1,false,false,92,600,false,10,,,,,,,,,,,,,,,,,,550,550,138,wh2_main_hef_cav_ellyrian_reavers_0,wh2_main_hef_cav_ellyrian_reavers_0,wh2_main_hef_cavalry_fast_blood,wh_main_cavalry_rider_standard_ellyrian_blood,wh2_main_hef_cavalry_fast_blood,,wh2_main_hef_spear_ellyrian_reavers,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0,Heralds of the Wind (Ellyrian Reavers – Bows),cavalry,cav_mis,missile_cavalry,2,heavy,true,true,60,92,5520,0,true,false,40,0,31,74,0,0,0,0,0,38,21,7,40,0,0,4.4,1,false,false,105,600,false,33,,,,,,,,,,,,,,,,,,800,800,200,wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0,wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0,wh2_dlc10_hef_cavalry_heralds_blood,wh_main_cavalry_rider_standard_ellyrian_blood,wh2_dlc10_hef_cavalry_heralds_blood,,wh2_main_hef_sword_ellyrian_reaver_archers,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,wh2_main_hef_cha_mage_high_1,Mage (High),cavalry,com,hero,0,medium,false,false,1,3848,3848,0,true,true,45,0,28,60,0,15,0,0,0,36,200,85,35,0,0,4,3,false,false,84,1300,false,10,,,,,,,,,,,,,,,,,,550,1100,275,wh2_main_hef_cha_mage_high_1,wh2_main_hef_cha_mage_high_1,wh2_main_hef_mnt_barded_steed_hero,wh2_main_infantry_standard_wizard_blood_dismembers_high,wh2_main_hef_mnt_barded_steed_hero,,wh2_main_hef_mage_staff,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,wh2_main_hef_cha_prince_2,Prince,cavalry,com,lord,0,heavy,false,false,1,4680,4680,0,true,true,100,35,60,80,0,15,0,0,0,60,260,140,50,0,0,4,4,false,false,84,1300,false,10,,,,,,,,,,,,,,,,,,1100,1100,275,wh2_main_hef_cha_prince_2,wh2_main_hef_cha_prince_2,wh2_main_hef_mnt_barded_steed_hero,wh_main_infantry_standard_hero_blood,wh2_main_hef_mnt_barded_steed_hero,,wh2_main_hef_prince_sword,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,wh2_main_hef_cav_silver_helms_0,Silver Helms,cavalry,cav_shk,melee_cavalry,2,heavy,true,false,60,104,6240,0,true,false,100,0,24,72,0,0,0,0,0,34,23,9,64,0,0,5,1,false,false,84,1000,false,10,,,,,,,,,,,,,,,,,,900,850,225,wh2_main_hef_cav_silver_helms_0,wh2_main_hef_cav_silver_helms_0,wh2_main_hef_mnt_barded_steed,wh_main_cavalry_rider_standard_blood,wh2_main_hef_mnt_barded_steed,,wh2_main_hef_lance,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,wh2_main_hef_cav_silver_helms_1,Silver Helms (Shields),cavalry,cav_shk,melee_cavalry,3,heavy,true,false,60,104,6240,0,true,false,100,30,32,72,0,0,0,0,0,34,23,9,64,0,0,5,1,false,false,84,1000,false,10,,,,,,,,,,,,,,,,,,1000,950,250,wh2_main_hef_cav_silver_helms_1,wh2_main_hef_cav_silver_helms_1,wh2_main_hef_mnt_barded_steed,wh_main_cavalry_rider_standard_blood,wh2_main_hef_mnt_barded_steed,,wh2_main_hef_lance,,2026-08-24T07:47:56.946Z,
