game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,unit_key,unit_name,category,unit_class,caste,tier,weight,in_encyclopedia,is_renown,entity_count,hp_per_entity,total_hp,barrier_health,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_projectile_key,extracted_at_utc,notes
warhammer_3,8.1.1,24237342,ultra,Vampire Coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,wh2_dlc11_group_vampire_coast,wh2_dlc11_cst_art_carronade,Carronades,artillery,art_fld,warmachine,2,medium,true,false,44,94.63636363636364,4164,0,false,false,20,0,6,40,0,0,0,0,0,10,16,2,5,0,0,4.3,1,false,false,20,2000,false,10,,,,,,,,,,,,,,,,,,750,750,188,wh2_dlc11_cst_art_carronade,wh2_dlc11_cst_art_carronade,wh2_dlc11_cst_art_carronade,wh2_dlc16_infantry_zombie_blood_crew,,wh2_dlc11_cst_art_carronade,wh_main_vmp_sword_zombie,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Vampire Coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,wh2_dlc11_group_vampire_coast,wh2_dlc11_cst_art_mortar,Mortars,artillery,art_fld,warmachine,2,medium,true,false,44,94.63636363636364,4164,0,false,false,20,0,6,40,0,0,0,0,0,10,16,2,5,0,0,4.3,1,false,false,20,2000,false,10,,,,,,,,,,,,,,,,,,600,600,150,wh2_dlc11_cst_art_mortar,wh2_dlc11_cst_art_mortar,wh2_dlc11_cst_art_mortar,wh2_dlc16_infantry_zombie_blood_crew,,wh2_dlc11_cst_art_mortar,wh_main_vmp_sword_zombie,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Vampire Coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,wh2_dlc11_group_vampire_coast,wh2_dlc11_cst_art_queen_bess,Queen Bess,artillery,art_fld,warmachine,4,very_heavy,true,true,48,152.08333333333334,7300,0,false,false,30,0,9,40,0,0,0,0,0,14,22,7,5,0,0,4.3,1,false,false,20,2000,true,10,16,450,18,72,262,0,0,1,1,1,120,0,30,275,70,false,true,1600,0,400,wh2_dlc11_cst_art_queen_bess,wh2_dlc11_cst_art_queen_bess,wh2_dlc11_cst_art_queen_bess,wh2_dlc16_infantry_zombie_blood_crew,,wh2_dlc11_cst_art_queen_bess,wh2_dlc11_cst_dual_sword,wh2_dlc11_cst_queen_bess,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Vampire Coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,wh2_dlc11_group_vampire_coast,wh2_dlc11_cst_cav_deck_droppers_0,Deck Droppers,cavalry,cav_mis,war_beast,1,heavy,true,false,24,181.33333333333334,4352,0,false,false,15,0,22,40,0,0,0,0,0,26,20,6,16,0,0,4.3,1,false,false,48,400,false,10,,,,,,,,,,,,,,,,,,450,450,113,wh2_dlc11_cst_cav_deck_droppers_0,wh2_dlc11_cst_cav_deck_droppers_0,wh2_dlc11_cst_mon_deck_dropper_bat,wh_main_infantry_zombie_blood_dismembers,wh2_dlc11_cst_mon_deck_dropper_bat,,wh_main_vmp_fell_bats,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Vampire Coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,wh2_dlc11_group_vampire_coast,wh2_dlc11_cst_cav_deck_droppers_1,Deck Droppers (Bombers),cavalry,cav_mis,war_beast,2,heavy,true,false,24,181.33333333333334,4352,0,false,false,15,0,22,40,0,0,0,0,0,26,20,6,16,0,0,4.3,1,false,false,48,400,true,10,7,60,14,1,0,0,0,1,1,1,28,0,10,50,6,false,true,500,500,125,wh2_dlc11_cst_cav_deck_droppers_1,wh2_dlc11_cst_cav_deck_droppers_1,wh2_dlc11_cst_mon_deck_dropper_bat,wh_main_infantry_zombie_blood_dismembers,wh2_dlc11_cst_mon_deck_dropper_bat,,wh_main_vmp_fell_bats,wh2_dlc11_cst_bomb_deck_droppers,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Vampire Coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,wh2_dlc11_group_vampire_coast,wh2_dlc11_cst_cav_deck_droppers_2,Deck Droppers (Handgunners),cavalry,cav_mis,war_beast,2,heavy,true,false,24,181.33333333333334,4352,0,false,false,15,0,22,40,0,0,0,0,0,26,20,6,16,0,0,4.3,1,false,false,48,400,false,10,,,,,,,,,,,,,,,,,,650,700,175,wh2_dlc11_cst_cav_deck_droppers_2,wh2_dlc11_cst_cav_deck_droppers_2,wh2_dlc11_cst_mon_deck_dropper_bat,wh_main_infantry_zombie_blood_dismembers,wh2_dlc11_cst_mon_deck_dropper_bat,,wh_main_vmp_fell_bats,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Vampire Coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,wh2_dlc11_group_vampire_coast,wh2_dlc11_cst_cav_deck_droppers_ror_0,Salt Lord Scuttlers (Deck Droppers – Bombers),cavalry,cav_mis,war_beast,2,heavy,true,true,24,181.33333333333334,4352,0,false,false,15,0,29,50,0,0,0,0,0,34,20,6,16,0,0,4.3,1,false,false,48,400,true,33,7,60,14,0,1,0,0,1,1,1,28,0,10,50,6,false,true,750,750,188,wh2_dlc11_cst_cav_deck_droppers_ror_0,wh2_dlc11_cst_cav_deck_droppers_ror_0,wh2_dlc11_cst_mon_deck_dropper_bat,wh_main_infantry_zombie_blood_dismembers,wh2_dlc11_cst_mon_deck_dropper_bat,,wh_main_vmp_fell_bats,wh2_dlc11_cst_bomb_deck_droppers_ror,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Vampire Coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,wh2_dlc11_group_vampire_coast,wh2_dlc11_cst_mon_animated_hulks_0,Animated Hulks,inf_melee,inf_mel,monstrous_infantry,2,heavy,true,false,16,602,9632,0,false,false,30,0,24,35,0,0,0,0,0,28,28,62,12,0,0,3.8,4,false,false,42,1500,false,10,,,,,,,,,,,,,,,,,,500,750,188,wh2_dlc11_cst_mon_animated_hulks_0,wh2_dlc11_cst_mon_animated_hulks_0,wh2_dlc11_monster_animated_hulk_blood,wh2_dlc11_monster_animated_hulk_blood,,,wh2_dlc11_cst_claws_animated_hulks,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Vampire Coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,wh2_dlc11_group_vampire_coast,wh2_dlc11_cst_mon_bloated_corpse_0,Bloated Corpse,inf_melee,inf_mel,monster,1,heavy,true,false,1,1608,1608,0,false,true,0,0,40,100,0,0,0,0,0,75,150,300,34,0,0,4.3,1,false,false,38,1500,false,10,,,,,,,,,,,,,,,,,,350,400,100,wh2_dlc11_cst_mon_bloated_corpse_0,wh2_dlc11_cst_mon_bloated_corpse_0,wh2_dlc11_monster_bloated_corpse_blood,wh2_dlc11_monster_bloated_corpse_blood,,,wh2_dlc11_cst_bloated_corpse,,2026-08-24T07:47:56.946Z,
warhammer_3,8.1.1,24237342,ultra,Vampire Coast,wh2_dlc11_cst_vampire_coast,wh2_dlc11_sc_cst_vampire_coast,wh2_dlc11_group_vampire_coast,wh2_dlc11_cst_mon_terrorgheist,Death Shriek Terrorgheist,inf_melee,inf_mel,monster,5,heavy,true,false,1,8289,8289,0,false,true,80,0,47,45,0,0,0,0,0,41,145,385,40,0,25,4,5,false,false,65,3500,false,10,,,,,,,,,,,,,,,,,,2000,2000,500,wh2_dlc11_cst_mon_terrorgheist,wh2_dlc11_cst_mon_terrorgheist,wh2_dlc11_cst_terrorgheist_blood,wh2_dlc11_cst_terrorgheist_blood,,,wh2_dlc11_cst_terrorgheist,,2026-08-24T07:47:56.946Z,
