game,patch,projectile_key,category,shot_type,projectile_number,effective_range,minimum_range,muzzle_velocity,marksmanship_bonus,spread,base_damage,ap_damage,base_reload_time,calibration_distance,calibration_area,bonus_vs_infantry,bonus_vs_large,burst_size,burst_shot_delay,shots_per_volley,collision_radius,mass,gravity,ignition_amount,is_magical,can_target_airborne,can_damage_allies,can_damage_buildings,building_damage_multiplier,projectile_penetration,penetration_entity_size_cap,max_penetration,expiry_range,expire_on_impact,can_bounce,can_roll,homing_params,scaling_damage,contact_stat_effect,explosion_key,shrapnel_key,is_spell
warhammer_3,8.1.1,wh2_cst_handcannon_bullet,musket,small_arm_default,3,90,0,100,10,2,4,12,14,45,3.5,0,0,1,0,1,0.05,7,-1,0,false,true,true,false,0.5,very_low,very_small,0,300,false,false,false,,,,,,false
warhammer_3,8.1.1,wh2_cst_necrofex_colossus_cannon_ball,artillery,artillery_default,4,330,0,110,20,2,35,145,12,275,8.5,0,0,1,0,1,0.2,340,-1,0,false,true,true,true,1.5,very_high_low_entity,very_large,9,700,false,true,true,,,,,,false
warhammer_3,8.1.1,wh2_cst_necrofex_colossus_flame,artillery,artillery_flammable,1,110,0,54,60,0,10,25,8,75,12,0,0,4,0.35,1,1,60,3,1,false,true,true,true,1.25,medium,medium,5,170,true,false,false,,,wh_main_unit_contact_morale,wh2_cst_necrofex_colossus_flame_explosion,,false
warhammer_3,8.1.1,wh2_cst_rifle_bullet,musket,small_arm_default,1,145,0,100,10,0,8,20,13,90,3.5,0,0,1,0,1,0.05,5,-1,0,false,true,true,false,0.5,very_low,very_small,0,300,false,false,false,,,,,,false
warhammer_3,8.1.1,wh2_cst_rifle_deck_gunner_bullet,musket,small_arm_default,1,245,0,100,10,0,8,39,11,145,1.8,0,0,1,0,1,0.05,6,-1,0,false,true,true,false,0.5,low,small,2,300,false,false,false,,,wh2_dlc09_unit_contact_shieldbreaker,,,false
warhammer_3,8.1.1,wh2_cst_rifle_deck_gunner_bullet_ror,musket,small_arm_default,1,245,0,100,10,0,6,30,11,145,1.8,0,0,1,0,1,0.05,6,-1,0,true,true,true,false,0.5,medium_1,medium,1,300,false,false,false,,,wh_dlc06_unit_contact_discouraged,,,false
warhammer_3,8.1.1,wh2_dlc09_casket_of_souls,artillery,artillery_explosive,7,440,45,50,20,7,40,90,18,340,70,0,0,1,0,1,1,200,20,0,true,true,true,true,1.25,high_magic,large,20,650,false,false,false,,,,wh2_dlc09_casket_of_souls,,false
warhammer_3,8.1.1,wh2_dlc09_tmb_skull_projectile,artillery,artillery_default,1,380,35,67,10,0,30,120,16,320,80,0,0,1,0,1,0.4,120,-1,0,true,true,true,true,1.5,large_2,large,2,700,true,false,false,,,wh_main_unit_contact_overhead_morale,wh2_dlc09_screaming_skull_explosion,,false
warhammer_3,8.1.1,wh2_dlc09_tmb_stalker_gaze,artillery,artillery_default,1,80,0,100,10,0,26,104,10,80,3,0,0,1,0,1,0.1,40,1,0,true,true,true,false,1.5,very_low,very_small,0,110,true,false,false,,,,,,false
warhammer_3,8.1.1,wh2_dlc09_tmb_stalker_gaze_ror,artillery,artillery_default,1,80,0,100,10,0,26,104,10,80,3,0,0,1,0,1,0.1,40,1,0,true,true,true,false,1.5,very_low,very_small,0,110,true,false,false,,,wh_main_unit_contact_poison,,,false
warhammer_3,8.1.1,wh2_dlc09_tmb_ushabti_bolt_ror,arrow,artillery_canister,1,255,20,70,30,2.5,4,16,11,212,10,0,0,1,0,1,0.1,20,-1,0,false,true,true,true,0.25,medium,medium,5,700,false,false,false,,,wh2_dlc09_unit_contact_shieldbreaker,wh2_dlc09_tmb_ushabti_bolt_ror,ushabti_shrapnel,false
warhammer_3,8.1.1,wh2_dlc10_hef_alith_anar_arrow,artillery,artillery_default,1,300,8,90,40,0,100,300,11,250,0.9,0,0,1,0,1,0.1,50,-1,0,false,true,true,true,1.5,large_4,large,4,700,false,false,false,,,,,,false
warhammer_3,8.1.1,wh2_dlc10_hef_longbow_arrow_everqueen_court_guard,arrow,small_arm_default,1,180,0,55,10,0,4,18,10,120,3,0,0,1,0,1,0.1,6,-1,1,true,true,true,false,0.25,very_low_magic,very_small,2,300,false,false,false,,,,,,false
warhammer_3,8.1.1,wh2_dlc10_hef_longbow_arrow_handmaiden,arrow,small_arm_default,1,180,0,75,10,0,55,125,9,150,1,0,0,1,0,1,0.1,5,-1,1,true,true,true,false,0.25,large_2,large,2,300,false,false,false,,,,,,false
warhammer_3,8.1.1,wh2_dlc10_hef_longbow_arrow_shadow,arrow,small_arm_default,1,180,0,45,10,0,18,4,11,150,5.6,0,0,1,0,1,0.1,3,-1,0,false,true,true,false,0.25,very_low,very_small,0,300,false,false,false,,,,,,false
warhammer_3,8.1.1,wh2_dlc10_hef_longbow_arrow_shadow_walker,arrow,small_arm_default,1,180,0,57,30,0,22,5,11,150,3.1,0,0,1,0,1,0.1,3,-1,0,false,true,true,false,0.25,very_low,very_small,0,300,false,false,false,,,wh_main_unit_contact_poison,,,false
warhammer_3,8.1.1,wh2_dlc10_hef_longbow_arrow_sisters,arrow,small_arm_default,1,180,0,55,10,0,4,18,10,120,3,0,0,1,0,1,0.1,6,-1,1,true,true,true,false,0.25,very_low_magic,very_small,2,300,false,false,false,,,,,,false
warhammer_3,8.1.1,wh2_dlc10_tmb_bone_giant_arrow,artillery,artillery_default,1,350,10,95,50,0,90,360,11,325,4,0,200,1,0,1,1,350,-1,0,true,true,true,true,1.5,very_high,very_large,20,700,false,false,false,,,,wh2_dlc10_bone_giant_explosion,,false
warhammer_3,8.1.1,wh2_dlc11_cst_bomb,grenade,explosives,1,55,7,28,10,0,1,0,10,50,2,0,0,1,0,1,0.2,3,-1,1,false,false,true,false,3,very_low,very_small,0,-1,false,true,true,,,,wh2_dlc11_cst_bomb_explosion,,false
warhammer_3,8.1.1,wh2_dlc11_cst_bomb_deck_droppers,grenade,explosives,1,60,7,28,10,0,1,0,14,50,6,0,0,1,0,1,0.2,3,-1,1,false,false,true,false,3,very_low,very_small,0,-1,false,true,true,,,,wh2_dlc11_cst_bomb_deckdroppers_explosion,,false
warhammer_3,8.1.1,wh2_dlc11_cst_bomb_deck_droppers_ror,grenade,explosives,1,60,7,28,10,0,0,1,14,50,6,0,0,1,0,1,0.2,3,-1,1,false,false,true,false,3,very_low,very_small,0,-1,false,true,true,,,wh_dlc06_unit_contact_sundered_armour,wh2_dlc11_cst_bomb_deckdroppers_ror_explosion,,false
warhammer_3,8.1.1,wh2_dlc11_cst_carronade_cannon_ball,artillery,artillery_default,1,450,10,100,20,0,88,352,22,250,8.5,0,0,1,0,1,0.3,350,-1,0,false,true,true,true,1.5,very_high_low_entity,very_large,9,700,false,true,true,,,,,,false
