game,patch,unit_scale,unit_key,component_role,relationship_key,battle_entity_key,component_count,base_hp_per_component,bonus_hp_per_component,known_hp_total,size_class,is_large,is_primary_health_pool,can_be_targeted,link_source,notes
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cav_tuskgor_chariot_0,engine,wh2_dlc17_bst_tuskgor_chariot,wh2_dlc17_veh_bst_tuskgor_chariot,4,8,1386,5576,large,true,true,true,land_units.engine,
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cav_tuskgor_chariot_0,crew_or_rider,,wh_dlc03_bst_inf_gor_blood_dismembers,4,8,0,32,small,false,false,,main_units.num_men minus primary body count,Targetability is not encoded by these database joins.
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_doombull_0,man,,wh2_dlc17_bst_cha_doombull_blood,1,8,6660,6668,large,true,true,true,land_units.man_entity,
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_taurox_the_brass_bull_0,man,,wh2_dlc17_bst_cha_taurox_blood,1,8,7360,7368,large,true,true,true,land_units.man_entity,
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_wargor_0,man,,wh_dlc03_bst_cha_gor_hero_blood_dismember,1,8,4048,4056,small,false,true,true,land_units.man_entity,
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_wargor_1,engine,wh_dlc03_bst_razorgor_chariot,wh_dlc03_vehicle_bst_chariot_razorgor_blood,1,8,5108,5116,large,true,true,true,land_units.engine,
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_wargor_1,crew_or_rider,,wh_dlc03_bst_cha_gor_hero_blood_dismember,1,8,0,8,small,false,false,,main_units.num_men minus primary body count,Targetability is not encoded by these database joins.
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_wargor_2,engine,wh2_dlc17_bst_tuskgor_chariot,wh2_dlc17_veh_bst_tuskgor_chariot,1,8,4908,4916,large,true,true,true,land_units.engine,
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_cha_wargor_2,crew_or_rider,,wh_dlc03_bst_cha_gor_hero_blood_dismember,1,8,0,8,small,false,false,,main_units.num_men minus primary body count,Targetability is not encoded by these database joins.
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_inf_centigors_ror_1,man,,wh2_dlc17_centigor_groghooves_blood,60,8,90,5880,medium,false,true,true,land_units.man_entity,
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_mon_ghorgon_0,man,,wh2_dlc17_bst_mon_ghorgon_blood,1,8,10880,10888,very_large,true,true,true,land_units.man_entity,
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_mon_ghorgon_ror_0,man,,wh2_dlc17_bst_mon_ghorgon_blood,1,8,10880,10888,very_large,true,true,true,land_units.man_entity,
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_mon_jabberslythe_0,man,,wh2_dlc17_bst_mon_jabberslythe,1,8,9212,9220,very_large,true,true,true,land_units.man_entity,
warhammer_3,8.1.1,ultra,wh2_dlc17_bst_mon_jabberslythe_ror_0,man,,wh2_dlc17_bst_mon_jabberslythe,1,8,9212,9220,very_large,true,true,true,land_units.man_entity,
warhammer_3,8.1.1,ultra,wh3_dlc24_bst_inf_centigors_great_weapons_mtze,man,,wh_dlc03_bst_cav_centigor_blood,60,8,104,6720,medium,false,true,true,land_units.man_entity,
warhammer_3,8.1.1,ultra,wh3_dlc24_bst_inf_tzaangors,man,,wh_dlc03_bst_inf_gor_blood_dismembers,120,8,72,9600,small,false,true,true,land_units.man_entity,
