game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,category,unit_class,caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,Bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,wh_main_group_bretonnia,race_core,false,1,1,,wh_dlc05_emp_cha_wizard_life_0,Jade Wizard,character,com,hero,0,medium,false,false,1,1,1,3420,3420,0,man,small,false,true,20,0,30,55,0,15,0,0,0,25,210,90,15,0,0,4,3,false,false,3.5,300,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,1000,250,wh_dlc05_emp_cha_wizard_life_0,wh_dlc05_emp_cha_wizard_life_0,wh_main_infantry_standard_wizard_blood_dismembers,wh_main_infantry_standard_wizard_blood_dismembers,,,wh_main_emp_sword_caster,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,wh_main_group_bretonnia,race_core,false,1,0,,wh_dlc05_emp_cha_wizard_life_1,Jade Wizard,character,com,hero,0,medium,false,false,1,1,1,3840,3840,0,mount,medium,false,true,20,0,30,55,0,15,0,0,0,25,210,90,35,0,0,4,3,false,false,7.8,1000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,1100,275,wh_dlc05_emp_cha_wizard_life_1,wh_dlc05_emp_cha_wizard_life_1,wh_main_cavalry_standard_360_blood,wh_main_infantry_standard_wizard_rider_blood_dismembers,wh_main_cavalry_standard_360_blood,,wh_main_emp_sword_caster,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,wh_main_group_bretonnia,race_core,false,1,1,,wh_dlc05_emp_cha_wizard_life_2,Jade Wizard,character,com,hero,0,medium,false,false,1,1,1,3840,3840,0,mount,medium,false,true,50,0,30,55,0,15,0,0,0,25,210,90,35,0,0,4,3,false,false,7.8,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,1200,300,wh_dlc05_emp_cha_wizard_life_2,wh_dlc05_emp_cha_wizard_life_2,wh_main_cavalry_slow_hero_blood,wh_main_infantry_standard_wizard_rider_blood_dismembers,wh_main_cavalry_slow_hero_blood,,wh_main_emp_sword_caster,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,wh_main_group_bretonnia,race_core,false,1,1,,wh_dlc05_emp_cha_wizard_life_3,Jade Wizard,character,com,hero,0,medium,false,false,1,1,1,4008,4008,0,mount,medium,false,true,50,0,30,55,0,15,0,0,0,25,210,90,35,0,0,4,3,false,false,8.2,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,1500,325,wh_dlc05_emp_cha_wizard_life_3,wh_dlc05_emp_cha_wizard_life_3,wh_main_flying_pegasus_hero_blood,wh_main_infantry_standard_wizard_rider_blood_dismembers,wh_main_flying_pegasus_hero_blood,,wh_main_emp_sword_caster,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,wh_main_group_bretonnia,race_core,false,1,1,,wh_dlc07_brt_art_blessed_field_trebuchet_0,Blessed Field Trebuchets,artillery,art_fld,warmachine,2,very_heavy,true,false,4,4,44,553,4332,0,engine,large,true,false,15,0,6,40,0,0,0,0,0,10,22,8,5,0,0,4.3,1,false,false,2,2000,true,10,25,440,20,70,270,0,0,1,1,1,0,70,0,10,340,90,true,false,artillery_default,high,700,true,false,false,,wh_dlc07_brt_blessed_stone_explosion,60,16,6,true,false,false,,800,850,213,wh_dlc07_brt_art_blessed_field_trebuchet_0,wh_dlc07_brt_art_blessed_field_trebuchet_0,wh_main_brt_art_trebuchet,wh2_dlc16_infantry_standard_crew_blood_dismembers,,wh_main_brt_art_trebuchet,wh_main_brt_hammer,wh_dlc07_brt_blessed_trebuchet,wh_dlc07_brt_trebuchet_blessed_stone,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,wh_main_group_bretonnia,race_core,false,1,1,,wh_dlc07_brt_cav_grail_guardians_0,Grail Guardians,cavalry,cav_mel,melee_cavalry,4,very_heavy,true,false,32,32,32,244,7808,0,mount,medium,false,false,120,35,58,85,0,0,0,0,0,42,24,36,50,0,0,4.5,2,true,false,8.4,1200,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1900,475,wh_dlc07_brt_cav_grail_guardians_0,wh_dlc07_brt_cav_grail_guardians_0,wh_main_brt_mnt_cavalry_knights_heavy_blood,wh_main_cavalry_rider_standard_blood,wh_main_brt_mnt_cavalry_knights_heavy_blood,,wh_dlc07_brt_sword_grail_guardian,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,wh_main_group_bretonnia,race_core,false,1,1,,wh_dlc07_brt_cav_knights_errant_0,Knights Errant,cavalry,cav_shk,melee_cavalry,2,very_heavy,true,false,60,60,60,95,5700,0,mount,medium,false,false,80,35,28,60,0,0,0,0,0,28,21,9,55,0,0,5.1,1,false,false,8.4,1000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,175,wh_dlc07_brt_cav_knights_errant_0,wh_dlc07_brt_cav_knights_errant_0,wh_main_brt_mnt_cavalry_knights_blood,wh_main_cavalry_rider_standard_blood,wh_main_brt_mnt_cavalry_knights_blood,,wh_dlc07_brt_lance_errant,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,wh_main_group_bretonnia,race_core,false,1,1,,wh_dlc07_brt_cav_questing_knights_0,Questing Knights,cavalry,cav_shk,melee_cavalry,3,very_heavy,true,false,60,60,60,108,6480,0,mount,medium,false,false,90,0,39,75,0,0,0,0,0,40,14,38,40,0,0,4.3,1,false,false,8.4,1000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1100,275,wh_dlc07_brt_cav_questing_knights_0,wh_dlc07_brt_cav_questing_knights_0,wh_main_brt_mnt_cavalry_knights_blood,wh_main_cavalry_rider_standard_blood,wh_main_brt_mnt_cavalry_knights_blood,,wh_dlc07_brt_sword_great_questing,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,wh_main_group_bretonnia,race_core,false,1,1,,wh_dlc07_brt_cav_royal_hippogryph_knights_0,Royal Hippogryph Knights,monster,cav_shk,monstrous_cavalry,5,very_heavy,true,false,12,12,12,668,8016,0,mount,large,true,false,90,0,36,80,0,0,0,0,0,46,35,100,50,0,0,4,2,true,false,7,2000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2200,550,wh_dlc07_brt_cav_royal_hippogryph_knights_0,wh_dlc07_brt_cav_royal_hippogryph_knights_0,wh_dlc07_brt_mnt_hippogryph_blood,wh_main_cavalry_rider_standard_blood,wh_dlc07_brt_mnt_hippogryph_blood,,wh_dlc07_brt_hippogryph_knight,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,wh_main_group_bretonnia,race_core,false,1,1,,wh_dlc07_brt_cav_royal_pegasus_knights_0,Royal Pegasus Knights,cavalry,cav_shk,monstrous_cavalry,4,very_heavy,true,false,24,24,24,273,6552,0,mount,medium,false,false,80,35,36,80,0,0,0,0,0,42,42,19,75,0,15,4.7,2,true,false,8.2,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,400,wh_dlc07_brt_cav_royal_pegasus_knights_0,wh_dlc07_brt_cav_royal_pegasus_knights_0,wh_main_flying_pegasus_hero_blood,wh_main_cavalry_rider_standard_blood,wh_main_flying_pegasus_hero_blood,,wh_dlc07_brt_lance_royal_pegasus_knights,,,2026-08-26T04:13:50.342Z,complete,
