game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,category,unit_class,caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,race_core,false,1,1,,wh3_dlc23_chd_cav_bull_centaurs_axe,Bull Centaur Renders,infantry,inf_mel,melee_cavalry,3,heavy,true,false,16,16,16,616,9856,0,man,large,true,false,50,35,48,75,0,25,0,0,15,32,34,80,40,0,0,4,3,false,false,6.2,1700,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,375,wh3_dlc23_chd_cav_bull_centaurs_axe,wh3_dlc23_chd_cav_bull_centaurs_axe,wh3_dlc23_chd_cav_bull_centaurs_blood,wh3_dlc23_chd_cav_bull_centaurs_blood,,,wh2_dlc23_chd_bull_centaur_axe,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,race_core,false,1,1,,wh3_dlc23_chd_cav_bull_centaurs_dual_axe,Bull Centaur Renders (Dual Axes),infantry,inf_mel,melee_cavalry,3,heavy,true,false,16,16,16,616,9856,0,man,large,true,false,50,0,42,75,0,25,0,0,15,36,34,80,52,18,0,4,3,false,false,6.2,1700,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1550,387,wh3_dlc23_chd_cav_bull_centaurs_dual_axe,wh3_dlc23_chd_cav_bull_centaurs_dual_axe,wh3_dlc23_chd_cav_bull_centaurs_blood,wh3_dlc23_chd_cav_bull_centaurs_blood,,,wh2_dlc23_chd_bull_centaur_dual_axe,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,race_core,false,1,1,,wh3_dlc23_chd_cav_bull_centaurs_dual_axe_ror,Hashut's Dark Ravagers (Bull Centaur Renders – Dual Axes),infantry,inf_mel,melee_cavalry,4,heavy,true,true,16,16,16,616,9856,0,man,large,true,false,50,0,52,85,20,25,0,0,15,46,34,80,52,18,0,4,3,false,false,6.2,1700,true,33,10,80,10,20,100,0,0,1,1,1,0,32,0,10,40,2,false,false,small_arm_default,low,140,false,true,false,wh2_dlc09_unit_contact_shieldbreaker,,,,,,,,,1800,1850,462,wh3_dlc23_chd_cav_bull_centaurs_dual_axe_ror,wh3_dlc23_chd_cav_bull_centaurs_dual_axe_ror,wh3_dlc23_chd_cav_bull_centaurs_blood,wh3_dlc23_chd_cav_bull_centaurs_blood,,,wh2_dlc23_chd_bull_centaur_dual_axe,wh3_dlc23_chd_bull_centaur_throwing_axe_ror,wh3_dlc23_chd_bull_centaur_throwing_axe_ror,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,race_core,false,1,1,,wh3_dlc23_chd_cav_bull_centaurs_greatweapons,Bull Centaur Renders (Great Weapons),infantry,inf_mel,melee_cavalry,3,heavy,true,false,16,16,16,616,9856,0,man,large,true,false,50,0,36,75,0,25,0,0,15,34,34,80,46,0,25,4,3,false,false,6.2,1700,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1550,387,wh3_dlc23_chd_cav_bull_centaurs_greatweapons,wh3_dlc23_chd_cav_bull_centaurs_greatweapons,wh3_dlc23_chd_cav_bull_centaurs_blood,wh3_dlc23_chd_cav_bull_centaurs_blood,,,wh2_dlc23_chd_bull_centaur_great_axe,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,race_core,false,1,1,,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bows,Hobgoblin Wolf Raiders (Bows),cavalry,cav_mis,melee_cavalry,2,light,true,false,60,60,60,61,3660,0,mount,medium,false,false,45,0,18,40,0,0,0,0,0,18,21,3,20,0,0,4,1,false,false,9.2,400,true,10,20,140,10,14,3,0,0,1,1,1,0,45,0,10,100,4.3,false,true,small_arm_default,very_low,300,false,true,false,,,,,,,,,,575,575,143,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bows,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bows,wh_main_grn_wolf_mount_hero_blood,wh3_dlc23_chd_inf_hobgoblin_cav_blood,wh_main_grn_wolf_mount_hero_blood,,wh3_dlc23_chd_hobgoblin_wolf_raider_sword,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bow,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_arrow,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,race_core,false,1,1,,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_ror,Oglah Khan's Wolfboyz,cavalry,cav_mis,melee_cavalry,2,light,true,true,60,60,60,63,3780,0,mount,medium,false,false,60,35,34,65,0,0,0,0,0,34,21,7,40,0,0,4,1,false,false,9.2,400,true,33,20,140,10,14,3,0,0,1,1,1,0,45,0,10,100,4.3,false,true,small_arm_default,very_low,300,false,true,false,wh2_dlc12_unit_contact_flammable,,,,,,,,,875,875,218,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_ror,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_ror,wh_main_grn_wolf_mount_hero_blood,wh3_dlc23_chd_inf_hobgoblin_cav_blood,wh_main_grn_wolf_mount_hero_blood,,wh3_dlc23_chd_hobgoblin_wolf_raider_spear,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_bow_ror,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_arrow_ror,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,race_core,false,1,1,,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_spears,Hobgoblin Wolf Raiders (Spears),cavalry,cav_mel,melee_cavalry,2,light,true,false,60,60,60,63,3780,0,mount,medium,false,false,45,35,26,45,0,0,0,0,0,26,21,7,40,0,0,4,1,false,false,9.2,400,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,125,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_spears,wh3_dlc23_chd_cav_hobgoblin_wolf_raiders_spears,wh_main_grn_wolf_mount_hero_blood,wh3_dlc23_chd_inf_hobgoblin_cav_blood,wh_main_grn_wolf_mount_hero_blood,,wh3_dlc23_chd_hobgoblin_wolf_raider_spear,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,race_core,false,1,1,,wh3_dlc23_chd_cha_astragoth_ironhand,Astragoth Ironhand,character,com,lord,0,heavy,false,false,1,1,1,6824,6824,0,man,small,false,true,130,0,50,85,0,15,0,0,35,60,170,310,50,0,0,3,5,true,true,6,2500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1000,250,wh3_dlc23_chd_cha_astragoth_ironhand,wh3_dlc23_chd_cha_astragoth_ironhand,wh3_dlc23_chd_cha_astragoth_ironhand,wh3_dlc23_chd_cha_astragoth_ironhand,,,wh3_dlc23_chd_cha_astragoth_ironhand,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,race_core,false,1,1,,wh3_dlc23_chd_cha_bull_centaur_taurruk,Bull Centaur Taur'ruk,character,com,hero,0,heavy,false,false,1,1,1,6280,6280,0,man,large,true,true,70,0,42,80,0,25,0,0,25,48,140,320,50,0,30,4,5,false,false,7,3600,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1000,250,wh3_dlc23_chd_cha_bull_centaur_taurruk,wh3_dlc23_chd_cha_bull_centaur_taurruk,wh3_dlc23_chd_cav_bull_centaur_taurruk_blood,wh3_dlc23_chd_cav_bull_centaur_taurruk_blood,,,wh2_dlc23_chd_bull_centaur_taurruk_great_axe,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Chaos Dwarfs,wh3_dlc23_chd_chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,wh3_dlc23_group_chaos_dwarfs,race_core,false,1,0,,wh3_dlc23_chd_cha_convoy_overseer,Overseer,character,com,lord,0,heavy,false,false,1,1,1,4958,4958,0,man,small,false,true,120,55,55,80,0,15,0,0,25,55,260,170,30,0,0,4,4,false,false,3.2,1100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,1000,0,wh3_dlc23_chd_cha_convoy_overseer,wh3_dlc23_chd_cha_overseer,wh3_dlc23_chd_cha_overseer,wh3_dlc23_chd_cha_overseer,,,wh3_dlc23_chd_cha_overseer,,,2026-08-26T04:13:50.342Z,complete,
