game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,tactical_category,source_unit_class,source_caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,Dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,wh_main_group_dwarfs,race_core,false,1,1,,wh2_dlc10_dwf_inf_giant_slayers,Giant Slayers,infantry,inf_mel,melee_infantry,3,light,true,false,80,80,80,130,10400,0,man,small,false,false,0,0,34,100,0,0,35,0,0,48,16,36,30,0,30,4.3,1,false,false,4,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,300,wh2_dlc10_dwf_inf_giant_slayers,wh2_dlc10_dwf_inf_giant_slayers,wh_main_dwf_inf_slayers_blood_dismembers,wh_main_dwf_inf_slayers_blood_dismembers,,,wh_dlc10_dwf_slayer_axe_great,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,wh_main_group_dwarfs,race_core,false,1,1,,wh3_dlc25_dwf_art_goblin_hewer,Goblin Hewers,artillery,art_fld,warmachine,3,very_heavy,true,false,4,4,40,533,6020,0,engine,large,true,false,0,30,32,100,0,0,35,0,0,38,32,16,26,0,24,4.3,1,false,false,4,2000,true,10,152,80,0,6,26,0,10,1,38,1,0,44,0,10,50,8,false,false,small_arm_default,low,140,false,true,false,,,,,,,,,,950,950,237,wh3_dlc25_dwf_art_goblin_hewer,wh3_dlc25_dwf_art_goblin_hewer,wh3_dlc25_dwf_art_goblin_hewer,wh_main_dwf_inf_slayers_blood_dismembers,,wh3_dlc25_dwf_art_goblin_hewer,wh_main_dwf_slayer_axe_dual,wh3_dlc25_dwf_goblin_hewer_axe,wh3_dlc25_dwf_goblin_hewer_axe,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,wh_main_group_dwarfs,race_core,false,1,1,,wh3_dlc25_dwf_art_grudge_thrower_grudge_reward,Grudge Throwers (Grudge Settlers),artillery,art_fld,warmachine,2,very_heavy,true,false,4,4,32,528,4296,0,engine,large,true,false,40,0,20,64,0,0,35,0,0,16,21,7,2,0,0,4.3,1,false,false,2,2000,true,10,22,440,20,40,180,0,0,1,1,1,0,69,0,10,340,50,false,false,artillery_canister,high,700,true,true,false,wh2_dlc11_unit_contact_monstrous_impact,wh3_dlc25_dwf_grudge_thrower_explosion_shrapnel_stage_1,60,100,4,false,false,true,,700,700,175,wh3_dlc25_dwf_art_grudge_thrower_grudge_reward,wh3_dlc25_dwf_art_grudge_thrower_grudge_unit,wh_main_dwf_art_grudge_thrower,wh_main_dwf_inf_dwarfs_crew_blood_dismembers,,wh_main_dwf_art_grudge_thrower,wh_main_dwf_axe,wh3_dlc25_dwf_grudge_thrower_shrapnel,wh3_dlc25_dwf_grudge_stone_shrapnel_stage_1,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,wh_main_group_dwarfs,race_core,false,1,1,,wh3_dlc25_dwf_cha_daemon_slayer,Daemon Slayer,character,com,lord,0,heavy,false,false,1,1,1,5302,5302,0,man,small,false,true,0,35,45,100,0,15,35,0,0,60,370,130,45,0,25,3.8,5,true,false,4.2,1100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1000,250,wh3_dlc25_dwf_cha_daemon_slayer,wh3_dlc25_dwf_cha_daemon_slayer,wh3_dlc25_dwf_cha_dwarf_slayer_hero_blood_dismembers,wh3_dlc25_dwf_cha_dwarf_slayer_hero_blood_dismembers,,,wh3_dlc25_dwf_daemon_slayer_dual_axe,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,wh_main_group_dwarfs,race_core,false,1,1,,wh3_dlc25_dwf_cha_dragon_slayer,Dragon Slayer,character,com,hero,0,medium,false,false,1,1,1,4502,4502,0,man,small,false,true,0,0,45,100,0,15,35,0,35,55,110,300,40,0,35,4,5,false,false,4.2,1100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,125,wh3_dlc25_dwf_cha_dragon_slayer,wh3_dlc25_dwf_cha_dragon_slayer,wh3_dlc25_dwf_cha_dwarf_slayer_hero_blood_dismembers,wh3_dlc25_dwf_cha_dwarf_slayer_hero_blood_dismembers,,,wh3_dlc25_dwf_dragon_slayer_axe_great,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,wh_main_group_dwarfs,race_core,false,1,1,,wh3_dlc25_dwf_cha_garagrim_ironfist,Garagrim Ironfist,character,com,hero,0,heavy,false,false,1,1,1,5084,5084,0,man,small,false,true,0,0,50,100,0,15,35,0,0,60,120,300,50,15,0,4,4,true,false,4.2,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0,0,wh3_dlc25_dwf_cha_garagrim_ironfist,wh3_dlc25_dwf_cha_garagrim_ironfist,wh2_pro08_dwf_cha_dwarf_hero_fast_lgn_blood,wh2_pro08_dwf_cha_dwarf_hero_fast_lgn_blood,,,wh3_dlc25_dwf_garagrim_axe_dual,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,wh_main_group_dwarfs,race_core,false,1,1,,wh3_dlc25_dwf_cha_malakai_makaisson,Malakai Makaisson,character,com,lord,0,heavy,false,false,1,1,1,4620,4620,0,man,small,false,true,0,0,45,100,0,15,35,0,0,55,280,120,30,0,0,4,4,false,false,4.2,1200,true,10,90,180,7,50,100,0,0,1,3,1,0,110,0,70,150,0.8,false,false,small_arm_default,large_4,-1,false,true,false,,,,,,,,,,1050,1200,300,wh3_dlc25_dwf_cha_malakai_makaisson,wh3_dlc25_dwf_cha_malakai_makaisson,wh3_dlc25_dwf_cha_malakai_makaisson_blood,wh3_dlc25_dwf_cha_malakai_makaisson_blood,,,wh3_dlc25_dwf_malakai,wh3_dlc25_dwf_malakai_rifle,wh3_dlc25_dwf_malakai_rifle_bullet,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,wh_main_group_dwarfs,race_core,false,1,1,,wh3_dlc25_dwf_inf_doomseekers,Doomseekers,infantry,inf_mel,melee_infantry,3,heavy,true,false,32,32,32,280,8960,0,man,small,false,false,0,0,48,100,0,0,35,0,0,54,17,38,40,15,0,4,3,true,false,4,400,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,338,wh3_dlc25_dwf_inf_doomseekers,wh3_dlc25_dwf_inf_doomseekers,wh3_dlc25_dwf_inf_doomseekers_blood_dismembers,wh3_dlc25_dwf_inf_doomseekers_blood_dismembers,,,wh3_dlc25_dwf_doomseeker_axe_dual,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,wh_main_group_dwarfs,race_core,false,1,1,,wh3_dlc25_dwf_inf_doomseekers_ror,The Brotherhood of Grimnir (Doomseekers),infantry,inf_mel,melee_infantry,4,heavy,true,true,32,32,32,280,8960,0,man,small,false,false,0,0,59,100,0,0,35,0,0,66,17,38,40,15,0,4,3,true,false,4,400,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,400,wh3_dlc25_dwf_inf_doomseekers_ror,wh3_dlc25_dwf_inf_doomseekers_ror,wh3_dlc25_dwf_inf_doomseekers_blood_dismembers,wh3_dlc25_dwf_inf_doomseekers_blood_dismembers,,,wh3_dlc25_dwf_doomseeker_axe_dual,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,wh_main_group_dwarfs,race_core,false,1,1,,wh3_dlc25_dwf_inf_slayer_pirates,Slayer Pirates,infantry,inf_mis,missile_infantry,2,light,true,false,80,80,80,108,8640,0,man,small,false,false,0,0,32,100,0,0,35,0,0,38,21,7,26,0,0,4.2,1,false,false,4,160,true,10,6,90,5,10,12,0,0,1,1,1,0,90,0,10,65,1.6,false,false,small_arm_default,low,200,false,true,false,,,,,,,,,,750,750,188,wh3_dlc25_dwf_inf_slayer_pirates,wh3_dlc25_dwf_inf_slayer_pirates,wh_main_dwf_inf_slayers_blood_dismembers,wh_main_dwf_inf_slayers_blood_dismembers,,,wh3_dlc25_dwf_slayer_pirate_sword,wh3_dlc25_dwf_slayer_pirate_pistol,wh3_dlc25_dwf_slayer_pirate_pistol_bullet,2026-08-26T04:13:50.342Z,complete,
