game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,tactical_category,source_unit_class,source_caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,Greenskins,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,wh_main_group_greenskins,race_core,false,1,1,,wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0,Lava Spider Rider Archers,cavalry,cav_mis,missile_cavalry,1,medium,true,false,60,60,60,77,4620,0,mount,medium,false,false,45,0,22,50,0,0,0,0,40,15,13,14,14,0,0,4,1,false,true,7.8,700,true,10,20,100,8,5,6,0,0,1,1,1,0,40,0,10,65,4.3,false,true,small_arm_default,very_low,300,false,true,false,,,,,,,,,,475,475,119,wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0,wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0,wh_main_monster_spider_giant_blood,wh_main_grn_inf_goblin_cav_blood,wh_main_monster_spider_giant_blood,,wh2_dlc15_grn_goblin_sword_poison_fire_lava_spider_rider,wh2_dlc15_grn_goblin_arrow_fire_lava_spider_mounted,wh2_dlc15_grn_goblin_arrow_fire_lava_spider_mounted,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Greenskins,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,wh_main_group_greenskins,race_core,false,1,1,,wh2_dlc15_grn_cav_squig_hoppers_waaagh_0,Armoured Squig Hoppers,cavalry,cav_mel,melee_cavalry,2,medium,true,false,40,40,60,90,3600,0,mount,medium,false,false,55,0,30,60,0,0,0,0,0,28,10,22,30,10,0,4,1,false,false,8.2,750,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,650,163,wh2_dlc15_grn_cav_squig_hoppers_waaagh_0,wh2_dlc15_grn_cav_squig_hoppers_waaagh_0,wh_dlc06_grn_mnt_squig,wh_main_grn_inf_goblin_cav_blood,wh_dlc06_grn_mnt_squig,,wh_dlc06_grn_goblin_sword_squig_hopper,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Greenskins,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,wh_main_group_greenskins,race_core,false,1,1,,wh2_dlc15_grn_mon_feral_hydra_waaagh_0,Feral Hydra,monster,inf_mel,monster,4,very_heavy,true,false,1,1,1,10400,10400,0,man,very_large,true,true,60,0,32,65,0,35,0,0,0,52,140,300,45,0,0,3.6,5,false,false,4.6,5000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1600,400,wh2_dlc15_grn_mon_feral_hydra_waaagh_0,wh2_dlc15_grn_mon_feral_hydra_waaagh_0,wh2_main_def_monster_war_hydra,wh2_main_def_monster_war_hydra,,,wh2_main_def_war_hydra,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Greenskins,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,wh_main_group_greenskins,race_core,false,1,1,,wh2_dlc15_grn_mon_river_trolls_0,River Trolls,infantry,inf_mel,monstrous_infantry,2,very_heavy,true,false,16,16,16,494,7904,0,man,large,true,false,40,0,40,45,0,0,0,0,0,34,35,70,30,0,0,3.8,4,false,false,5.4,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,900,225,wh2_dlc15_grn_mon_river_trolls_0,wh2_dlc15_grn_mon_river_trolls_0,wh_main_monster_troll_blood,wh_main_monster_troll_blood,,,wh_dlc15_club_river_troll,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Greenskins,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,wh_main_group_greenskins,race_core,false,1,1,,wh2_dlc15_grn_mon_rogue_idol_0,Rogue Idol,monster,inf_mel,monster,5,super_heavy,true,false,1,1,1,16000,16000,0,man,very_large,true,true,150,0,24,75,0,15,0,0,0,60,150,450,30,25,0,4,6,false,false,3.1,12000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,500,wh2_dlc15_grn_mon_rogue_idol_0,wh2_dlc15_grn_mon_rogue_idol_0,wh2_dlc15_monster_rogue_idol,wh2_dlc15_monster_rogue_idol,,,wh2_dlc15_rogue_idol_fist,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Greenskins,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,wh_main_group_greenskins,race_core,false,1,1,,wh2_dlc15_grn_mon_stone_trolls_0,Stone Trolls,infantry,inf_mel,monstrous_infantry,3,very_heavy,true,false,16,16,16,494,7904,0,man,large,true,false,70,0,32,45,0,25,25,0,0,36,40,80,34,0,0,4,4,false,false,5.4,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1100,275,wh2_dlc15_grn_mon_stone_trolls_0,wh2_dlc15_grn_mon_stone_trolls_0,wh2_dlc15_monster_troll_stone_blood,wh2_dlc15_monster_troll_stone_blood,,,wh_dlc15_club_stone_troll,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Greenskins,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,wh_main_group_greenskins,race_core,false,1,1,,wh2_dlc15_grn_mon_wyvern_waaagh_0,Feral Wyvern,monster,inf_mel,monster,4,heavy,false,false,1,1,1,6640,6640,0,man,very_large,true,true,60,0,28,60,0,25,0,0,0,44,150,300,80,0,0,4,5,false,false,7,3000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1300,325,wh2_dlc15_grn_mon_wyvern_waaagh_0,wh2_dlc15_grn_mon_wyvern_waaagh_0,wh_main_flying_wyvern_blood,wh_main_flying_wyvern_blood,,,wh_main_grn_wyvern,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Greenskins,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,wh_main_group_greenskins,race_core,false,1,1,,wh2_dlc15_grn_veh_snotling_pump_wagon_0,Snotling Pump Wagons,monster,chariot,chariot,2,heavy,true,false,12,12,24,408,4896,0,engine,large,true,false,50,0,22,50,0,0,0,0,0,20,10,15,30,15,0,4,5,false,false,6,1000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,125,wh2_dlc15_grn_veh_snotling_pump_wagon_0,wh2_dlc15_grn_veh_snotling_pump_wagon_0,wh2_dlc15_grn_vehicle_snotling_pump_wagon,wh2_dlc15_grn_vehicle_snotling_pump_wagon,,wh2_dlc15_grn_vehicle_snotling_pump_wagon,wh2_dlc15_grn_snotling_pump_wagon,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Greenskins,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,wh_main_group_greenskins,race_core,false,1,1,,wh2_dlc15_grn_veh_snotling_pump_wagon_flappas_0,Snotling Pump Wagons (Flappas),monster,chariot,chariot,2,heavy,true,false,12,12,24,408,4896,0,engine,large,true,false,50,0,24,55,0,0,0,0,0,26,10,15,45,15,0,4,5,false,false,7,1000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,650,163,wh2_dlc15_grn_veh_snotling_pump_wagon_flappas_0,wh2_dlc15_grn_veh_snotling_pump_wagon_flappas_0,wh2_dlc15_grn_vehicle_snotling_pump_wagon_flappas,wh2_dlc15_grn_vehicle_snotling_pump_wagon_flappas,,wh2_dlc15_grn_vehicle_snotling_pump_wagon_flappas,wh2_dlc15_grn_snotling_pump_wagon,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Greenskins,wh_main_grn_greenskins,wh_main_sc_grn_greenskins,wh_main_group_greenskins,race_core,false,1,1,,wh2_dlc15_grn_veh_snotling_pump_wagon_roller_0,Snotling Pump Wagons (Spiky Rollers),monster,chariot,chariot,2,heavy,true,false,12,12,24,508,6096,0,engine,large,true,false,60,0,22,60,0,0,0,0,0,30,12,23,35,15,0,4,5,false,false,6,1000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,900,225,wh2_dlc15_grn_veh_snotling_pump_wagon_roller_0,wh2_dlc15_grn_veh_snotling_pump_wagon_roller_0,wh2_dlc15_grn_vehicle_snotling_pump_wagon_roller,wh2_dlc15_grn_vehicle_snotling_pump_wagon_roller,,wh2_dlc15_grn_vehicle_snotling_pump_wagon_roller,wh2_dlc15_grn_snotling_pump_wagon_roller,,,2026-08-26T04:13:50.342Z,complete,
