game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,tactical_category,source_unit_class,source_caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,race_core_and_variant,false,2,1,,wh2_dlc10_hef_cav_the_fireborn_ror_0,The Fireborn (Dragon Princes),cavalry,cav_shk,melee_cavalry,4,heavy,true,true,60,60,60,106,6360,0,mount,medium,false,false,120,35,41,95,20,0,0,0,35,45,13,31,80,0,15,5,1,false,true,8.4,1200,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1850,462,wh2_dlc10_hef_cav_the_fireborn_ror_0,wh2_dlc10_hef_cav_the_fireborn_ror_0,wh2_main_hef_mnt_barded_steed_dragon_princes,wh_main_cavalry_rider_standard_blood_fireborn,wh2_main_hef_mnt_barded_steed_dragon_princes,,wh2_main_hef_lance_dragon_princes_fireborn,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,race_core_and_variant,false,2,1,,wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0,Heralds of the Wind (Ellyrian Reavers – Bows),cavalry,cav_mis,missile_cavalry,2,heavy,true,true,60,60,60,84,5040,0,mount,medium,false,false,40,0,31,74,0,0,0,0,0,38,21,7,40,0,0,4.4,1,false,false,10.5,600,true,33,18,140,11,16,3,0,0,1,1,1,0,45,0,10,85,3.4,false,false,small_arm_default,very_low,300,false,true,false,,,,,,,,,,800,800,200,wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0,wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0,wh2_dlc10_hef_cavalry_heralds_blood,wh_main_cavalry_rider_standard_ellyrian_blood,wh2_dlc10_hef_cavalry_heralds_blood,,wh2_main_hef_sword_ellyrian_reaver_archers,wh2_main_hef_bow_arrow_rider,wh2_main_hef_bow_arrow_mounted,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,race_core_and_variant,false,2,1,,wh2_dlc10_hef_cha_alarielle_the_radiant_0,Alarielle the Radiant,character,com,lord,0,medium,false,false,1,1,1,3888,3888,0,man,small,false,true,15,0,55,85,0,15,0,0,0,45,200,100,23,0,0,4,4,true,false,3.6,450,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,1000,250,wh2_dlc10_hef_cha_alarielle_the_radiant_0,wh2_dlc10_hef_cha_alarielle_the_radiant_0,wh2_dlc10_hef_infantry_hero_alarielle_blood,wh2_dlc10_hef_infantry_hero_alarielle_blood,,,wh2_dlc10_hef_alarielle_sword,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,race_core_and_variant,false,2,1,,wh2_dlc10_hef_cha_alith_anar_0,Alith Anar,character,com,lord,0,heavy,false,false,1,1,1,4268,4268,0,man,small,false,true,40,0,45,80,0,15,0,0,0,65,260,140,30,0,0,4,4,false,false,4.6,500,true,10,30,300,11,100,300,0,0,1,1,1,0,90,0,40,250,0.9,false,false,artillery_default,large_4,700,true,true,false,,,,,,,,,,900,1000,250,wh2_dlc10_hef_cha_alith_anar_0,wh2_dlc10_hef_cha_alith_anar_0,wh2_dlc10_hef_infantry_hero_alith_blood,wh2_dlc10_hef_infantry_hero_alith_blood,,,wh2_main_hef_prince_sword,wh2_dlc10_hef_alith_anar_arrow,wh2_dlc10_hef_alith_anar_arrow,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,race_core_and_variant,false,2,1,,wh2_dlc10_hef_cha_handmaiden_0,Handmaiden of the Everqueen,character,com,hero,0,heavy,false,false,1,1,1,3688,3688,0,man,small,false,true,40,0,52,75,0,15,0,0,0,40,250,110,22,0,35,4,4,false,false,4,400,true,10,30,180,9,55,125,0,0,1,1,1,0,75,0,10,150,1,true,true,small_arm_default,large_2,300,false,true,false,,,,,,,,,,700,750,187,wh2_dlc10_hef_cha_handmaiden_0,wh2_dlc10_hef_cha_handmaiden_0,wh2_dlc16_hef_infantry_hero_handmaiden_blood,wh2_dlc16_hef_infantry_hero_handmaiden_blood,,,wh2_dlc10_hef_handmaiden_spear,wh2_dlc10_hef_longbow_arrow_handmaiden,wh2_dlc10_hef_longbow_arrow_handmaiden,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,race_core_and_variant,false,2,1,,wh2_dlc10_hef_inf_dryads_0,Dryads,infantry,inf_mel,melee_infantry,2,medium,true,false,100,100,100,70,7000,0,man,small,false,false,60,0,25,65,20,0,0,0,-25,35,35,5,18,0,0,4.2,1,true,false,4.3,140,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,550,138,wh2_dlc10_hef_inf_dryads_0,wh2_dlc10_hef_inf_dryads_0,wh_dlc05_wef_inf_dryad,wh_dlc05_wef_inf_dryad,,,wh_dlc05_wef_dryads_claw,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,race_core_and_variant,false,2,1,,wh2_dlc10_hef_inf_everqueens_court_guards_ror_0,Everqueen's Court Guards (Sisters of Avelorn),infantry,inf_mis,missile_infantry,3,medium,true,true,80,80,80,84,6720,0,man,small,false,false,40,0,48,92,0,0,0,0,0,45,22,10,7,0,0,4.3,1,false,false,3.6,100,true,33,22,180,10,4,18,0,0,1,1,1,0,55,0,10,120,3,true,true,small_arm_default,very_low_magic,300,false,true,false,,,,,,,,,,1250,1300,325,wh2_dlc10_hef_inf_everqueens_court_guards_ror_0,wh2_dlc10_hef_inf_everqueens_court_guards_ror_0,wh2_main_hef_infantry_fast_blood_dismembers,wh2_main_hef_infantry_fast_blood_dismembers,,,wh2_dlc10_hef_sword_sisters,wh2_dlc10_hef_longbow_arrow_everqueen_court_guard,wh2_dlc10_hef_longbow_arrow_everqueen_court_guard,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,race_core_and_variant,false,2,1,,wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0,Keepers of the Flame (Phoenix Guard),infantry,inf_mel,melee_infantry,4,heavy,true,true,100,100,100,84,8400,0,man,small,false,false,110,0,50,100,30,0,0,0,0,48,11,25,10,0,20,4.9,1,true,false,3.2,150,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,375,wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0,wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0,wh2_dlc10_hef_inf_keepers_of_the_flame_ror,wh2_dlc10_hef_inf_keepers_of_the_flame_ror,,,wh2_main_hef_halberd_ror,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,race_core_and_variant,false,2,1,,wh2_dlc10_hef_inf_shadow_walkers_0,Shadow-walkers,infantry,inf_mis,missile_infantry,3,medium,true,false,60,60,60,94,5640,0,man,small,false,false,30,0,32,75,0,0,0,0,0,40,24,10,12,12,0,4.6,1,false,false,4,100,true,33,20,180,11,22,5,0,0,1,1,1,0,57,0,30,150,3.1,false,false,small_arm_default,very_low,300,false,true,false,wh_main_unit_contact_poison,,,,,,,,,1000,1100,275,wh2_dlc10_hef_inf_shadow_walkers_0,wh2_dlc10_hef_inf_shadow_walkers_0,wh2_dlc10_hef_infantry_fast_shadow_blood_dismembers,wh2_dlc10_hef_infantry_fast_shadow_blood_dismembers,,,wh2_dlc10_hef_dual_swords_shadow,wh2_dlc10_hef_longbow_arrow_shadow_walker,wh2_dlc10_hef_longbow_arrow_shadow_walker,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,High Elves,wh2_main_hef_high_elves,wh2_main_sc_hef_high_elves,wh2_main_hef,race_core_and_variant,false,2,1,,wh2_dlc10_hef_inf_shadow_warriors_0,Shadow Warriors,infantry,inf_mis,missile_infantry,2,medium,true,false,80,80,80,80,6400,0,man,small,false,false,30,0,22,72,0,0,0,0,0,36,22,10,10,0,0,4.3,1,false,false,4,100,true,10,20,180,11,18,4,0,0,1,1,1,0,45,0,10,150,5.6,false,false,small_arm_default,very_low,300,false,true,false,,,,,,,,,,850,850,213,wh2_dlc10_hef_inf_shadow_warriors_0,wh2_dlc10_hef_inf_shadow_warriors_0,wh2_dlc10_hef_infantry_fast_shadow_blood_dismembers,wh2_dlc10_hef_infantry_fast_shadow_blood_dismembers,,,wh2_dlc10_hef_sword_shadow,wh2_dlc10_hef_longbow_arrow_shadow,wh2_dlc10_hef_longbow_arrow_shadow,2026-08-26T04:13:50.342Z,complete,
