game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,tactical_category,source_unit_class,source_caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,Khorne,wh3_main_kho_khorne,wh3_main_sc_kho_khorne,wh3_main_kho,race_core,false,1,1,,wh2_dlc17_kho_mon_ghorgon_ror_0,The Bloodbrute Behemoth (Ghorgon),monster,inf_mel,monster,5,very_heavy,true,true,1,1,1,10888,10888,0,man,very_large,true,true,70,0,38,90,0,0,35,0,0,69,100,420,46,0,30,4,5,false,false,6.4,6500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,2550,638,wh2_dlc17_kho_mon_ghorgon_ror_0,wh2_dlc17_bst_mon_ghorgon_ror_0,wh2_dlc17_bst_mon_ghorgon_blood,wh2_dlc17_bst_mon_ghorgon_blood,,,wh2_dlc17_bst_ghorgon_ror,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Khorne,wh3_main_kho_khorne,wh3_main_sc_kho_khorne,wh3_main_kho,race_core,false,1,2,,wh3_dlc20_chs_cav_chaos_chariot_mkho,Chaos Chariots of Khorne,monster,chariot,chariot,2,heavy,true,false,4,4,8,1394,5576,0,engine,large,true,false,120,0,23,70,0,0,35,0,0,22,29,11,76,18,0,4,3,false,false,7.8,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,850,213,wh3_dlc20_chs_cav_chaos_chariot_mkho,wh3_dlc20_chs_cav_chaos_chariot_mkho,wh_main_vehicle_chs_chariot,wh_main_infantry_standard_large_blood,wh3_dlc20_chs_mnt_chaos_steed_mkho_chariots,wh_main_vehicle_chs_chariot,wh_main_chs_chariot,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Khorne,wh3_main_kho_khorne,wh3_main_sc_kho_khorne,wh3_main_kho,race_core,false,1,2,,wh3_dlc20_chs_cav_chaos_knights_mkho,Chaos Knights of Khorne,monster,cav_mel,melee_cavalry,3,heavy,true,false,60,60,60,127,7620,0,mount,medium,false,false,130,30,45,75,0,0,35,0,0,42,37,16,44,0,0,4.6,1,false,true,7,1200,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,350,wh3_dlc20_chs_cav_chaos_knights_mkho,wh3_dlc20_chs_cav_chaos_knights_mkho,wh3_dlc20_chs_mnt_chaos_steed_mkho_knights,wh3_dlc20_chaos_knight_rider_blood,wh3_dlc20_chs_mnt_chaos_steed_mkho_knights,,wh3_dlc20_chaos_knight_mkho_sword,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Khorne,wh3_main_kho_khorne,wh3_main_sc_kho_khorne,wh3_main_kho,race_core,false,1,2,,wh3_dlc20_chs_cav_chaos_knights_mkho_lances,Chaos Knights of Khorne (Lances),monster,cav_shk,melee_cavalry,4,heavy,true,false,60,60,60,127,7620,0,mount,medium,false,false,130,30,33,75,0,0,35,0,0,42,36,17,80,0,0,5,1,false,true,7,1200,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1500,375,wh3_dlc20_chs_cav_chaos_knights_mkho_lances,wh3_dlc20_chs_cav_chaos_knights_mkho_lances,wh3_dlc20_chs_mnt_chaos_steed_mkho_knights,wh3_dlc20_chaos_knight_rider_blood,wh3_dlc20_chs_mnt_chaos_steed_mkho_knights,,wh3_dlc20_chaos_knight_mkho_lance,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Khorne,wh3_main_kho_khorne,wh3_main_sc_kho_khorne,wh3_main_kho,race_core,false,1,2,,wh3_dlc20_chs_cav_marauder_horsemen_mkho_throwing_axes,Marauder Horsemen of Khorne (Throwing Axes),monster,cav_mis,missile_cavalry,2,medium,true,false,60,60,60,83,4980,0,mount,medium,false,false,35,0,21,48,0,0,35,0,0,22,30,10,36,5,0,4.2,1,false,false,9,500,true,10,12,70,10,6,21,0,0,1,1,1,0,32,0,10,40,2,false,true,small_arm_default,low,140,false,true,false,,,,,,,,,,675,675,169,wh3_dlc20_chs_cav_marauder_horsemen_mkho_throwing_axes,wh3_dlc20_chs_cav_marauder_horsemen_mkho_throwing_axes,wh3_dlc20_chs_mnt_norscan_warhorse_horsemen,wh3_dlc20_marauder_horsemen_rider_blood,wh3_dlc20_chs_mnt_norscan_warhorse_horsemen,,wh3_dlc20_chs_marauders_mkho_dual_axes,wh3_dlc20_chs_marauder_horsemen_mkho_throwing_axe,wh3_dlc20_chs_marauder_horsemen_mkho_throwing_axe,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Khorne,wh3_main_kho_khorne,wh3_main_sc_kho_khorne,wh3_main_kho,race_core,false,1,2,,wh3_dlc20_chs_inf_chaos_marauders_mkho,Marauders of Khorne,infantry,inf_mel,melee_infantry,1,medium,true,false,120,120,120,78,9360,0,man,small,false,false,35,35,23,60,0,0,35,0,0,34,21,7,18,0,0,4.2,1,false,false,3.5,100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,100,wh3_dlc20_chs_inf_chaos_marauders_mkho,wh3_dlc20_chs_inf_chaos_marauders_mkho,wh_main_chs_infantry_fast_blood_dismembers,wh_main_chs_infantry_fast_blood_dismembers,,,wh_main_chs_axe_marauders,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Khorne,wh3_main_kho_khorne,wh3_main_sc_kho_khorne,wh3_main_kho,race_core,false,1,2,,wh3_dlc20_chs_inf_chaos_marauders_mkho_dualweapons,Marauders of Khorne (Dual Weapons),infantry,inf_mel,melee_infantry,2,medium,true,false,120,120,120,78,9360,0,man,small,false,false,35,0,17,60,0,0,35,0,0,34,30,10,30,5,0,4.2,1,false,false,3.5,100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,550,138,wh3_dlc20_chs_inf_chaos_marauders_mkho_dualweapons,wh3_dlc20_chs_inf_chaos_marauders_mkho_dualweapons,wh_main_chs_infantry_fast_blood_dismembers,wh_main_chs_infantry_fast_blood_dismembers,,,wh3_dlc20_chs_marauders_mkho_dual_axes,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Khorne,wh3_main_kho_khorne,wh3_main_sc_kho_khorne,wh3_main_kho,race_core,false,1,2,,wh3_dlc20_chs_inf_chosen_mkho,Chosen of Khorne,infantry,inf_mel,melee_infantry,3,heavy,true,false,80,80,80,131,10480,0,man,small,false,false,130,60,55,85,0,0,35,0,0,46,34,14,26,0,0,3.8,1,false,true,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,325,wh3_dlc20_chs_inf_chosen_mkho,wh3_dlc20_chs_inf_chosen_mkho,wh_main_infantry_standard_very_large_blood_dismembers,wh_main_infantry_standard_very_large_blood_dismembers,,,wh3_dlc20_chs_chosen_mkho_axe,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Khorne,wh3_main_kho_khorne,wh3_main_sc_kho_khorne,wh3_main_kho,race_core,false,1,2,,wh3_dlc20_chs_inf_chosen_mkho_dualweapons,Chosen of Khorne (Dual Weapons),infantry,inf_mel,melee_infantry,3,heavy,true,false,80,80,80,131,10480,0,man,small,false,false,130,0,49,85,0,0,35,0,0,46,51,18,38,10,0,3.8,1,false,true,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1450,363,wh3_dlc20_chs_inf_chosen_mkho_dualweapons,wh3_dlc20_chs_inf_chosen_mkho_dualweapons,wh_main_infantry_standard_very_large_blood_dismembers,wh_main_infantry_standard_very_large_blood_dismembers,,,wh3_dlc20_chs_chosen_mkho_dual_axes,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Khorne,wh3_main_kho_khorne,wh3_main_sc_kho_khorne,wh3_main_kho,race_core,false,1,2,,wh3_dlc20_chs_inf_forsaken_mkho,Forsaken of Khorne,infantry,inf_mel,melee_infantry,2,heavy,true,false,80,80,80,100,8000,0,man,small,false,false,100,0,15,70,0,0,35,0,0,32,44,14,36,0,0,4.3,1,false,true,4.6,230,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,800,200,wh3_dlc20_chs_inf_forsaken_mkho,wh3_dlc20_chs_inf_forsaken_mkho,wh_dlc01_chs_infantry_forsaken_blood_dismembers,wh_dlc01_chs_infantry_forsaken_blood_dismembers,,,wh3_dlc20_kho_forsaken,,,2026-08-26T04:13:50.342Z,complete,
