game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,tactical_category,source_unit_class,source_caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,Lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,wh2_main_lzd,race_core,false,1,1,,wh2_dlc12_lzd_cav_ripperdactyl_riders_0,Ripperdactyl Riders,cavalry,cav_mel,monstrous_cavalry,3,very_heavy,true,false,10,10,10,617,6170,0,mount,large,true,false,45,0,25,65,0,15,0,0,0,44,32,94,52,15,0,4,4,false,false,6,1000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1150,288,wh2_dlc12_lzd_cav_ripperdactyl_riders_0,wh2_dlc12_lzd_cav_ripperdactyl_riders_0,wh2_dlc12_lzd_ripperdactyl_blood,wh2_main_lzd_inf_skink_360_blood_dismembers,wh2_dlc12_lzd_ripperdactyl_blood,,wh2_dlc12_lzd_ripperdactyl,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,wh2_main_lzd,race_core,false,1,1,,wh2_dlc12_lzd_cav_ripperdactyl_riders_0_blessed,Blessed Ripperdactyl Riders,cavalry,cav_mel,monstrous_cavalry,3,very_heavy,true,false,10,10,10,708,7080,0,mount,large,true,false,65,0,25,65,0,15,0,0,0,55,32,94,52,15,0,4,4,false,false,6,1000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,0,288,wh2_dlc12_lzd_cav_ripperdactyl_riders_0_blessed,wh2_dlc12_lzd_cav_ripperdactyl_riders_0_blessed,wh2_dlc12_lzd_ripperdactyl_blood,wh2_main_lzd_inf_skink_360_blood_dismembers,wh2_dlc12_lzd_ripperdactyl_blood,,wh2_dlc12_lzd_ripperdactyl,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,wh2_main_lzd,race_core,false,1,1,,wh2_dlc12_lzd_inf_skink_red_crested_0,Red Crested Skinks,infantry,inf_mel,melee_infantry,2,heavy,true,false,120,120,120,67,8040,0,man,small,false,false,30,0,20,62,0,0,0,0,0,26,6,21,25,0,0,4.6,1,false,false,4.6,80,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,525,131,wh2_dlc12_lzd_inf_skink_red_crested_0,wh2_dlc12_lzd_inf_skink_red_crested_0,wh2_dlc12_lzd_inf_red_crested_skink_blood_dismembers,wh2_dlc12_lzd_inf_red_crested_skink_blood_dismembers,,,wh2_dlc12_lzd_skink_great_club,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,wh2_main_lzd,race_core,false,1,1,,wh2_dlc12_lzd_mon_ancient_salamander_0,Ancient Salamander,monster,inf_mis,monster,3,heavy,true,false,1,1,1,6168,6168,0,man,very_large,true,true,95,0,29,65,0,15,0,0,0,32,115,250,30,0,0,3.6,4,false,true,7.5,2000,true,10,25,160,12,70,265,0,0,1,1,1,0,70,0,10,120,2.3,false,true,artillery_default,low,700,false,true,false,wh2_dlc12_unit_contact_flammable,wh2_dlc12_lzd_salamander_flame_large,85,34,7,false,true,true,wh2_dlc12_unit_contact_flammable,1050,1050,263,wh2_dlc12_lzd_mon_ancient_salamander_0,wh2_dlc12_lzd_mon_ancient_salamander_0,wh2_dlc12_lzd_mon_ancient_salamander_blood,wh2_dlc12_lzd_mon_ancient_salamander_blood,,,wh2_dlc12_lzd_ancient_salamander,wh2_dlc12_lzd_salamander_flame_large,wh2_dlc12_lzd_salamander_flame_large,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,wh2_main_lzd,race_core,false,1,1,,wh2_dlc12_lzd_mon_ancient_salamander_0_blessed,Blessed Ancient Salamander,monster,inf_mis,monster,3,heavy,true,false,1,1,1,7092,7092,0,man,very_large,true,true,95,0,29,65,0,15,0,0,0,32,115,250,30,0,0,3.6,4,false,true,7.5,2000,true,10,25,160,12,70,265,0,0,1,1,1,0,70,0,10,120,2.3,false,true,artillery_default,low,700,false,true,false,wh2_dlc12_unit_contact_flammable,wh2_dlc12_lzd_salamander_flame_large_blessed,85,34,1,false,true,true,wh2_dlc12_unit_contact_flammable,1050,0,263,wh2_dlc12_lzd_mon_ancient_salamander_0_blessed,wh2_dlc12_lzd_mon_ancient_salamander_0_blessed,wh2_dlc12_lzd_mon_ancient_salamander_blood,wh2_dlc12_lzd_mon_ancient_salamander_blood,,,wh2_dlc12_lzd_ancient_salamander,wh2_dlc12_lzd_salamander_flame_large_blessed,wh2_dlc12_lzd_salamander_flame_large_blessed,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,wh2_main_lzd,race_core,false,1,1,,wh2_dlc12_lzd_mon_ancient_stegadon_1,Ancient Stegadon (Engine of the Gods),monster,inf_mel,monster,5,heavy,true,false,1,1,5,9854,9854,0,mount,very_large,true,true,130,0,32,75,0,15,0,0,0,26,140,340,70,18,0,3.5,5,false,false,5,5500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2050,513,wh2_dlc12_lzd_mon_ancient_stegadon_1,wh2_dlc12_lzd_mon_ancient_stegadon_1,wh2_dlc12_lzd_mon_ancient_stegadon_platform_engine_gods,wh_main_infantry_rider,wh2_dlc12_lzd_mon_ancient_stegadon_platform_engine_gods,,wh2_main_lzd_ancient_stegadon,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,wh2_main_lzd,race_core,false,1,0,,wh2_dlc12_lzd_mon_ancient_stegadon_1_nakai,Ancient Stegadon (Engine of the Gods),monster,inf_mel,monster,5,heavy,true,false,1,1,5,9854,9854,0,mount,very_large,true,true,130,0,32,75,0,15,0,0,0,26,140,340,70,18,0,3.5,5,false,false,5,5500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2050,513,wh2_dlc12_lzd_mon_ancient_stegadon_1_nakai,wh2_dlc12_lzd_mon_ancient_stegadon_1,wh2_dlc12_lzd_mon_ancient_stegadon_platform_engine_gods,wh_main_infantry_rider,wh2_dlc12_lzd_mon_ancient_stegadon_platform_engine_gods,,wh2_main_lzd_ancient_stegadon,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,wh2_main_lzd,race_core,false,1,1,,wh2_dlc12_lzd_mon_bastiladon_3,Bastiladon (Ark of Sotek),monster,inf_mel,monster,3,heavy,true,false,1,1,4,7698,7698,0,mount,very_large,true,true,140,0,28,65,0,15,0,0,0,22,90,160,34,15,0,3.7,3,false,false,4,4000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,250,wh2_dlc12_lzd_mon_bastiladon_3,wh2_dlc12_lzd_mon_bastiladon_3,wh2_main_lzd_mon_bastiladon_platform_arc,wh2_main_lzd_mon_bastiladon_platform_arc,wh2_main_lzd_mon_bastiladon_platform_arc,,wh2_main_lzd_bastiladon,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,wh2_main_lzd,race_core,false,1,0,,wh2_dlc12_lzd_mon_bastiladon_3_nakai,Bastiladon (Ark of Sotek),monster,inf_mel,monster,3,heavy,true,false,1,1,4,7698,7698,0,mount,very_large,true,true,140,0,28,65,0,15,0,0,0,22,90,160,34,15,0,3.7,3,false,false,4,4000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,250,wh2_dlc12_lzd_mon_bastiladon_3_nakai,wh2_dlc12_lzd_mon_bastiladon_3,wh2_main_lzd_mon_bastiladon_platform_arc,wh2_main_lzd_mon_bastiladon_platform_arc,wh2_main_lzd_mon_bastiladon_platform_arc,,wh2_main_lzd_bastiladon,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,wh2_main_lzd,race_core,false,1,1,,wh2_dlc12_lzd_mon_salamander_pack_0,Salamander Hunting Pack,monster,inf_mis,missile_infantry,2,heavy,true,false,32,32,32,130,4160,0,man,medium,false,false,80,0,22,55,0,0,0,0,0,25,12,34,28,0,0,4,2,false,true,7,700,true,10,18,140,12,80,17,0,26,1,1,1,0,70,0,10,85,2.9,false,true,small_arm_default,very_low,160,false,true,false,,wh2_dlc12_lzd_salamander_flame,15,2,3,false,true,true,,850,850,213,wh2_dlc12_lzd_mon_salamander_pack_0,wh2_dlc12_lzd_mon_salamander_pack_0,wh2_dlc12_lzd_inf_salamander_blood,wh2_dlc12_lzd_inf_salamander_blood,,,wh2_dlc12_lzd_salamander_flame,wh2_dlc12_lzd_salamander_flame,wh2_dlc12_lzd_salamander_flame,2026-08-26T04:13:50.342Z,complete,
