game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,category,unit_class,caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,Norsca,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,wh_main_group_norsca,race_core,false,1,0,,wh3_dlc27_chs_inf_chaos_warriors_0,Chaos Warriors,infantry,inf_mel,melee_infantry,2,heavy,true,false,100,100,100,90,9000,0,man,small,false,false,100,55,44,75,0,0,0,0,0,36,26,10,20,0,0,4,1,false,false,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,750,188,wh3_dlc27_chs_inf_chaos_warriors_0,wh_main_chs_inf_chaos_warriors_0,wh_main_infantry_standard_very_large_blood_dismembers,wh_main_infantry_standard_very_large_blood_dismembers,,,wh_main_chs_axe,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Norsca,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,wh_main_group_norsca,race_core,false,1,0,,wh3_dlc27_chs_inf_chaos_warriors_1,Chaos Warriors (Halberds),infantry,inf_mel,melee_infantry,2,heavy,true,false,100,100,100,90,9000,0,man,small,false,false,100,0,42,75,0,0,0,0,0,30,10,24,10,0,19,4.4,1,false,false,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,850,213,wh3_dlc27_chs_inf_chaos_warriors_1,wh_main_chs_inf_chaos_warriors_1,wh_main_infantry_standard_very_large_blood_dismembers,wh_main_infantry_standard_very_large_blood_dismembers,,,wh_main_chs_halberd,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Norsca,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,wh_main_group_norsca,race_core,false,1,0,,wh3_dlc27_chs_inf_chaos_warriors_2,Chaos Warriors (Great Weapons),infantry,inf_mel,melee_infantry,2,heavy,true,false,100,100,100,90,9000,0,man,small,false,false,100,0,32,75,0,0,0,0,0,38,10,28,30,0,0,4.2,1,false,false,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,825,206,wh3_dlc27_chs_inf_chaos_warriors_2,wh_dlc01_chs_inf_chaos_warriors_2,wh_main_infantry_standard_very_large_blood_dismembers,wh_main_infantry_standard_very_large_blood_dismembers,,,wh_dlc01_chs_axe_great,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Norsca,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,wh_main_group_norsca,race_core,false,1,0,,wh3_dlc27_chs_inf_chaos_warriors_mnur_greatweapons,Chaos Warriors of Nurgle (Great Weapons),infantry,inf_mel,melee_infantry,2,heavy,true,false,100,100,100,98,9800,0,man,small,false,false,100,0,37,75,0,0,0,0,0,33,10,28,30,0,0,4.2,1,false,false,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,875,218,wh3_dlc27_chs_inf_chaos_warriors_mnur_greatweapons,wh3_dlc20_chs_inf_chaos_warriors_mnur_greatweapons,wh3_dlc20_infantry_standard_mnur_very_large_blood_dismembers,wh3_dlc20_infantry_standard_mnur_very_large_blood_dismembers,,,wh3_dlc20_chs_warriors_mnur_great_axe,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Norsca,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,wh_main_group_norsca,race_core,false,1,0,,wh3_dlc27_chs_inf_chaos_warriors_msla_hellscourges,Chaos Warriors of Slaanesh (Hellscourges),infantry,inf_mel,melee_infantry,2,heavy,true,false,100,100,100,90,9000,0,man,small,false,false,100,55,54,75,5,0,0,0,0,32,26,6,20,0,0,4,1,false,false,3.3,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,950,237,wh3_dlc27_chs_inf_chaos_warriors_msla_hellscourges,wh3_dlc20_chs_inf_chaos_warriors_msla_hellscourges,wh3_dlc20_infantry_standard_msla_very_large_blood_dismembers,wh3_dlc20_infantry_standard_msla_very_large_blood_dismembers,,,wh3_dlc20_chs_warriors_hellscourge_whip,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Norsca,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,wh_main_group_norsca,race_core,false,1,0,,wh3_dlc27_chs_inf_chaos_warriors_mtze_halberds,Chaos Warriors of Tzeentch (Halberds),infantry,inf_mel,melee_infantry,2,heavy,true,false,100,100,100,90,9000,800,man,small,false,false,100,0,42,75,0,0,0,0,0,30,10,24,10,0,19,4.4,1,true,false,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,925,231,wh3_dlc27_chs_inf_chaos_warriors_mtze_halberds,wh3_dlc20_chs_inf_chaos_warriors_mtze_halberds,wh_main_infantry_standard_very_large_blood_dismembers,wh_main_infantry_standard_very_large_blood_dismembers,,,wh3_dlc20_chs_warriors_mtze_halberd,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Norsca,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,wh_main_group_norsca,race_core,false,1,0,,wh3_dlc27_chs_mon_chaos_spawn,Chaos Spawn,infantry,inf_mel,monstrous_infantry,3,heavy,true,false,16,16,16,548,8768,0,man,large,true,false,10,0,28,100,0,0,0,0,0,36,120,50,35,0,0,3.8,5,false,false,4.2,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,900,225,wh3_dlc27_chs_mon_chaos_spawn,wh_main_chs_mon_chaos_spawn,wh_main_monster_chaos_spawn_blood,wh_main_monster_chaos_spawn_blood,,,wh_main_chs_claws_chaos_spawn,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Norsca,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,wh_main_group_norsca,race_core,false,1,0,,wh3_dlc27_kho_inf_chaos_warriors_2,Chaos Warriors of Khorne (Dual Weapons),infantry,inf_mel,melee_infantry,2,heavy,true,false,100,100,100,90,9000,0,man,small,false,false,110,0,33,75,0,0,35,0,0,36,39,13,32,5,0,4,1,false,false,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,950,238,wh3_dlc27_kho_inf_chaos_warriors_2,wh3_main_kho_inf_chaos_warriors_2,wh_main_infantry_standard_very_large_blood_dismembers,wh_main_infantry_standard_very_large_blood_dismembers,,,wh3_main_kho_chaos_warrior_dual_axes,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Norsca,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,wh_main_group_norsca,race_core,false,1,0,,wh3_dlc27_kho_mon_spawn_of_khorne_0,Spawn of Khorne,infantry,inf_mel,monstrous_infantry,3,heavy,true,false,16,16,16,548,8768,0,man,large,true,false,30,0,23,100,0,0,35,0,0,36,120,50,35,0,0,3.8,5,false,true,4.2,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1050,263,wh3_dlc27_kho_mon_spawn_of_khorne_0,wh3_main_kho_mon_spawn_of_khorne_0,wh3_main_monster_spawn_of_khorne_blood,wh3_main_monster_spawn_of_khorne_blood,,,wh3_main_kho_claws_chaos_spawn,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Norsca,wh_dlc08_nor_norsca,wh_dlc08_sc_nor_norsca,wh_main_group_norsca,race_core,false,1,3,,wh3_dlc27_nor_cav_chaos_chariot_ror,Followers of the Great Eagle (Marauder Chariots),monster,chariot,generic,2,heavy,true,true,4,4,8,1368,5472,800,engine,large,true,false,90,0,36,80,0,0,0,0,0,29,11,29,76,18,0,4,3,true,true,7.8,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,250,wh3_dlc27_nor_cav_chaos_chariot_ror,wh3_dlc27_nor_cav_chaos_chariot_ror,wh3_dlc27_vehicle_nor_chariot_ror,wh_main_cavalry_rider_standard_blood,wh3_dlc20_chs_mnt_chaos_steed_chariots,wh3_dlc27_vehicle_nor_chariot_ror,wh3_dlc27_nor_cav_chaos_chariot_ror,,,2026-08-26T04:13:50.342Z,complete,
