game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,tactical_category,source_unit_class,source_caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,Nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,wh3_main_nur,faction_exclusive,true,1,1,Faction-variant roster unit; see unit_rosters for exact military-group and faction permissions.,wh2_dlc17_bst_mon_ghorgon_0,Ghorgon,monster,inf_mel,monster,5,very_heavy,true,false,1,1,1,10888,10888,0,man,very_large,true,true,50,0,34,80,0,0,0,0,0,57,100,420,46,0,30,4,5,false,false,6.4,6500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,0,0,wh2_dlc17_bst_mon_ghorgon_0,wh2_dlc17_bst_mon_ghorgon_0,wh2_dlc17_bst_mon_ghorgon_blood,wh2_dlc17_bst_mon_ghorgon_blood,,,wh2_dlc17_bst_ghorgon,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,wh3_main_nur,race_core_and_variant,false,2,2,,wh3_dlc20_chs_cav_chaos_chariot_mnur,Chaos Chariots of Nurgle,monster,chariot,chariot,2,heavy,true,false,4,4,8,1533,6132,0,engine,large,true,false,110,0,33,70,0,0,0,0,0,17,29,11,76,18,0,4,3,false,false,7.8,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,850,213,wh3_dlc20_chs_cav_chaos_chariot_mnur,wh3_dlc20_chs_cav_chaos_chariot_mnur,wh_main_vehicle_chs_chariot,wh_main_infantry_standard_large_blood,wh3_dlc20_chs_mnt_chaos_steed_mnur_chariots,wh_main_vehicle_chs_chariot,wh3_dlc20_chs_chariot_mnur,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,wh3_main_nur,race_core_and_variant,false,2,2,,wh3_dlc20_chs_cav_chaos_knights_mnur,Chaos Knights of Nurgle,monster,cav_mel,melee_cavalry,3,heavy,true,false,60,60,60,138,8280,0,mount,medium,false,false,120,30,55,75,0,0,0,0,0,37,37,16,44,0,0,4.6,1,false,false,7,1200,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1500,375,wh3_dlc20_chs_cav_chaos_knights_mnur,wh3_dlc20_chs_cav_chaos_knights_mnur,wh3_dlc20_chs_mnt_chaos_steed_mnur_knights,wh3_dlc20_chaos_knight_rider_blood,wh3_dlc20_chs_mnt_chaos_steed_mnur_knights,,wh3_dlc20_chaos_knight_mnur_sword,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,wh3_main_nur,race_core_and_variant,false,2,2,,wh3_dlc20_chs_cav_chaos_knights_mnur_lances,Chaos Knights of Nurgle (Lances),monster,cav_shk,melee_cavalry,4,heavy,true,false,60,60,60,138,8280,0,mount,medium,false,false,120,30,43,75,0,0,0,0,0,37,36,17,80,0,0,5,1,false,false,7,1200,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1600,400,wh3_dlc20_chs_cav_chaos_knights_mnur_lances,wh3_dlc20_chs_cav_chaos_knights_mnur_lances,wh3_dlc20_chs_mnt_chaos_steed_mnur_knights,wh3_dlc20_chaos_knight_rider_blood,wh3_dlc20_chs_mnt_chaos_steed_mnur_knights,,wh3_dlc20_chaos_knight_mnur_lance,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,wh3_main_nur,race_core_and_variant,false,2,2,,wh3_dlc20_chs_cav_marauder_horsemen_mnur_throwing_axes,Marauder Horsemen of Nurgle (Throwing Axes),monster,cav_mis,missile_cavalry,2,medium,true,false,60,60,60,91,5460,0,mount,medium,false,false,15,30,31,48,0,0,0,0,0,17,19,5,24,0,0,5,1,false,false,9,500,true,10,12,70,10,6,21,0,0,1,1,1,0,32,0,10,40,2,false,false,small_arm_default,low,140,false,true,false,wh_main_unit_contact_poison,,,,,,,,,650,650,162,wh3_dlc20_chs_cav_marauder_horsemen_mnur_throwing_axes,wh3_dlc20_chs_cav_marauder_horsemen_mnur_throwing_axes,wh3_dlc20_chs_mnt_norscan_warhorse_horsemen_mnur,wh3_dlc20_marauder_horsemen_rider_blood,wh3_dlc20_chs_mnt_norscan_warhorse_horsemen_mnur,,wh3_dlc20_chs_marauder_horsemen_mnur_spear,wh3_dlc20_chs_marauder_horsemen_mnur_throwing_axe,wh3_dlc20_chs_marauder_horsemen_mnur_throwing_axe,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,wh3_main_nur,race_core_and_variant,false,2,2,,wh3_dlc20_chs_inf_chaos_marauders_mnur,Marauders of Nurgle,infantry,inf_mel,melee_infantry,1,medium,true,false,120,120,120,85,10200,0,man,small,false,false,15,35,33,60,0,0,0,0,0,29,21,7,18,0,0,4.2,1,false,false,3.5,100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,425,106,wh3_dlc20_chs_inf_chaos_marauders_mnur,wh3_dlc20_chs_inf_chaos_marauders_mnur,wh3_dlc20_chs_infantry_mnur_fast_blood_dismembers,wh3_dlc20_chs_infantry_mnur_fast_blood_dismembers,,,wh3_dlc20_chs_marauders_mnur_axe,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,wh3_main_nur,race_core_and_variant,false,2,2,,wh3_dlc20_chs_inf_chaos_marauders_mnur_greatweapons,Marauders of Nurgle (Great Weapons),infantry,inf_mel,melee_infantry,2,medium,true,false,120,120,120,85,10200,0,man,small,false,false,15,0,25,60,0,0,0,0,0,29,7,23,22,0,0,4.6,1,false,false,3.5,100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,125,wh3_dlc20_chs_inf_chaos_marauders_mnur_greatweapons,wh3_dlc20_chs_inf_chaos_marauders_mnur_greatweapons,wh3_dlc20_chs_infantry_mnur_fast_blood_dismembers,wh3_dlc20_chs_infantry_mnur_fast_blood_dismembers,,,wh3_dlc20_chs_marauders_mnur_great_weapons,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,wh3_main_nur,race_core_and_variant,false,2,2,,wh3_dlc20_chs_inf_chaos_warriors_mnur,Chaos Warriors of Nurgle,infantry,inf_mel,melee_infantry,2,heavy,true,false,100,100,100,98,9800,0,man,small,false,false,100,55,49,75,0,0,0,0,0,31,26,10,20,0,0,4,1,false,false,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,800,200,wh3_dlc20_chs_inf_chaos_warriors_mnur,wh3_dlc20_chs_inf_chaos_warriors_mnur,wh3_dlc20_infantry_standard_mnur_very_large_blood_dismembers,wh3_dlc20_infantry_standard_mnur_very_large_blood_dismembers,,,wh3_dlc20_chs_warriors_mnur_axe,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,wh3_main_nur,race_core_and_variant,false,2,2,,wh3_dlc20_chs_inf_chaos_warriors_mnur_greatweapons,Chaos Warriors of Nurgle (Great Weapons),infantry,inf_mel,melee_infantry,2,heavy,true,false,100,100,100,98,9800,0,man,small,false,false,100,0,37,75,0,0,0,0,0,33,10,28,30,0,0,4.2,1,false,false,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,875,218,wh3_dlc20_chs_inf_chaos_warriors_mnur_greatweapons,wh3_dlc20_chs_inf_chaos_warriors_mnur_greatweapons,wh3_dlc20_infantry_standard_mnur_very_large_blood_dismembers,wh3_dlc20_infantry_standard_mnur_very_large_blood_dismembers,,,wh3_dlc20_chs_warriors_mnur_great_axe,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,wh3_main_nur,race_core_and_variant,false,2,2,,wh3_dlc20_chs_inf_chosen_mnur,Chosen of Nurgle,infantry,inf_mel,melee_infantry,3,heavy,true,false,80,80,80,143,11440,0,man,small,false,false,120,60,65,85,0,0,0,0,0,41,34,14,26,0,0,3.8,1,false,false,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,338,wh3_dlc20_chs_inf_chosen_mnur,wh3_dlc20_chs_inf_chosen_mnur,wh3_dlc20_infantry_standard_mnur_very_large_blood_dismembers,wh3_dlc20_infantry_standard_mnur_very_large_blood_dismembers,,,wh3_dlc20_chs_chosen_mnur_axe,,,2026-08-26T04:13:50.342Z,complete,
