game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,tactical_category,source_unit_class,source_caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,Ogre Kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,wh3_main_ogr,race_core,false,1,1,,wh3_dlc26_ogr_cha_bragg_the_gutsman,Bragg the Gutsman,character,com,hero,0,heavy,false,false,1,1,1,7472,7472,0,man,large,true,true,50,0,42,80,0,15,0,0,0,65,125,375,50,0,30,4,5,false,false,5.7,2500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,0,0,wh3_dlc26_ogr_cha_bragg_the_gutsman,wh3_dlc26_ogr_cha_bragg_the_gutsman,wh3_dlc26_ogr_bragg_the_gutsman,wh3_dlc26_ogr_bragg_the_gutsman,,,wh3_dlc26_ogr_bragg_poleaxe,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Ogre Kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,wh3_main_ogr,race_core,false,1,1,,wh3_dlc26_ogr_cha_bruiser,Bruiser,character,com,hero,0,heavy,false,false,1,1,1,6216,6216,0,man,large,true,true,100,20,38,70,0,15,0,0,0,55,130,295,50,20,0,4,4,false,false,5.4,2300,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,900,225,wh3_dlc26_ogr_cha_bruiser,wh3_dlc26_ogr_cha_bruiser,wh3_dlc26_ogr_bruiser,wh3_dlc26_ogr_bruiser,,,wh3_dlc26_ogr_bruiser_wristblade,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Ogre Kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,wh3_main_ogr,race_core,false,1,1,,wh3_dlc26_ogr_cha_butcher_death,Butcher (Death),character,com,hero,0,heavy,false,false,1,1,1,5508,5508,0,man,large,true,true,30,0,40,60,0,15,0,0,0,40,115,265,44,0,0,4,4,false,false,5.4,2100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,1000,250,wh3_dlc26_ogr_cha_butcher_death,wh3_dlc26_ogr_cha_butcher_death,wh3_main_ogr_monster_ogre_butcher_blood,wh3_main_ogr_monster_ogre_butcher_blood,,,wh3_main_ogr_hammer_slaughtermaster,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Ogre Kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,wh3_main_ogr,race_core,false,1,1,,wh3_dlc26_ogr_cha_butcher_heavens,Butcher (Heavens),character,com,hero,0,heavy,false,false,1,1,1,5508,5508,0,man,large,true,true,30,0,40,60,0,15,0,0,0,40,115,265,44,0,0,4,4,false,false,5.4,2100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,1000,250,wh3_dlc26_ogr_cha_butcher_heavens,wh3_dlc26_ogr_cha_butcher_heavens,wh3_main_ogr_monster_ogre_butcher_blood,wh3_main_ogr_monster_ogre_butcher_blood,,,wh3_main_ogr_hammer_slaughtermaster,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Ogre Kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,wh3_main_ogr,race_core,false,1,1,,wh3_dlc26_ogr_cha_golgfag_maneater,Golgfag Maneater,character,com,lord,0,heavy,false,false,1,1,1,7808,7808,0,man,large,true,true,80,0,50,85,0,15,0,0,0,65,235,315,50,25,0,4,6,false,false,5.4,2500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,312,wh3_dlc26_ogr_cha_golgfag_maneater,wh3_dlc26_ogr_cha_golgfag_maneater,wh3_dlc26_ogr_cha_golgfag_maneater,wh3_dlc26_ogr_cha_golgfag_maneater,,,wh3_dlc26_ogr_golgfag_sword_mace,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Ogre Kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,wh3_main_ogr,race_core,false,1,1,,wh3_dlc26_ogr_cha_paymaster,Ogre Paymaster,character,com,lord,0,heavy,false,false,1,1,1,6850,6850,0,man,large,true,true,40,0,50,80,0,15,0,0,0,45,130,310,45,0,0,4,4,false,false,5.4,2300,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1350,343,wh3_dlc26_ogr_cha_paymaster,wh3_dlc26_ogr_cha_paymaster,wh3_dlc26_ogr_cha_paymaster,wh3_dlc26_ogr_cha_paymaster,,,wh3_dlc26_ogr_ogre_paymaster,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Ogre Kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,wh3_main_ogr,race_core,false,1,1,,wh3_dlc26_ogr_cha_slaughtermaster_death,Slaughtermaster (Death),character,com,lord,0,heavy,false,false,1,1,1,6508,6508,0,man,large,true,true,40,30,48,60,0,15,0,0,0,40,120,280,44,0,0,4,4,false,false,5.4,2100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,1000,250,wh3_dlc26_ogr_cha_slaughtermaster_death,wh3_dlc26_ogr_cha_slaughtermaster_death,wh3_main_ogr_monster_ogre_butcher_blood,wh3_main_ogr_monster_ogre_butcher_blood,,,wh3_main_ogr_sword_slaughtermaster,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Ogre Kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,wh3_main_ogr,race_core,false,1,1,,wh3_dlc26_ogr_cha_slaughtermaster_heavens,Slaughtermaster (Heavens),character,com,lord,0,heavy,false,false,1,1,1,6508,6508,0,man,large,true,true,40,30,48,60,0,15,0,0,0,40,120,280,44,0,0,4,4,false,false,5.4,2100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,1000,250,wh3_dlc26_ogr_cha_slaughtermaster_heavens,wh3_dlc26_ogr_cha_slaughtermaster_heavens,wh3_main_ogr_monster_ogre_butcher_blood,wh3_main_ogr_monster_ogre_butcher_blood,,,wh3_main_ogr_sword_slaughtermaster,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Ogre Kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,wh3_main_ogr,race_core,false,1,1,,wh3_dlc26_ogr_inf_eshin_maneater_ror,Eshin Maneater,infantry,inf_mel,melee_infantry,3,heavy,true,true,1,1,1,6516,6516,0,man,large,true,true,40,0,50,80,15,25,0,0,0,55,70,330,50,20,0,4,4,false,false,5.7,2300,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,312,wh3_dlc26_ogr_inf_eshin_maneater_ror,wh3_dlc26_ogr_inf_eshin_maneater_ror,wh3_dlc26_ogr_inf_eshin_maneater_ror,wh3_dlc26_ogr_inf_eshin_maneater_ror,,,wh3_dlc26_ogr_eshin_maneater_ror_swords,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Ogre Kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,wh3_main_ogr,race_core,false,1,1,,wh3_dlc26_ogr_inf_golgfags_maneaters,Golgfag's Maneaters,infantry,inf_mel,monstrous_infantry,4,very_heavy,true,false,16,16,16,650,10400,0,man,large,true,false,80,0,36,80,0,0,0,0,0,48,42,84,50,16,0,3.8,3,false,false,5.4,1700,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,400,wh3_dlc26_ogr_inf_golgfags_maneaters,wh3_dlc26_ogr_inf_golgfags_maneaters,wh3_main_ogr_monster_ogre_maneater_blood,wh3_main_ogr_monster_ogre_maneater_blood,,,wh3_dlc26_ogr_golgfags_maneaters_sword_and_club,,,2026-08-26T04:13:50.342Z,complete,
