game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,category,unit_class,caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,Skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,wh2_main_skv,race_core_and_variant,false,2,1,,wh2_dlc09_skv_cha_tretch_craventail,Tretch Craventail,character,com,lord,0,medium,true,false,1,1,1,4288,4288,0,man,small,false,true,90,0,70,65,0,15,0,0,0,40,280,120,40,0,25,4,4,false,false,4.2,450,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,900,225,wh2_dlc09_skv_cha_tretch_craventail,wh2_dlc09_skv_cha_tretch_craventail,wh2_dlc09_skv_infantry_fast_hero_tretch_craventail,wh2_dlc09_skv_infantry_fast_hero_tretch_craventail,,,wh2_dlc09_skv_cha_tretch_craventail,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,wh2_main_skv,race_core_and_variant,false,2,1,,wh2_dlc12_skv_art_warplock_jezzails_ror_tech_lab_0,Eye-Takers (Warplock Jezzails),infantry,inf_mis,missile_infantry,3,medium,true,true,32,32,32,123,3936,0,man,small,false,false,70,55,22,60,0,0,0,0,0,22,20,6,2,0,0,4.3,1,false,false,4.2,150,true,33,22,275,12,6,30,0,0,1,1,1,0,100,0,10,150,0.6,false,false,small_arm_default,medium_1,600,false,true,false,wh_dlc06_unit_contact_blinded,,,,,,,,,1400,1400,350,wh2_dlc12_skv_art_warplock_jezzails_ror_tech_lab_0,wh2_dlc12_skv_art_warplock_jezzails_ror_tech_lab_0,wh2_main_skv_infantry_weaponteam_jezzails,wh2_main_skv_infantry_weaponteam_jezzails,,,wh2_main_skv_sword,wh2_dlc12_skv_warp_jezzails_lab_ror,wh2_dlc12_skv_warp_jezzails_bullet_lab_ror,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,wh2_main_skv,race_core_and_variant,false,2,1,,wh2_dlc12_skv_inf_ratling_gun_0,Ratling Guns,infantry,inf_mis,missile_infantry,2,medium,true,false,32,32,32,123,3936,0,man,small,false,false,70,0,16,50,0,0,0,0,0,16,20,6,2,0,0,4.3,1,false,false,3.8,150,true,20,270,145,5,2,6,0,0,1,18,1,0,100,0,10,70,2.7,false,false,small_arm_default,very_low,300,false,true,false,wh2_dlc12_unit_contact_suppressive_fire,,,,,,,,,800,800,200,wh2_dlc12_skv_inf_ratling_gun_0,wh2_dlc12_skv_inf_ratling_gun_0,wh2_dlc12_skv_infantry_ratling_gun_team,wh2_dlc12_skv_infantry_ratling_gun_team,,,wh2_main_skv_sword,wh2_dlc12_skv_ratling_gun_bullet,wh2_dlc12_skv_ratling_gun_bullet,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,wh2_main_skv,race_core_and_variant,false,2,1,,wh2_dlc12_skv_inf_ratling_gun_ror_tech_lab_0,Death Dealers (Ratling Guns),infantry,inf_mis,missile_infantry,3,medium,true,true,32,32,32,123,3936,0,man,small,false,false,70,0,22,60,0,0,0,0,0,22,20,6,2,0,0,4.3,1,false,false,3.8,150,true,33,410,175,5,2,7,0,0,1,18,1,0,120,0,33,80,2.4,false,false,small_arm_default,very_low,300,false,true,false,wh2_dlc12_unit_contact_suppressive_fire,,,,,,,,,1250,1250,313,wh2_dlc12_skv_inf_ratling_gun_ror_tech_lab_0,wh2_dlc12_skv_inf_ratling_gun_ror_tech_lab_0,wh2_dlc12_skv_infantry_ratling_gun_team,wh2_dlc12_skv_infantry_ratling_gun_team,,,wh2_main_skv_sword,wh2_dlc12_skv_ratling_gun_bullet_lab_ror,wh2_dlc12_skv_ratling_gun_bullet_lab_ror,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,wh2_main_skv,race_core_and_variant,false,2,1,,wh2_dlc12_skv_inf_warpfire_thrower_ror_tech_lab_0,The Doombringers (Warpfire Throwers),infantry,inf_mis,missile_infantry,2,medium,true,true,48,48,48,123,5904,0,man,small,false,false,70,0,34,50,0,0,0,0,0,32,14,4,2,0,0,4.3,1,false,false,3.8,150,true,10,72,80,13,8,3,0,0,1,1,4,0.35,30,0,10,40,1.7,true,true,artillery_flammable,low,85,false,true,false,wh_main_unit_contact_morale,wh2_main_skv_warpfire,20,7,3,true,true,true,,700,700,175,wh2_dlc12_skv_inf_warpfire_thrower_ror_tech_lab_0,wh2_dlc12_skv_inf_warpfire_thrower_ror_tech_lab_0,wh2_main_skv_infantry_weaponteam,wh2_main_skv_infantry_weaponteam,,,wh2_main_skv_sword_skavenslaves,wh2_main_skv_warpfire,wh2_main_skv_warpfire,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,wh2_main_skv,race_core_and_variant,false,2,1,,wh2_dlc12_skv_inf_warplock_jezzails_0,Warplock Jezzails,infantry,inf_mis,missile_infantry,3,medium,true,false,32,32,32,123,3936,0,man,small,false,false,70,55,16,50,0,0,0,0,0,16,20,6,2,0,0,4.3,1,false,false,4.2,150,true,10,22,275,12,6,30,0,0,1,1,1,0,100,0,10,150,0.6,false,false,small_arm_default,medium_1,600,false,true,false,wh2_dlc09_unit_contact_shieldbreaker,,,,,,,,,1000,1200,300,wh2_dlc12_skv_inf_warplock_jezzails_0,wh2_dlc12_skv_inf_warplock_jezzails_0,wh2_main_skv_infantry_weaponteam_jezzails,wh2_main_skv_infantry_weaponteam_jezzails,,,wh2_main_skv_sword,wh2_dlc12_skv_warp_jezzails,wh2_dlc12_skv_warp_jezzails_bullet,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,wh2_main_skv,race_core_and_variant,false,2,1,,wh2_dlc12_skv_veh_doom_flayer_0,Doom-Flayers,monster,chariot,chariot,3,heavy,true,false,8,8,8,758,6064,0,engine,large,true,false,90,0,26,60,0,0,0,0,0,25,15,45,40,35,0,4,2,false,false,7.2,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1100,300,wh2_dlc12_skv_veh_doom_flayer_0,wh2_dlc12_skv_veh_doom_flayer_0,wh2_dlc12_skv_vehicle_doom_flayer,wh2_main_skv_infantry,,wh2_dlc12_skv_vehicle_doom_flayer,wh2_dlc12_skv_doom_flayer,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,wh2_main_skv,race_core_and_variant,false,2,1,,wh2_dlc12_skv_veh_doom_flayer_ror_tech_lab_0,Blackhole Flayers (Doom-Flayers),monster,chariot,chariot,3,heavy,true,true,8,8,8,758,6064,0,engine,large,true,false,90,0,34,70,0,0,0,0,0,32,15,45,40,35,0,4,2,false,false,7.2,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,313,wh2_dlc12_skv_veh_doom_flayer_ror_tech_lab_0,wh2_dlc12_skv_veh_doom_flayer_ror_tech_lab_0,wh2_dlc12_skv_vehicle_doom_flayer,wh2_main_skv_infantry,,wh2_dlc12_skv_vehicle_doom_flayer,wh2_dlc12_skv_doom_flayer,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,wh2_main_skv,race_core_and_variant,false,2,1,,wh2_dlc12_skv_veh_doomwheel_ror_tech_lab_0,Warpfire's Wheel (Doomwheel),monster,chariot,warmachine,4,medium,true,true,1,1,25,7288,7288,0,engine,very_large,true,true,100,0,46,75,0,0,0,0,0,34,150,250,50,30,0,4.3,6,false,false,7.2,2000,true,33,0,60,12,20,45,0,0,2,1,1,0,100,8,10,50,5,true,false,artillery_explosive,medium,100,true,true,false,,wh2_dlc12_skv_doomwheel_warp_lightning_ror,0,20,4,true,false,true,,1600,1600,400,wh2_dlc12_skv_veh_doomwheel_ror_tech_lab_0,wh2_dlc12_skv_veh_doomwheel_ror_tech_lab_0,wh2_main_skv_vehicle_doomwheel,wh2_main_skv_infantry,,wh2_main_skv_vehicle_doomwheel,wh2_main_skv_doomwheel,wh2_dlc12_skv_doomwheel_warp_lightning_alt,wh2_dlc12_skv_doomwheel_warp_lightning_alt,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,wh2_main_skv,race_core_and_variant,false,2,1,,wh2_dlc14_skv_cha_deathmaster_snikch_0,Deathmaster Snikch,character,com,lord,0,medium,true,false,1,1,1,3920,3920,0,man,small,false,true,30,0,50,70,30,0,0,0,0,70,160,300,60,0,0,3.8,5,false,false,5.4,550,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1050,263,wh2_dlc14_skv_cha_deathmaster_snikch_0,wh2_dlc14_skv_cha_deathmaster_snikch_0,wh2_dlc14_skv_infantry_hero_snikch_blood,wh2_dlc14_skv_infantry_hero_snikch_blood,,,wh2_dlc14_skv_cha_snikch,,,2026-08-26T04:13:50.342Z,complete,
