game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,category,unit_class,caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,Tomb Kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,wh2_dlc09_tomb_kings,race_core_and_variant,false,2,1,,wh2_dlc09_tmb_art_casket_of_souls_0,Casket of Souls,monster,chariot,chariot,3,heavy,true,false,1,1,1,3960,3960,0,engine,very_large,true,true,80,0,14,60,0,15,0,0,0,20,20,6,8,0,0,4.3,1,false,false,2.6,4000,true,10,20,440,18,40,90,0,0,7,1,1,0,50,7,20,340,70,true,false,artillery_explosive,high_magic,650,true,true,false,,wh2_dlc09_casket_of_souls,28,64,4,true,false,true,,1200,0,0,wh2_dlc09_tmb_art_casket_of_souls_0,wh2_dlc09_tmb_art_casket_of_souls_0,wh2_dlc09_tmb_inf_casket_of_souls,wh2_dlc09_tmb_skeleton,,wh2_dlc09_tmb_inf_casket_of_souls,wh2_dlc09_tmb_sword,wh2_dlc09_tmb_casket_of_souls,wh2_dlc09_casket_of_souls,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tomb Kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,wh2_dlc09_tomb_kings,race_core_and_variant,false,2,1,,wh2_dlc09_tmb_art_screaming_skull_catapult_0,Screaming Skull Catapults,artillery,art_fld,warmachine,2,very_heavy,true,false,4,4,44,481,4164,0,engine,large,true,false,20,0,6,40,0,0,0,0,0,10,17,3,5,0,0,4.4,1,false,false,2,2000,true,10,22,380,16,30,120,0,0,1,1,1,0,67,0,10,320,80,true,false,artillery_default,large_2,700,true,true,false,wh_main_unit_contact_overhead_morale,wh2_dlc09_screaming_skull_explosion,30,65,5,true,false,true,wh_main_unit_contact_overhead_morale,800,0,0,wh2_dlc09_tmb_art_screaming_skull_catapult_0,wh2_dlc09_tmb_art_screaming_skull_catapult_0,wh2_dlc09_tmb_art_screaming_skull_catapult,wh2_dlc16_tmb_skeleton_crew,,wh2_dlc09_tmb_art_screaming_skull_catapult,wh2_dlc09_tmb_sword_short,wh2_dlc09_tmb_screaming_skull,wh2_dlc09_tmb_skull_projectile,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tomb Kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,wh2_dlc09_tomb_kings,faction_exclusive,true,1,1,Faction-variant roster unit; see unit_rosters for exact military-group and faction permissions.,wh2_dlc09_tmb_cav_hexwraiths,Hexwraiths,cavalry,cav_mel,melee_cavalry,3,heavy,true,false,60,60,60,116,6960,0,mount,medium,false,false,0,0,34,50,55,0,15,8,0,36,0,53,61,0,0,4,1,true,true,9.4,750,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,0,0,wh2_dlc09_tmb_cav_hexwraiths,wh2_dlc09_tmb_cav_hexwraiths,wh_main_vmp_cavalry_skeletal_steed_hexwraiths,wh3_main_arkhan_tmb_cavalry_rider_standard_ethereal,wh_main_vmp_cavalry_skeletal_steed_hexwraiths,,wh3_main_tmb_scythe_hexwraith,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tomb Kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,wh2_dlc09_tomb_kings,race_core_and_variant,false,2,1,,wh2_dlc09_tmb_cav_necropolis_knights_0,Necropolis Knights,cavalry,cav_shk,monstrous_cavalry,3,medium,true,false,24,24,24,303,7272,0,mount,large,true,false,110,30,43,60,0,0,0,0,0,40,25,42,52,0,0,5.4,3,false,false,6.6,1300,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,0,0,wh2_dlc09_tmb_cav_necropolis_knights_0,wh2_dlc09_tmb_cav_necropolis_knights_0,wh2_dlc09_tmb_cav_necroserpent,wh2_dlc09_tmb_skeleton,wh2_dlc09_tmb_cav_necroserpent,,wh2_dlc09_tmb_necropolis_knights_lance,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tomb Kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,wh2_dlc09_tomb_kings,race_core_and_variant,false,2,1,,wh2_dlc09_tmb_cav_necropolis_knights_1,Necropolis Knights (Halberds),cavalry,cav_shk,monstrous_cavalry,4,medium,true,false,24,24,24,303,7272,0,mount,large,true,false,110,0,37,60,0,0,0,0,0,32,19,36,40,0,32,5.4,3,false,false,6.6,1300,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,0,0,wh2_dlc09_tmb_cav_necropolis_knights_1,wh2_dlc09_tmb_cav_necropolis_knights_1,wh2_dlc09_tmb_cav_necroserpent,wh2_dlc09_tmb_skeleton,wh2_dlc09_tmb_cav_necroserpent,,wh2_dlc09_tmb_necropolis_knights_halberd,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tomb Kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,wh2_dlc09_tomb_kings,race_core_and_variant,false,2,1,,wh2_dlc09_tmb_cav_necropolis_knights_ror,Venom Knights of Asaph (Necropolis Knights),cavalry,cav_shk,monstrous_cavalry,4,medium,true,true,24,24,24,432,10368,0,mount,large,true,false,110,30,56,75,0,0,0,0,0,55,25,42,74,0,0,5.4,3,false,false,7.6,1300,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,0,0,wh2_dlc09_tmb_cav_necropolis_knights_ror,wh2_dlc09_tmb_cav_necropolis_knights_ror,wh2_dlc09_tmb_cav_necroserpent_ror,wh2_dlc09_tmb_skeleton,wh2_dlc09_tmb_cav_necroserpent_ror,,wh2_dlc09_tmb_necropolis_knights_lance,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tomb Kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,wh2_dlc09_tomb_kings,race_core_and_variant,false,2,1,,wh2_dlc09_tmb_cav_nehekhara_horsemen_0,Nehekharan Horsemen,cavalry,cav_mel,melee_cavalry,2,heavy,true,false,60,60,60,106,6360,0,mount,medium,false,false,50,30,34,50,0,0,0,0,0,28,28,10,26,0,0,5,1,false,false,7.8,1000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,0,0,wh2_dlc09_tmb_cav_nehekhara_horsemen_0,wh2_dlc09_tmb_cav_nehekhara_horsemen_0,wh2_dlc09_tmb_cav_skeletal_steed_barded,wh2_dlc09_tmb_skeleton,wh2_dlc09_tmb_cav_skeletal_steed_barded,,wh2_dlc09_tmb_sword_nehekhara_horsemen,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tomb Kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,wh2_dlc09_tomb_kings,race_core_and_variant,false,2,1,,wh2_dlc09_tmb_cav_nehekhara_horsemen_ror,Storm Riders of Khsar (Nehekharan Horsemen),cavalry,cav_mel,melee_cavalry,2,heavy,true,true,60,60,60,155,9300,0,mount,medium,false,false,80,30,52,65,0,0,0,0,0,43,28,10,50,0,0,5,1,false,false,8.5,1000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,0,0,wh2_dlc09_tmb_cav_nehekhara_horsemen_ror,wh2_dlc09_tmb_cav_nehekhara_horsemen_ror,wh2_dlc09_tmb_cav_skeletal_steed_ror,wh2_dlc09_tmb_skeleton,wh2_dlc09_tmb_cav_skeletal_steed_ror,,wh2_dlc09_tmb_sword_nehekhara_horsemen,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tomb Kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,wh2_dlc09_tomb_kings,race_core_and_variant,false,2,1,,wh2_dlc09_tmb_cav_skeleton_horsemen_0,Skeleton Horsemen,cavalry,cav_mel,melee_cavalry,1,medium,true,false,60,60,60,81,4860,0,mount,medium,false,false,30,30,26,45,0,0,0,0,0,24,21,7,34,0,0,4.5,1,false,false,7.6,700,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,0,0,wh2_dlc09_tmb_cav_skeleton_horsemen_0,wh2_dlc09_tmb_cav_skeleton_horsemen_0,wh2_dlc09_tmb_cav_skeletal_steed,wh2_dlc09_tmb_skeleton,wh2_dlc09_tmb_cav_skeletal_steed,,wh2_dlc09_tmb_cavalry_spear,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tomb Kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,wh2_dlc09_tomb_kings,race_core_and_variant,false,2,1,,wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0,Skeleton Horse Archers,cavalry,cav_mis,missile_cavalry,1,medium,true,false,60,60,60,78,4680,0,mount,medium,false,false,30,0,22,45,0,0,0,0,0,20,17,3,25,0,0,4.4,1,false,false,7.6,700,true,10,18,140,11,14,3,0,0,1,1,1,0,45,0,10,85,3.4,false,false,small_arm_default,very_low,250,false,true,false,,,,,,,,,,475,0,0,wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0,wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0,wh2_dlc09_tmb_cav_skeletal_steed,wh2_dlc09_tmb_skeleton_missile_mounted,wh2_dlc09_tmb_cav_skeletal_steed,,wh2_dlc09_tmb_sword_short,wh2_dlc09_tmb_bow_horse,wh2_tmb_skeleton_arrow_mounted,2026-08-26T04:13:50.342Z,complete,
