game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,tactical_category,source_unit_class,source_caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,Tzeentch,wh3_main_tze_tzeentch,wh3_main_sc_tze_tzeentch,wh3_main_tze,race_core,false,1,2,,wh3_dlc20_chs_cav_chaos_chariot_mtze,Chaos Chariots of Tzeentch,monster,chariot,chariot,2,heavy,true,false,4,4,8,1394,5576,800,engine,large,true,false,110,0,28,70,0,0,0,0,0,22,29,11,76,18,0,4,3,true,false,7.8,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,850,213,wh3_dlc20_chs_cav_chaos_chariot_mtze,wh3_dlc20_chs_cav_chaos_chariot_mtze,wh_main_vehicle_chs_chariot,wh_main_infantry_standard_large_blood,wh3_dlc20_chs_mnt_chaos_steed_mtze_chariots,wh_main_vehicle_chs_chariot,wh3_dlc20_chs_chariot_mtze,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tzeentch,wh3_main_tze_tzeentch,wh3_main_sc_tze_tzeentch,wh3_main_tze,race_core,false,1,2,,wh3_dlc20_chs_cav_chaos_knights_mtze_lances,Chaos Knights of Tzeentch (Lances),monster,cav_shk,melee_cavalry,4,heavy,true,false,60,60,60,127,7620,800,mount,medium,false,false,120,30,38,75,0,0,0,0,0,42,36,17,80,0,0,5,1,true,false,7,1200,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1600,400,wh3_dlc20_chs_cav_chaos_knights_mtze_lances,wh3_dlc20_chs_cav_chaos_knights_mtze_lances,wh3_dlc20_chs_mnt_chaos_steed_mtze_knights,wh3_dlc20_chaos_knight_rider_blood,wh3_dlc20_chs_mnt_chaos_steed_mtze_knights,,wh3_dlc20_chaos_knight_mtze_lance,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tzeentch,wh3_main_tze_tzeentch,wh3_main_sc_tze_tzeentch,wh3_main_tze,race_core,false,1,2,,wh3_dlc20_chs_cav_marauder_horsemen_mtze_javelins,Marauder Horsemen of Tzeentch,monster,cav_mis,missile_cavalry,2,medium,true,false,60,60,60,83,4980,800,mount,medium,false,false,15,0,20,48,0,0,0,0,0,22,19,5,24,0,0,5,1,true,true,9,500,true,10,16,80,9,15,7,0,0,1,1,1,0,46,0,10,50,2.3,true,true,small_arm_default,low,140,false,true,false,wh3_main_unit_contact_warpflame,,,,,,,,,700,700,175,wh3_dlc20_chs_cav_marauder_horsemen_mtze_javelins,wh3_dlc20_chs_cav_marauder_horsemen_mtze_javelins,wh3_dlc20_chs_mnt_norscan_warhorse_horsemen,wh3_dlc20_cavalry_marauder_horsemen_mtze_blood,wh3_dlc20_chs_mnt_norscan_warhorse_horsemen,,wh3_dlc20_chs_marauder_horsemen_mtze_spear,wh3_dlc20_chs_marauder_horsemen_mtze_javelin,wh3_dlc20_chs_marauder_horsemen_mtze_javelin,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tzeentch,wh3_main_tze_tzeentch,wh3_main_sc_tze_tzeentch,wh3_main_tze,race_core,false,1,2,,wh3_dlc20_chs_inf_chaos_marauders_mtze,Marauders of Tzeentch,infantry,inf_mel,melee_infantry,1,medium,true,false,120,120,120,78,9360,600,man,small,false,false,15,35,28,60,0,0,0,0,0,34,21,7,18,0,0,4.2,1,true,false,3.5,100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,425,106,wh3_dlc20_chs_inf_chaos_marauders_mtze,wh3_dlc20_chs_inf_chaos_marauders_mtze,wh_main_chs_infantry_fast_blood_dismembers,wh_main_chs_infantry_fast_blood_dismembers,,,wh3_dlc20_chs_marauders_mtze_axe,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tzeentch,wh3_main_tze_tzeentch,wh3_main_sc_tze_tzeentch,wh3_main_tze,race_core,false,1,2,,wh3_dlc20_chs_inf_chaos_marauders_mtze_spears,Marauders of Tzeentch (Spears),infantry,inf_mel,melee_infantry,2,medium,true,false,120,120,120,78,9360,600,man,small,false,false,15,0,37,60,0,0,0,0,0,25,20,5,6,0,15,5.7,1,true,false,3.5,100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,500,125,wh3_dlc20_chs_inf_chaos_marauders_mtze_spears,wh3_dlc20_chs_inf_chaos_marauders_mtze_spears,wh_main_chs_infantry_fast_blood_dismembers,wh_main_chs_infantry_fast_blood_dismembers,,,wh3_dlc20_chs_marauders_mtze_spear,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tzeentch,wh3_main_tze_tzeentch,wh3_main_sc_tze_tzeentch,wh3_main_tze,race_core,false,1,2,,wh3_dlc20_chs_inf_chaos_warriors_mtze,Chaos Warriors of Tzeentch,infantry,inf_mel,melee_infantry,2,heavy,true,false,100,100,100,90,9000,800,man,small,false,false,100,55,44,75,0,0,0,0,0,36,26,10,20,0,0,4,1,true,false,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,825,200,wh3_dlc20_chs_inf_chaos_warriors_mtze,wh3_dlc20_chs_inf_chaos_warriors_mtze,wh_main_infantry_standard_very_large_blood_dismembers,wh_main_infantry_standard_very_large_blood_dismembers,,,wh3_dlc20_chs_warriors_mtze_sword,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tzeentch,wh3_main_tze_tzeentch,wh3_main_sc_tze_tzeentch,wh3_main_tze,race_core,false,1,2,,wh3_dlc20_chs_inf_chaos_warriors_mtze_halberds,Chaos Warriors of Tzeentch (Halberds),infantry,inf_mel,melee_infantry,2,heavy,true,false,100,100,100,90,9000,800,man,small,false,false,100,0,42,75,0,0,0,0,0,30,10,24,10,0,19,4.4,1,true,false,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,925,231,wh3_dlc20_chs_inf_chaos_warriors_mtze_halberds,wh3_dlc20_chs_inf_chaos_warriors_mtze_halberds,wh_main_infantry_standard_very_large_blood_dismembers,wh_main_infantry_standard_very_large_blood_dismembers,,,wh3_dlc20_chs_warriors_mtze_halberd,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tzeentch,wh3_main_tze_tzeentch,wh3_main_sc_tze_tzeentch,wh3_main_tze,race_core,false,1,2,,wh3_dlc20_chs_inf_chosen_mtze,Chosen of Tzeentch,infantry,inf_mel,melee_infantry,3,heavy,true,false,80,80,80,131,10480,1000,man,small,false,false,120,60,60,85,0,0,0,0,0,46,34,14,26,0,0,3.8,1,true,false,2.8,160,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,338,wh3_dlc20_chs_inf_chosen_mtze,wh3_dlc20_chs_inf_chosen_mtze,wh_main_infantry_standard_very_large_blood_dismembers,wh_main_infantry_standard_very_large_blood_dismembers,,,wh3_dlc20_chs_chosen_mtze_sword,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tzeentch,wh3_main_tze_tzeentch,wh3_main_sc_tze_tzeentch,wh3_main_tze,race_core,false,1,2,,wh3_dlc20_chs_inf_chosen_mtze_halberds,Chosen of Tzeentch (Halberds),infantry,inf_mel,melee_infantry,4,heavy,true,false,80,80,80,131,10480,1000,man,small,false,false,120,0,56,85,0,0,0,0,0,36,15,31,16,0,26,4.3,1,true,false,2.8,210,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,375,wh3_dlc20_chs_inf_chosen_mtze_halberds,wh3_dlc20_chs_inf_chosen_mtze_halberds,wh_main_infantry_standard_very_large_heavy_blood_dismembers,wh_main_infantry_standard_very_large_heavy_blood_dismembers,,,wh3_dlc20_chs_chosen_mtze_halberd,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Tzeentch,wh3_main_tze_tzeentch,wh3_main_sc_tze_tzeentch,wh3_main_tze,race_core,false,1,2,,wh3_dlc20_chs_mon_warshrine_mtze,Chaos Warshrine of Tzeentch,monster,inf_mel,monster,3,very_heavy,true,false,1,1,1,11242,11242,800,mount,very_large,true,true,60,0,30,60,0,0,0,0,0,35,250,125,25,0,0,4,4,true,false,3.8,4000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,325,wh3_dlc20_chs_mon_warshrine_mtze,wh3_dlc20_chs_mon_warshrine_mtze,wh3_dlc20_chs_mnt_warshrine_mtze,wh_main_infantry_rider,wh3_dlc20_chs_mnt_warshrine_mtze,,wh3_dlc20_chs_mon_warshrine_mtze,,,2026-08-26T04:13:50.342Z,complete,
