game,patch,steam_build_id,unit_scale,faction_name,faction_key,subculture_key,military_group,roster_scope,is_faction_exclusive,military_group_count,permitted_faction_count,availability_notes,unit_key,unit_name,tactical_category,source_unit_class,source_caste,tier,weight,in_encyclopedia,is_renown,entity_count,model_count,source_total_component_count,hp_per_entity,total_hp,barrier_health,primary_component_role,primary_target_size,is_large,is_single_entity,armour,shield_block_chance,melee_defence,leadership,physical_resistance,missile_resistance,spell_resistance,ward_save,fire_resistance,melee_attack,weapon_base_damage,weapon_ap_damage,charge_bonus,bonus_vs_infantry,bonus_vs_large,attack_interval,max_splash_targets,melee_is_magical,melee_is_flaming,speed,mass,has_missile_weapon,accuracy,ammunition,range,reload_time,missile_base_damage,missile_ap_damage,missile_bonus_vs_infantry,missile_bonus_vs_large,projectiles_per_shot,shots_per_volley,burst_size,burst_shot_delay,projectile_velocity,projectile_spread,marksmanship_bonus,calibration_distance,calibration_area,missile_is_magical,missile_is_flaming,projectile_shot_type,projectile_penetration_class,projectile_expiry_range,projectile_can_damage_buildings,projectile_can_damage_allies,projectile_is_spell,projectile_contact_effect,explosion_key,explosion_base_damage,explosion_ap_damage,explosion_radius,explosion_is_magical,explosion_is_flaming,explosion_affects_allies,explosion_contact_effect,multiplayer_cost,campaign_recruit_cost,campaign_upkeep,source_main_unit_key,source_land_unit_key,source_battle_entity_key,source_man_entity_key,source_mount_entity_key,source_engine_entity_key,source_melee_weapon_key,source_missile_weapon_key,source_projectile_key,extracted_at_utc,data_quality_status,notes
warhammer_3,8.1.1,24237342,ultra,Vampire Counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,wh_main_group_vampire_counts,race_core,false,1,2,,wh2_dlc11_cst_mon_mournguls_0,Mournguls,infantry,inf_mel,monstrous_infantry,2,very_heavy,true,false,16,16,16,560,8960,0,man,large,true,false,30,0,26,50,0,30,0,0,0,36,30,70,28,20,0,4,4,false,false,5.4,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,950,238,wh2_dlc11_cst_mon_mournguls_0,wh2_dlc11_cst_mon_mournguls_0,wh2_dlc11_cst_cha_mourngul_blood,wh2_dlc11_cst_cha_mourngul_blood,,,wh2_dlc11_cst_claws_mournguls,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Vampire Counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,wh_main_group_vampire_counts,race_core,false,1,1,,wh2_dlc11_vmp_cha_heinrich_kemmler_1,Heinrich Kemmler,character,com,lord,0,heavy,false,false,1,1,1,4672,4672,0,mount,medium,false,true,35,0,45,75,0,15,0,0,0,38,220,120,40,0,0,4,4,false,false,7.8,1500,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,1400,300,wh2_dlc11_vmp_cha_heinrich_kemmler_1,wh2_dlc11_vmp_cha_heinrich_kemmler_1,wh_main_cavalry_slow_hero_blood,wh2_dlc16_infantry_standard_hero_blood_low_kb_resist,wh_main_cavalry_slow_hero_blood,,wh_main_vmp_staff_hero_kemmler,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Vampire Counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,wh_main_group_vampire_counts,race_core,false,1,1,,wh3_main_vmp_blood_knights_sword_shield,Blood Knights,cavalry,cav_mel,melee_cavalry,4,heavy,true,false,60,60,60,112,6720,0,mount,medium,false,false,110,30,54,65,0,0,0,0,0,36,35,19,48,16,0,4.3,1,false,false,7,1200,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1600,400,wh3_main_vmp_blood_knights_sword_shield,wh3_main_vmp_blood_knights_sword_shield,wh_dlc02_vmp_cavalry_standard_blood_knight_blood,wh_main_infantry_standard_large_blood,wh_dlc02_vmp_cavalry_standard_blood_knight_blood,,wh3_main_vmp_blood_knight_sword,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Vampire Counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,wh_main_group_vampire_counts,race_core,false,1,1,,wh3_main_vmp_inf_grave_guard_2,Grave Guard (Halberds),infantry,inf_mel,melee_infantry,2,heavy,true,false,120,120,120,82,9840,0,man,small,false,false,90,0,36,50,0,0,0,0,0,22,10,26,4,0,19,4.3,1,false,false,2.7,100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,900,225,wh3_main_vmp_inf_grave_guard_2,wh3_main_vmp_inf_grave_guard_2,wh_main_infantry_slow_dismembers,wh_main_infantry_slow_dismembers,,,wh3_main_vmp_wightblade_grave_guard_halberd,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Vampire Counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,wh_main_group_vampire_counts,race_core,false,1,1,,wh_dlc02_vmp_cav_blood_knights_0,Blood Knights (Lances),cavalry,cav_shk,melee_cavalry,4,heavy,true,false,60,60,60,112,6720,0,mount,medium,false,false,110,30,42,65,0,0,0,0,0,32,32,17,72,0,22,5.1,1,false,false,7,1200,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1700,425,wh_dlc02_vmp_cav_blood_knights_0,wh_dlc02_vmp_cav_blood_knights_0,wh_dlc02_vmp_cavalry_standard_blood_knight_blood,wh_main_infantry_standard_large_blood,wh_dlc02_vmp_cavalry_standard_blood_knight_blood,,wh_dlc02_vmp_blood_knight_lance,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Vampire Counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,wh_main_group_vampire_counts,race_core,false,1,1,,wh_dlc04_vmp_cav_chillgheists_0,The Chillgheists (Hexwraiths),cavalry,cav_mel,melee_cavalry,4,heavy,true,true,60,60,60,116,6960,0,mount,medium,false,false,0,0,40,60,55,0,0,0,0,43,0,42,55,0,0,4.6,1,true,false,9.4,750,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1700,425,wh_dlc04_vmp_cav_chillgheists_0,wh_dlc04_vmp_cav_chillgheists_0,wh_dlc04_vmp_cavalry_skeletal_steed_chillgheists,wh_main_cavalry_rider_standard_ethereal,wh_dlc04_vmp_cavalry_skeletal_steed_chillgheists,,wh_main_vmp_scythe_chillgheist,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Vampire Counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,wh_main_group_vampire_counts,race_core,false,1,1,,wh_dlc04_vmp_cav_vereks_reavers_0,Verek's Reavers (Black Knights – Lances & Barding),cavalry,cav_shk,melee_cavalry,3,heavy,true,true,60,60,60,110,6600,0,mount,medium,false,false,110,30,36,60,0,0,0,0,0,38,30,12,75,0,0,5.1,1,false,false,7.2,1000,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,325,wh_dlc04_vmp_cav_vereks_reavers_0,wh_dlc04_vmp_cav_vereks_reavers_0,wh_main_vmp_cav_skeletal_steed_barded,wh_main_cavalry_rider_standard,wh_main_vmp_cav_skeletal_steed_barded,,wh_main_vmp_wightblade_lance,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Vampire Counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,wh_main_group_vampire_counts,race_core,false,1,1,,wh_dlc04_vmp_inf_feasters_in_the_dusk_0,The Feasters in the Dusk (Crypt Ghouls),infantry,inf_mel,melee_infantry,2,heavy,true,true,120,120,120,75,9000,0,man,small,false,false,30,0,32,64,0,0,0,0,0,41,32,8,16,0,0,4.3,1,false,false,4.2,90,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,800,200,wh_dlc04_vmp_inf_feasters_in_the_dusk_0,wh_dlc04_vmp_inf_feasters_in_the_dusk_0,wh_dlc04_vmp_inf_feaster_ghoul_blood_dismembers,wh_dlc04_vmp_inf_feaster_ghoul_blood_dismembers,,,wh_main_claws_ghouls,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Vampire Counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,wh_main_group_vampire_counts,race_core,false,1,1,,wh_dlc04_vmp_inf_konigstein_stalkers_0,The Konigstein Stalkers (Skeleton Warriors),infantry,inf_mel,melee_infantry,1,heavy,true,true,160,160,160,61,9760,0,man,small,false,false,80,35,29,45,0,0,0,0,0,24,20,6,6,0,0,4.3,1,false,false,3.1,90,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,475,119,wh_dlc04_vmp_inf_konigstein_stalkers_0,wh_dlc04_vmp_inf_konigstein_stalkers_0,wh_main_vmp_skeleton,wh_main_vmp_skeleton,,,wh_dlc04_vmp_sword_stalkers_poison,,,2026-08-26T04:13:50.342Z,complete,
warhammer_3,8.1.1,24237342,ultra,Vampire Counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,wh_main_group_vampire_counts,race_core,false,1,1,,wh_dlc04_vmp_inf_sternsmen_0,The Sternsmen (Grave Guard),infantry,inf_mel,melee_infantry,3,heavy,true,true,120,120,120,82,9840,0,man,small,false,false,90,55,45,60,0,0,0,0,0,34,28,12,8,8,0,4.4,1,false,false,2.7,100,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1150,288,wh_dlc04_vmp_inf_sternsmen_0,wh_dlc04_vmp_inf_sternsmen_0,wh_main_infantry_slow_dismembers,wh_main_infantry_slow_dismembers,,,wh_main_vmp_wightblade_grave_guard,,,2026-08-26T04:13:50.342Z,complete,
